rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,currency,thstrm_add_amount,ticker,corp_name,fs_div
20260319000472,11011,2025,01096341,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 11 기,404480249030,제 10 기,487204948999,제 9 기,366887049837,7,KRW,,225570,넥슨게임즈,CFS
20260319000472,11011,2025,01096341,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 11 기,214506407524,제 10 기,292030950012,제 9 기,237312302640,8,KRW,,225570,넥슨게임즈,CFS
20260319000472,11011,2025,01096341,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 11 기,56164399094,제 10 기,59728177598,제 9 기,111473593624,9,KRW,,225570,넥슨게임즈,CFS
20260319000472,11011,2025,01096341,BS,재무상태표,ifrs-full_CurrentTradeReceivables,매출채권,-,제 11 기,29325934955,제 10 기,30086125840,제 9 기,29837733367,10,KRW,,225570,넥슨게임즈,CFS
20260319000472,11011,2025,01096341,BS,재무상태표,ifrs-full_OtherCurrentAssets,기타유동자산,-,제 11 기,5021676898,제 10 기,3860455756,제 9 기,2995094309,11,KRW,,225570,넥슨게임즈,CFS
20260319000472,11011,2025,01096341,BS,재무상태표,ifrs-full_OtherCurrentFinancialAssets,기타금융자산,-,제 11 기,2994396577,제 10 기,2356190818,제 9 기,2005881340,12,KRW,,225570,넥슨게임즈,CFS
20260319000472,11011,2025,01096341,BS,재무상태표,ifrs-full_ShorttermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 11 기,121000000000,제 10 기,196000000000,제 9 기,91000000000,13,KRW,,225570,넥슨게임즈,CFS
20260319000472,11011,2025,01096341,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 11 기,189973841506,제 10 기,195173998987,제 9 기,129574747197,14,KRW,,225570,넥슨게임즈,CFS
20260319000472,11011,2025,01096341,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,-,제 11 기,214500000,제 10 기,2500000,제 9 기,2500000,15,KRW,,225570,넥슨게임즈,CFS
20260319000472,11011,2025,01096341,BS,재무상태표,ifrs-full_IntangibleAssetsAndGoodwill,무형자산,-,제 11 기,35137532824,제 10 기,35572037876,제 9 기,35473413025,16,KRW,,225570,넥슨게임즈,CFS
