ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
AADX,AADX,"Applied Aerospace & Defense, Inc. Common Stock",2024,10-K,annual,YF_TS,2024-12-31,revenue,annualTotalRevenue,399790000.0
AADX,AADX,"Applied Aerospace & Defense, Inc. Common Stock",2025,10-K,annual,YF_TS,2025-12-31,revenue,annualTotalRevenue,604343000.0
AADX,AADX,"Applied Aerospace & Defense, Inc. Common Stock",2024,10-K,annual,YF_TS,2024-12-31,operating_cash_flow,annualOperatingCashFlow,4649000.0
AADX,AADX,"Applied Aerospace & Defense, Inc. Common Stock",2025,10-K,annual,YF_TS,2025-12-31,operating_cash_flow,annualOperatingCashFlow,-28941000.0
AADX,AADX,"Applied Aerospace & Defense, Inc. Common Stock",2024,10-K,annual,YF_TS,2024-12-31,eps,annualBasicEPS,-0.203615
AADX,AADX,"Applied Aerospace & Defense, Inc. Common Stock",2025,10-K,annual,YF_TS,2025-12-31,eps,annualBasicEPS,-0.287091
AADX,AADX,"Applied Aerospace & Defense, Inc. Common Stock",2024,10-K,annual,YF_TS,2024-12-31,financing_cash_flow,annualFinancingCashFlow,37657000.0
AADX,AADX,"Applied Aerospace & Defense, Inc. Common Stock",2025,10-K,annual,YF_TS,2025-12-31,financing_cash_flow,annualFinancingCashFlow,44734000.0
AADX,AADX,"Applied Aerospace & Defense, Inc. Common Stock",2024,10-K,annual,YF_TS,2024-12-31,total_assets,annualTotalAssets,949792000.0
AADX,AADX,"Applied Aerospace & Defense, Inc. Common Stock",2025,10-K,annual,YF_TS,2025-12-31,total_assets,annualTotalAssets,999301000.0
AADX,AADX,"Applied Aerospace & Defense, Inc. Common Stock",2024,10-K,annual,YF_TS,2024-12-31,net_income,annualNetIncome,-34766000.0
AADX,AADX,"Applied Aerospace & Defense, Inc. Common Stock",2025,10-K,annual,YF_TS,2025-12-31,net_income,annualNetIncome,-49019000.0
AADX,AADX,"Applied Aerospace & Defense, Inc. Common Stock",2024,10-K,annual,YF_TS,2024-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,27466000.0
AADX,AADX,"Applied Aerospace & Defense, Inc. Common Stock",2025,10-K,annual,YF_TS,2025-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,15475000.0
AADX,AADX,"Applied Aerospace & Defense, Inc. Common Stock",2024,10-K,annual,YF_TS,2024-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,783947000.0
AADX,AADX,"Applied Aerospace & Defense, Inc. Common Stock",2025,10-K,annual,YF_TS,2025-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,839837000.0
AADX,AADX,"Applied Aerospace & Defense, Inc. Common Stock",2024,10-K,annual,YF_TS,2024-12-31,investing_cash_flow,annualInvestingCashFlow,-49146000.0
AADX,AADX,"Applied Aerospace & Defense, Inc. Common Stock",2025,10-K,annual,YF_TS,2025-12-31,investing_cash_flow,annualInvestingCashFlow,-27784000.0
AADX,AADX,"Applied Aerospace & Defense, Inc. Common Stock",2024,10-K,annual,YF_TS,2024-12-31,operating_income,annualOperatingIncome,32866000.0
AADX,AADX,"Applied Aerospace & Defense, Inc. Common Stock",2025,10-K,annual,YF_TS,2025-12-31,operating_income,annualOperatingIncome,56956000.0
AADX,AADX,"Applied Aerospace & Defense, Inc. Common Stock",2024,10-K,annual,YF_TS,2024-12-31,long_term_debt,annualLongTermDebt,554947000.0
AADX,AADX,"Applied Aerospace & Defense, Inc. Common Stock",2025,10-K,annual,YF_TS,2025-12-31,long_term_debt,annualLongTermDebt,626975000.0
AADX,AADX,"Applied Aerospace & Defense, Inc. Common Stock",2024,10-K,annual,YF_TS,2024-12-31,gross_profit,annualGrossProfit,98075000.0
AADX,AADX,"Applied Aerospace & Defense, Inc. Common Stock",2025,10-K,annual,YF_TS,2025-12-31,gross_profit,annualGrossProfit,164517000.0
AADX,AADX,"Applied Aerospace & Defense, Inc. Common Stock",2024,10-K,annual,YF_TS,2024-12-31,eps,annualDilutedEPS,-0.203615
AADX,AADX,"Applied Aerospace & Defense, Inc. Common Stock",2025,10-K,annual,YF_TS,2025-12-31,eps,annualDilutedEPS,-0.287091
AADX,AADX,"Applied Aerospace & Defense, Inc. Common Stock",2024,10-K,annual,YF_TS,2024-12-31,total_equity,annualStockholdersEquity,165845000.0
AADX,AADX,"Applied Aerospace & Defense, Inc. Common Stock",2025,10-K,annual,YF_TS,2025-12-31,total_equity,annualStockholdersEquity,159464000.0
AADX,AADX,"Applied Aerospace & Defense, Inc. Common Stock",2024,10-K,annual,YF_TS,2024-12-31,short_term_debt,annualCurrentDebt,20678000.0
AADX,AADX,"Applied Aerospace & Defense, Inc. Common Stock",2025,10-K,annual,YF_TS,2025-12-31,short_term_debt,annualCurrentDebt,7068000.0
AADX,AADX,"Applied Aerospace & Defense, Inc. Common Stock",2024,10-K,annual,YF_TS,2024-12-31,cash,annualCashAndCashEquivalents,27466000.0
AADX,AADX,"Applied Aerospace & Defense, Inc. Common Stock",2025,10-K,annual,YF_TS,2025-12-31,cash,annualCashAndCashEquivalents,15475000.0
AADX,AADX,"Applied Aerospace & Defense, Inc. Common Stock",2024,10-K,annual,YF_TS,2024-12-31,capex,annualCapitalExpenditure,-14878000.0
AADX,AADX,"Applied Aerospace & Defense, Inc. Common Stock",2025,10-K,annual,YF_TS,2025-12-31,capex,annualCapitalExpenditure,-17433000.0
