ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
ABM,ABM,ABM Industries Incorporated Common Stock,2025,10-Q,half,YF_TS,2025-04-30,revenue,quarterlyTotalRevenue,2111700000.0
ABM,ABM,ABM Industries Incorporated Common Stock,2025,10-Q,q3,YF_TS,2025-07-31,revenue,quarterlyTotalRevenue,2224000000.0
ABM,ABM,ABM Industries Incorporated Common Stock,2026,10-Q,q1,YF_TS,2026-01-31,revenue,quarterlyTotalRevenue,2243500000.0
ABM,ABM,ABM Industries Incorporated Common Stock,2026,10-Q,half,YF_TS,2026-04-30,revenue,quarterlyTotalRevenue,2290000000.0
ABM,ABM,ABM Industries Incorporated Common Stock,2025,10-Q,half,YF_TS,2025-04-30,total_assets,quarterlyTotalAssets,5310700000.0
ABM,ABM,ABM Industries Incorporated Common Stock,2025,10-Q,q3,YF_TS,2025-07-31,total_assets,quarterlyTotalAssets,5270500000.0
ABM,ABM,ABM Industries Incorporated Common Stock,2026,10-Q,q1,YF_TS,2026-01-31,total_assets,quarterlyTotalAssets,5289000000.0
ABM,ABM,ABM Industries Incorporated Common Stock,2026,10-Q,half,YF_TS,2026-04-30,total_assets,quarterlyTotalAssets,5647000000.0
ABM,ABM,ABM Industries Incorporated Common Stock,2025,10-Q,half,YF_TS,2025-04-30,eps,quarterlyDilutedEPS,0.67
ABM,ABM,ABM Industries Incorporated Common Stock,2025,10-Q,q3,YF_TS,2025-07-31,eps,quarterlyDilutedEPS,0.67
ABM,ABM,ABM Industries Incorporated Common Stock,2026,10-Q,q1,YF_TS,2026-01-31,eps,quarterlyDilutedEPS,0.64
ABM,ABM,ABM Industries Incorporated Common Stock,2026,10-Q,half,YF_TS,2026-04-30,eps,quarterlyDilutedEPS,0.73
ABM,ABM,ABM Industries Incorporated Common Stock,2025,10-Q,half,YF_TS,2025-04-30,capex,quarterlyCapitalExpenditure,-17100000.0
ABM,ABM,ABM Industries Incorporated Common Stock,2025,10-Q,q3,YF_TS,2025-07-31,capex,quarterlyCapitalExpenditure,-24800000.0
ABM,ABM,ABM Industries Incorporated Common Stock,2026,10-Q,q1,YF_TS,2026-01-31,capex,quarterlyCapitalExpenditure,-13200000.0
ABM,ABM,ABM Industries Incorporated Common Stock,2026,10-Q,half,YF_TS,2026-04-30,capex,quarterlyCapitalExpenditure,-43800000.0
ABM,ABM,ABM Industries Incorporated Common Stock,2025,10-Q,half,YF_TS,2025-04-30,short_term_debt,quarterlyCurrentDebt,29300000.0
ABM,ABM,ABM Industries Incorporated Common Stock,2025,10-Q,q3,YF_TS,2025-07-31,short_term_debt,quarterlyCurrentDebt,29300000.0
ABM,ABM,ABM Industries Incorporated Common Stock,2026,10-Q,q1,YF_TS,2026-01-31,short_term_debt,quarterlyCurrentDebt,29400000.0
ABM,ABM,ABM Industries Incorporated Common Stock,2026,10-Q,half,YF_TS,2026-04-30,short_term_debt,quarterlyCurrentDebt,41800000.0
ABM,ABM,ABM Industries Incorporated Common Stock,2025,10-Q,half,YF_TS,2025-04-30,net_income,quarterlyNetIncome,42200000.0
ABM,ABM,ABM Industries Incorporated Common Stock,2025,10-Q,q3,YF_TS,2025-07-31,net_income,quarterlyNetIncome,41800000.0
ABM,ABM,ABM Industries Incorporated Common Stock,2026,10-Q,q1,YF_TS,2026-01-31,net_income,quarterlyNetIncome,38800000.0
ABM,ABM,ABM Industries Incorporated Common Stock,2026,10-Q,half,YF_TS,2026-04-30,net_income,quarterlyNetIncome,43100000.0
ABM,ABM,ABM Industries Incorporated Common Stock,2025,10-Q,half,YF_TS,2025-04-30,operating_cash_flow,quarterlyOperatingCashFlow,32300000.0
ABM,ABM,ABM Industries Incorporated Common Stock,2025,10-Q,q3,YF_TS,2025-07-31,operating_cash_flow,quarterlyOperatingCashFlow,174900000.0
ABM,ABM,ABM Industries Incorporated Common Stock,2026,10-Q,q1,YF_TS,2026-01-31,operating_cash_flow,quarterlyOperatingCashFlow,62000000.0
ABM,ABM,ABM Industries Incorporated Common Stock,2026,10-Q,half,YF_TS,2026-04-30,operating_cash_flow,quarterlyOperatingCashFlow,66200000.0
ABM,ABM,ABM Industries Incorporated Common Stock,2025,10-Q,half,YF_TS,2025-04-30,eps,quarterlyBasicEPS,0.67
ABM,ABM,ABM Industries Incorporated Common Stock,2025,10-Q,q3,YF_TS,2025-07-31,eps,quarterlyBasicEPS,0.67
ABM,ABM,ABM Industries Incorporated Common Stock,2026,10-Q,q1,YF_TS,2026-01-31,eps,quarterlyBasicEPS,0.64
ABM,ABM,ABM Industries Incorporated Common Stock,2026,10-Q,half,YF_TS,2026-04-30,eps,quarterlyBasicEPS,0.73
ABM,ABM,ABM Industries Incorporated Common Stock,2025,10-Q,half,YF_TS,2025-04-30,total_equity,quarterlyStockholdersEquity,1824400000.0
ABM,ABM,ABM Industries Incorporated Common Stock,2025,10-Q,q3,YF_TS,2025-07-31,total_equity,quarterlyStockholdersEquity,1830800000.0
ABM,ABM,ABM Industries Incorporated Common Stock,2026,10-Q,q1,YF_TS,2026-01-31,total_equity,quarterlyStockholdersEquity,1724400000.0
ABM,ABM,ABM Industries Incorporated Common Stock,2026,10-Q,half,YF_TS,2026-04-30,total_equity,quarterlyStockholdersEquity,1748400000.0
ABM,ABM,ABM Industries Incorporated Common Stock,2025,10-Q,half,YF_TS,2025-04-30,financing_cash_flow,quarterlyFinancingCashFlow,-18200000.0
ABM,ABM,ABM Industries Incorporated Common Stock,2025,10-Q,q3,YF_TS,2025-07-31,financing_cash_flow,quarterlyFinancingCashFlow,-121200000.0
ABM,ABM,ABM Industries Incorporated Common Stock,2026,10-Q,q1,YF_TS,2026-01-31,financing_cash_flow,quarterlyFinancingCashFlow,-55200000.0
ABM,ABM,ABM Industries Incorporated Common Stock,2026,10-Q,half,YF_TS,2026-04-30,financing_cash_flow,quarterlyFinancingCashFlow,215100000.0
ABM,ABM,ABM Industries Incorporated Common Stock,2025,10-Q,half,YF_TS,2025-04-30,operating_income,quarterlyOperatingIncome,82400000.0
ABM,ABM,ABM Industries Incorporated Common Stock,2025,10-Q,q3,YF_TS,2025-07-31,operating_income,quarterlyOperatingIncome,83500000.0
ABM,ABM,ABM Industries Incorporated Common Stock,2026,10-Q,q1,YF_TS,2026-01-31,operating_income,quarterlyOperatingIncome,78300000.0
ABM,ABM,ABM Industries Incorporated Common Stock,2026,10-Q,half,YF_TS,2026-04-30,operating_income,quarterlyOperatingIncome,90000000.0
ABM,ABM,ABM Industries Incorporated Common Stock,2025,10-Q,half,YF_TS,2025-04-30,investing_cash_flow,quarterlyInvestingCashFlow,-17200000.0
ABM,ABM,ABM Industries Incorporated Common Stock,2025,10-Q,q3,YF_TS,2025-07-31,investing_cash_flow,quarterlyInvestingCashFlow,-43200000.0
ABM,ABM,ABM Industries Incorporated Common Stock,2026,10-Q,q1,YF_TS,2026-01-31,investing_cash_flow,quarterlyInvestingCashFlow,-12600000.0
ABM,ABM,ABM Industries Incorporated Common Stock,2026,10-Q,half,YF_TS,2026-04-30,investing_cash_flow,quarterlyInvestingCashFlow,-285800000.0
ABM,ABM,ABM Industries Incorporated Common Stock,2025,10-Q,half,YF_TS,2025-04-30,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,58700000.0
