ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
ARE,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",2022,10-K,annual,YF_TS,2022-12-31,long_term_debt,annualLongTermDebt,10159762000.0
ARE,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",2023,10-K,annual,YF_TS,2023-12-31,long_term_debt,annualLongTermDebt,11215690000.0
ARE,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",2024,10-K,annual,YF_TS,2024-12-31,long_term_debt,annualLongTermDebt,12244374000.0
ARE,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",2025,10-K,annual,YF_TS,2025-12-31,long_term_debt,annualLongTermDebt,12047394000.0
ARE,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",2022,10-K,annual,YF_TS,2022-12-31,financing_cash_flow,annualFinancingCashFlow,4229772000.0
ARE,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",2023,10-K,annual,YF_TS,2023-12-31,financing_cash_flow,annualFinancingCashFlow,674156000.0
ARE,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",2024,10-K,annual,YF_TS,2024-12-31,financing_cash_flow,annualFinancingCashFlow,-93315000.0
ARE,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",2025,10-K,annual,YF_TS,2025-12-31,financing_cash_flow,annualFinancingCashFlow,-1783794000.0
ARE,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",2022,10-K,annual,YF_TS,2022-12-31,revenue,annualTotalRevenue,2576040000.0
ARE,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",2023,10-K,annual,YF_TS,2023-12-31,revenue,annualTotalRevenue,2842456000.0
ARE,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",2024,10-K,annual,YF_TS,2024-12-31,revenue,annualTotalRevenue,3049706000.0
ARE,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",2025,10-K,annual,YF_TS,2025-12-31,revenue,annualTotalRevenue,2945175000.0
ARE,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",2022,10-K,annual,YF_TS,2022-12-31,total_assets,annualTotalAssets,35523399000.0
ARE,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",2023,10-K,annual,YF_TS,2023-12-31,total_assets,annualTotalAssets,36771402000.0
ARE,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",2024,10-K,annual,YF_TS,2024-12-31,total_assets,annualTotalAssets,37527449000.0
ARE,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",2025,10-K,annual,YF_TS,2025-12-31,total_assets,annualTotalAssets,34081835000.0
ARE,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",2022,10-K,annual,YF_TS,2022-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,12840152000.0
ARE,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",2023,10-K,annual,YF_TS,2023-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,14148409000.0
ARE,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",2024,10-K,annual,YF_TS,2024-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,15128988000.0
ARE,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",2025,10-K,annual,YF_TS,2025-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,14925399000.0
ARE,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",2022,10-K,annual,YF_TS,2022-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,825193000.0
ARE,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",2023,10-K,annual,YF_TS,2023-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,618190000.0
ARE,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",2024,10-K,annual,YF_TS,2024-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,552146000.0
ARE,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",2025,10-K,annual,YF_TS,2025-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,549062000.0
ARE,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",2021,10-K,annual,YF_TS,2021-12-31,short_term_debt,annualCurrentDebt,269990000.0
ARE,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",2023,10-K,annual,YF_TS,2023-12-31,short_term_debt,annualCurrentDebt,99952000.0
ARE,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",2025,10-K,annual,YF_TS,2025-12-31,short_term_debt,annualCurrentDebt,353161000.0
ARE,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",2022,10-K,annual,YF_TS,2022-12-31,eps,annualBasicEPS,3.18
ARE,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",2023,10-K,annual,YF_TS,2023-12-31,eps,annualBasicEPS,0.54
ARE,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",2024,10-K,annual,YF_TS,2024-12-31,eps,annualBasicEPS,1.8
ARE,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",2025,10-K,annual,YF_TS,2025-12-31,eps,annualBasicEPS,-8.44
ARE,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",2022,10-K,annual,YF_TS,2022-12-31,net_income,annualNetIncome,521660000.0
ARE,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",2023,10-K,annual,YF_TS,2023-12-31,net_income,annualNetIncome,103639000.0
ARE,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",2024,10-K,annual,YF_TS,2024-12-31,net_income,annualNetIncome,322949000.0
ARE,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",2025,10-K,annual,YF_TS,2025-12-31,net_income,annualNetIncome,-1429570000.0
ARE,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",2022,10-K,annual,YF_TS,2022-12-31,operating_cash_flow,annualOperatingCashFlow,1294321000.0
ARE,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",2023,10-K,annual,YF_TS,2023-12-31,operating_cash_flow,annualOperatingCashFlow,1630550000.0
ARE,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",2024,10-K,annual,YF_TS,2024-12-31,operating_cash_flow,annualOperatingCashFlow,1504524000.0
ARE,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",2025,10-K,annual,YF_TS,2025-12-31,operating_cash_flow,annualOperatingCashFlow,1414046000.0
ARE,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",2022,10-K,annual,YF_TS,2022-12-31,operating_income,annualOperatingIncome,613463000.0
ARE,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",2023,10-K,annual,YF_TS,2023-12-31,operating_income,annualOperatingIncome,690449000.0
ARE,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",2024,10-K,annual,YF_TS,2024-12-31,operating_income,annualOperatingIncome,769702000.0
ARE,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",2025,10-K,annual,YF_TS,2025-12-31,operating_income,annualOperatingIncome,555045000.0
