ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
BGSI,BGSI,Boyd Group Services Inc. Common Shares,2022,10-K,annual,YF_TS,2022-12-31,revenue,annualTotalRevenue,2432318000.0
BGSI,BGSI,Boyd Group Services Inc. Common Shares,2023,10-K,annual,YF_TS,2023-12-31,revenue,annualTotalRevenue,2945988000.0
BGSI,BGSI,Boyd Group Services Inc. Common Shares,2024,10-K,annual,YF_TS,2024-12-31,revenue,annualTotalRevenue,3070342000.0
BGSI,BGSI,Boyd Group Services Inc. Common Shares,2025,10-K,annual,YF_TS,2025-12-31,revenue,annualTotalRevenue,3142794000.0
BGSI,BGSI,Boyd Group Services Inc. Common Shares,2022,10-K,annual,YF_TS,2022-12-31,total_assets,annualTotalAssets,2102832000.0
BGSI,BGSI,Boyd Group Services Inc. Common Shares,2023,10-K,annual,YF_TS,2023-12-31,total_assets,annualTotalAssets,2382416000.0
BGSI,BGSI,Boyd Group Services Inc. Common Shares,2024,10-K,annual,YF_TS,2024-12-31,total_assets,annualTotalAssets,2464189000.0
BGSI,BGSI,Boyd Group Services Inc. Common Shares,2025,10-K,annual,YF_TS,2025-12-31,total_assets,annualTotalAssets,3859951000.0
BGSI,BGSI,Boyd Group Services Inc. Common Shares,2022,10-K,annual,YF_TS,2022-12-31,cash,annualCashAndCashEquivalents,15068000.0
BGSI,BGSI,Boyd Group Services Inc. Common Shares,2023,10-K,annual,YF_TS,2023-12-31,cash,annualCashAndCashEquivalents,22511000.0
BGSI,BGSI,Boyd Group Services Inc. Common Shares,2024,10-K,annual,YF_TS,2024-12-31,cash,annualCashAndCashEquivalents,19997000.0
BGSI,BGSI,Boyd Group Services Inc. Common Shares,2025,10-K,annual,YF_TS,2025-12-31,cash,annualCashAndCashEquivalents,1228614000.0
BGSI,BGSI,Boyd Group Services Inc. Common Shares,2022,10-K,annual,YF_TS,2022-12-31,financing_cash_flow,annualFinancingCashFlow,-228369000.0
BGSI,BGSI,Boyd Group Services Inc. Common Shares,2023,10-K,annual,YF_TS,2023-12-31,financing_cash_flow,annualFinancingCashFlow,-105931000.0
BGSI,BGSI,Boyd Group Services Inc. Common Shares,2024,10-K,annual,YF_TS,2024-12-31,financing_cash_flow,annualFinancingCashFlow,-106875000.0
BGSI,BGSI,Boyd Group Services Inc. Common Shares,2025,10-K,annual,YF_TS,2025-12-31,financing_cash_flow,annualFinancingCashFlow,1067188000.0
BGSI,BGSI,Boyd Group Services Inc. Common Shares,2022,10-K,annual,YF_TS,2022-12-31,operating_cash_flow,annualOperatingCashFlow,264247000.0
BGSI,BGSI,Boyd Group Services Inc. Common Shares,2023,10-K,annual,YF_TS,2023-12-31,operating_cash_flow,annualOperatingCashFlow,357545000.0
