ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
BOTJ,BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,cash,quarterlyCashAndCashEquivalents,25760000.0
BOTJ,BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",2025,10-Q,half,YF_TS,2025-06-30,cash,quarterlyCashAndCashEquivalents,22587000.0
BOTJ,BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,cash,quarterlyCashAndCashEquivalents,28450000.0
BOTJ,BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,cash,quarterlyCashAndCashEquivalents,25097000.0
BOTJ,BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,943378000.0
BOTJ,BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",2025,10-Q,half,YF_TS,2025-06-30,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,932577000.0
BOTJ,BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,943153000.0
BOTJ,BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,979905000.0
BOTJ,BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,operating_cash_flow,quarterlyOperatingCashFlow,763000.0
BOTJ,BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",2025,10-Q,half,YF_TS,2025-06-30,operating_cash_flow,quarterlyOperatingCashFlow,3653000.0
BOTJ,BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,operating_cash_flow,quarterlyOperatingCashFlow,5270000.0
BOTJ,BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,operating_cash_flow,quarterlyOperatingCashFlow,4739000.0
BOTJ,BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,capex,quarterlyCapitalExpenditure,-622000.0
BOTJ,BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",2025,10-Q,half,YF_TS,2025-06-30,capex,quarterlyCapitalExpenditure,-125000.0
BOTJ,BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,capex,quarterlyCapitalExpenditure,-382000.0
BOTJ,BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,investing_cash_flow,quarterlyInvestingCashFlow,-7665000.0
BOTJ,BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",2025,10-Q,half,YF_TS,2025-06-30,investing_cash_flow,quarterlyInvestingCashFlow,-8784000.0
BOTJ,BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,investing_cash_flow,quarterlyInvestingCashFlow,-6272000.0
BOTJ,BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,investing_cash_flow,quarterlyInvestingCashFlow,-20009000.0
BOTJ,BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,total_assets,quarterlyTotalAssets,1011726000.0
BOTJ,BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",2025,10-Q,half,YF_TS,2025-06-30,total_assets,quarterlyTotalAssets,1004242000.0
BOTJ,BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,total_assets,quarterlyTotalAssets,1020125000.0
BOTJ,BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,total_assets,quarterlyTotalAssets,1061189000.0
BOTJ,BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,eps,quarterlyDilutedEPS,0.19
BOTJ,BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",2025,10-Q,half,YF_TS,2025-06-30,eps,quarterlyDilutedEPS,0.6
BOTJ,BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,eps,quarterlyDilutedEPS,0.61
BOTJ,BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,eps,quarterlyDilutedEPS,0.61
BOTJ,BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,net_income,quarterlyNetIncome,842000.0
BOTJ,BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",2025,10-Q,half,YF_TS,2025-06-30,net_income,quarterlyNetIncome,2704000.0
BOTJ,BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,net_income,quarterlyNetIncome,2752000.0
BOTJ,BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,net_income,quarterlyNetIncome,2774000.0
BOTJ,BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,financing_cash_flow,quarterlyFinancingCashFlow,28559000.0
BOTJ,BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",2025,10-Q,half,YF_TS,2025-06-30,financing_cash_flow,quarterlyFinancingCashFlow,-11928000.0
BOTJ,BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,financing_cash_flow,quarterlyFinancingCashFlow,8546000.0
BOTJ,BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,financing_cash_flow,quarterlyFinancingCashFlow,18786000.0
BOTJ,BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,eps,quarterlyBasicEPS,0.19
BOTJ,BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",2025,10-Q,half,YF_TS,2025-06-30,eps,quarterlyBasicEPS,0.6
BOTJ,BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,eps,quarterlyBasicEPS,0.61
BOTJ,BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,eps,quarterlyBasicEPS,0.61
BOTJ,BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,long_term_debt,quarterlyLongTermDebt,19195000.0
