ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2022,10-K,annual,YF_TS,2022-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,34854000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2023,10-K,annual,YF_TS,2023-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,33120000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2024,10-K,annual,YF_TS,2024-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,33096000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2025,10-K,annual,YF_TS,2025-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,36647000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2022,10-K,annual,YF_TS,2022-12-31,net_income,annualNetIncome,-3484000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2023,10-K,annual,YF_TS,2023-12-31,net_income,annualNetIncome,-3836000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2024,10-K,annual,YF_TS,2024-12-31,net_income,annualNetIncome,-5147000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2025,10-K,annual,YF_TS,2025-12-31,net_income,annualNetIncome,-8115000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2022,10-K,annual,YF_TS,2022-12-31,operating_income,annualOperatingIncome,-128000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2023,10-K,annual,YF_TS,2023-12-31,operating_income,annualOperatingIncome,-1261000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2024,10-K,annual,YF_TS,2024-12-31,operating_income,annualOperatingIncome,-3150000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2025,10-K,annual,YF_TS,2025-12-31,operating_income,annualOperatingIncome,-4216000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2022,10-K,annual,YF_TS,2022-12-31,eps,annualDilutedEPS,-0.16
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2023,10-K,annual,YF_TS,2023-12-31,eps,annualDilutedEPS,-0.17
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2024,10-K,annual,YF_TS,2024-12-31,eps,annualDilutedEPS,-0.21
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2025,10-K,annual,YF_TS,2025-12-31,eps,annualDilutedEPS,-0.32
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2022,10-K,annual,YF_TS,2022-12-31,operating_cash_flow,annualOperatingCashFlow,5753000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2023,10-K,annual,YF_TS,2023-12-31,operating_cash_flow,annualOperatingCashFlow,11739000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2024,10-K,annual,YF_TS,2024-12-31,operating_cash_flow,annualOperatingCashFlow,11161000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2025,10-K,annual,YF_TS,2025-12-31,operating_cash_flow,annualOperatingCashFlow,17934000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2022,10-K,annual,YF_TS,2022-12-31,total_assets,annualTotalAssets,104388000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2023,10-K,annual,YF_TS,2023-12-31,total_assets,annualTotalAssets,103367000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2024,10-K,annual,YF_TS,2024-12-31,total_assets,annualTotalAssets,106595000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2025,10-K,annual,YF_TS,2025-12-31,total_assets,annualTotalAssets,99349000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2022,10-K,annual,YF_TS,2022-12-31,financing_cash_flow,annualFinancingCashFlow,6897000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2023,10-K,annual,YF_TS,2023-12-31,financing_cash_flow,annualFinancingCashFlow,-4166000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2024,10-K,annual,YF_TS,2024-12-31,financing_cash_flow,annualFinancingCashFlow,3613000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2025,10-K,annual,YF_TS,2025-12-31,financing_cash_flow,annualFinancingCashFlow,-4881000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2022,10-K,annual,YF_TS,2022-12-31,eps,annualBasicEPS,-0.16
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2023,10-K,annual,YF_TS,2023-12-31,eps,annualBasicEPS,-0.17
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2024,10-K,annual,YF_TS,2024-12-31,eps,annualBasicEPS,-0.21
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2025,10-K,annual,YF_TS,2025-12-31,eps,annualBasicEPS,-0.32
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2022,10-K,annual,YF_TS,2022-12-31,revenue,annualTotalRevenue,84734000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2023,10-K,annual,YF_TS,2023-12-31,revenue,annualTotalRevenue,93519000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2024,10-K,annual,YF_TS,2024-12-31,revenue,annualTotalRevenue,102001000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2025,10-K,annual,YF_TS,2025-12-31,revenue,annualTotalRevenue,106074000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2022,10-K,annual,YF_TS,2022-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,11287000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2023,10-K,annual,YF_TS,2023-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,8796000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2024,10-K,annual,YF_TS,2024-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,10467000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2025,10-K,annual,YF_TS,2025-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,6658000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2022,10-K,annual,YF_TS,2022-12-31,long_term_debt,annualLongTermDebt,6648000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2022,10-K,annual,YF_TS,2022-12-31,total_equity,annualStockholdersEquity,69534000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2023,10-K,annual,YF_TS,2023-12-31,total_equity,annualStockholdersEquity,70247000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2024,10-K,annual,YF_TS,2024-12-31,total_equity,annualStockholdersEquity,73499000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2025,10-K,annual,YF_TS,2025-12-31,total_equity,annualStockholdersEquity,62702000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2022,10-K,annual,YF_TS,2022-12-31,investing_cash_flow,annualInvestingCashFlow,-16873000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2023,10-K,annual,YF_TS,2023-12-31,investing_cash_flow,annualInvestingCashFlow,-9723000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2024,10-K,annual,YF_TS,2024-12-31,investing_cash_flow,annualInvestingCashFlow,-13166000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2025,10-K,annual,YF_TS,2025-12-31,investing_cash_flow,annualInvestingCashFlow,-15714000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2022,10-K,annual,YF_TS,2022-12-31,capex,annualCapitalExpenditure,-7921000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2023,10-K,annual,YF_TS,2023-12-31,capex,annualCapitalExpenditure,-9723000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2024,10-K,annual,YF_TS,2024-12-31,capex,annualCapitalExpenditure,-13166000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2025,10-K,annual,YF_TS,2025-12-31,capex,annualCapitalExpenditure,-14855000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2022,10-K,annual,YF_TS,2022-12-31,short_term_debt,annualCurrentDebt,109000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2023,10-K,annual,YF_TS,2023-12-31,short_term_debt,annualCurrentDebt,2445000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2024,10-K,annual,YF_TS,2024-12-31,short_term_debt,annualCurrentDebt,6579000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2025,10-K,annual,YF_TS,2025-12-31,short_term_debt,annualCurrentDebt,3512000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2022,10-K,annual,YF_TS,2022-12-31,cash,annualCashAndCashEquivalents,11287000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2023,10-K,annual,YF_TS,2023-12-31,cash,annualCashAndCashEquivalents,8796000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2024,10-K,annual,YF_TS,2024-12-31,cash,annualCashAndCashEquivalents,10467000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2025,10-K,annual,YF_TS,2025-12-31,cash,annualCashAndCashEquivalents,6658000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2022,10-K,annual,YF_TS,2022-12-31,gross_profit,annualGrossProfit,45082000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2023,10-K,annual,YF_TS,2023-12-31,gross_profit,annualGrossProfit,49939000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2024,10-K,annual,YF_TS,2024-12-31,gross_profit,annualGrossProfit,54045000.0
BRAG,BRAG,Bragg Gaming Group Inc. - Common Shares,2025,10-K,annual,YF_TS,2025-12-31,gross_profit,annualGrossProfit,58330000.0
