ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
BR,BR,"Broadridge Financial Solutions, Inc. Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,revenue,quarterlyTotalRevenue,1811700000.0
BR,BR,"Broadridge Financial Solutions, Inc. Common Stock",2025,10-Q,half,YF_TS,2025-06-30,revenue,quarterlyTotalRevenue,2065400000.0
BR,BR,"Broadridge Financial Solutions, Inc. Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,revenue,quarterlyTotalRevenue,1589400000.0
BR,BR,"Broadridge Financial Solutions, Inc. Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,revenue,quarterlyTotalRevenue,1953600000.0
BR,BR,"Broadridge Financial Solutions, Inc. Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,eps,quarterlyBasicEPS,2.07
BR,BR,"Broadridge Financial Solutions, Inc. Common Stock",2025,10-Q,half,YF_TS,2025-06-30,eps,quarterlyBasicEPS,3.19
BR,BR,"Broadridge Financial Solutions, Inc. Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,eps,quarterlyBasicEPS,1.41
BR,BR,"Broadridge Financial Solutions, Inc. Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,eps,quarterlyBasicEPS,2.38
BR,BR,"Broadridge Financial Solutions, Inc. Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,operating_cash_flow,quarterlyOperatingCashFlow,360400000.0
BR,BR,"Broadridge Financial Solutions, Inc. Common Stock",2025,10-Q,half,YF_TS,2025-06-30,operating_cash_flow,quarterlyOperatingCashFlow,699700000.0
BR,BR,"Broadridge Financial Solutions, Inc. Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,operating_cash_flow,quarterlyOperatingCashFlow,42300000.0
BR,BR,"Broadridge Financial Solutions, Inc. Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,operating_cash_flow,quarterlyOperatingCashFlow,301100000.0
BR,BR,"Broadridge Financial Solutions, Inc. Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,gross_profit,quarterlyGrossProfit,575800000.0
BR,BR,"Broadridge Financial Solutions, Inc. Common Stock",2025,10-Q,half,YF_TS,2025-06-30,gross_profit,quarterlyGrossProfit,769800000.0
BR,BR,"Broadridge Financial Solutions, Inc. Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,gross_profit,quarterlyGrossProfit,422600000.0
BR,BR,"Broadridge Financial Solutions, Inc. Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,gross_profit,quarterlyGrossProfit,626900000.0
BR,BR,"Broadridge Financial Solutions, Inc. Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,total_equity,quarterlyStockholdersEquity,2382400000.0
BR,BR,"Broadridge Financial Solutions, Inc. Common Stock",2025,10-Q,half,YF_TS,2025-06-30,total_equity,quarterlyStockholdersEquity,2655200000.0
BR,BR,"Broadridge Financial Solutions, Inc. Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,total_equity,quarterlyStockholdersEquity,2635200000.0
BR,BR,"Broadridge Financial Solutions, Inc. Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,total_equity,quarterlyStockholdersEquity,2818800000.0
BR,BR,"Broadridge Financial Solutions, Inc. Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,net_income,quarterlyNetIncome,243100000.0
BR,BR,"Broadridge Financial Solutions, Inc. Common Stock",2025,10-Q,half,YF_TS,2025-06-30,net_income,quarterlyNetIncome,374200000.0
BR,BR,"Broadridge Financial Solutions, Inc. Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,net_income,quarterlyNetIncome,165400000.0
