ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
BUUU,BUUU,BUUU Group Limited - Class A Ordinary Share,2023,10-K,annual,YF_TS,2023-06-30,total_equity,annualStockholdersEquity,431561.0
BUUU,BUUU,BUUU Group Limited - Class A Ordinary Share,2024,10-K,annual,YF_TS,2024-06-30,total_equity,annualStockholdersEquity,1268843.0
BUUU,BUUU,BUUU Group Limited - Class A Ordinary Share,2023,10-K,annual,YF_TS,2023-06-30,gross_profit,annualGrossProfit,708318.0
BUUU,BUUU,BUUU Group Limited - Class A Ordinary Share,2024,10-K,annual,YF_TS,2024-06-30,gross_profit,annualGrossProfit,1500240.0
BUUU,BUUU,BUUU Group Limited - Class A Ordinary Share,2023,10-K,annual,YF_TS,2023-06-30,investing_cash_flow,annualInvestingCashFlow,-70205.0
BUUU,BUUU,BUUU Group Limited - Class A Ordinary Share,2024,10-K,annual,YF_TS,2024-06-30,investing_cash_flow,annualInvestingCashFlow,-27001.0
BUUU,BUUU,BUUU Group Limited - Class A Ordinary Share,2023,10-K,annual,YF_TS,2023-06-30,capex,annualCapitalExpenditure,-8444.0
BUUU,BUUU,BUUU Group Limited - Class A Ordinary Share,2024,10-K,annual,YF_TS,2024-06-30,capex,annualCapitalExpenditure,-25402.0
BUUU,BUUU,BUUU Group Limited - Class A Ordinary Share,2023,10-K,annual,YF_TS,2023-06-30,financing_cash_flow,annualFinancingCashFlow,359314.0
BUUU,BUUU,BUUU Group Limited - Class A Ordinary Share,2024,10-K,annual,YF_TS,2024-06-30,financing_cash_flow,annualFinancingCashFlow,-129096.0
BUUU,BUUU,BUUU Group Limited - Class A Ordinary Share,2023,10-K,annual,YF_TS,2023-06-30,short_term_debt,annualCurrentDebt,614715.0
BUUU,BUUU,BUUU Group Limited - Class A Ordinary Share,2024,10-K,annual,YF_TS,2024-06-30,short_term_debt,annualCurrentDebt,534199.0
BUUU,BUUU,BUUU Group Limited - Class A Ordinary Share,2023,10-K,annual,YF_TS,2023-06-30,cash,annualCashAndCashEquivalents,515931.0
BUUU,BUUU,BUUU Group Limited - Class A Ordinary Share,2024,10-K,annual,YF_TS,2024-06-30,cash,annualCashAndCashEquivalents,448888.0
BUUU,BUUU,BUUU Group Limited - Class A Ordinary Share,2023,10-K,annual,YF_TS,2023-06-30,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,1361901.0
BUUU,BUUU,BUUU Group Limited - Class A Ordinary Share,2024,10-K,annual,YF_TS,2024-06-30,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,1245892.0
BUUU,BUUU,BUUU Group Limited - Class A Ordinary Share,2023,10-K,annual,YF_TS,2023-06-30,operating_cash_flow,annualOperatingCashFlow,143110.0
BUUU,BUUU,BUUU Group Limited - Class A Ordinary Share,2024,10-K,annual,YF_TS,2024-06-30,operating_cash_flow,annualOperatingCashFlow,87272.0
BUUU,BUUU,BUUU Group Limited - Class A Ordinary Share,2023,10-K,annual,YF_TS,2023-06-30,net_income,annualNetIncome,283689.0
BUUU,BUUU,BUUU Group Limited - Class A Ordinary Share,2024,10-K,annual,YF_TS,2024-06-30,net_income,annualNetIncome,834151.0
BUUU,BUUU,BUUU Group Limited - Class A Ordinary Share,2023,10-K,annual,YF_TS,2023-06-30,total_assets,annualTotalAssets,1847271.0
BUUU,BUUU,BUUU Group Limited - Class A Ordinary Share,2024,10-K,annual,YF_TS,2024-06-30,total_assets,annualTotalAssets,2587933.0
BUUU,BUUU,BUUU Group Limited - Class A Ordinary Share,2023,10-K,annual,YF_TS,2023-06-30,eps,annualBasicEPS,0.017193
BUUU,BUUU,BUUU Group Limited - Class A Ordinary Share,2024,10-K,annual,YF_TS,2024-06-30,eps,annualBasicEPS,0.050555
BUUU,BUUU,BUUU Group Limited - Class A Ordinary Share,2025,10-K,annual,YF_TS,2025-06-30,eps,annualBasicEPS,0.068993
BUUU,BUUU,BUUU Group Limited - Class A Ordinary Share,2023,10-K,annual,YF_TS,2023-06-30,operating_income,annualOperatingIncome,365640.0
BUUU,BUUU,BUUU Group Limited - Class A Ordinary Share,2024,10-K,annual,YF_TS,2024-06-30,operating_income,annualOperatingIncome,1028690.0
BUUU,BUUU,BUUU Group Limited - Class A Ordinary Share,2023,10-K,annual,YF_TS,2023-06-30,eps,annualDilutedEPS,0.017193
BUUU,BUUU,BUUU Group Limited - Class A Ordinary Share,2024,10-K,annual,YF_TS,2024-06-30,eps,annualDilutedEPS,0.050555
BUUU,BUUU,BUUU Group Limited - Class A Ordinary Share,2025,10-K,annual,YF_TS,2025-06-30,eps,annualDilutedEPS,0.068993
BUUU,BUUU,BUUU Group Limited - Class A Ordinary Share,2023,10-K,annual,YF_TS,2023-06-30,cash,annualCashCashEquivalentsAndShortTermInvestments,515931.0
BUUU,BUUU,BUUU Group Limited - Class A Ordinary Share,2024,10-K,annual,YF_TS,2024-06-30,cash,annualCashCashEquivalentsAndShortTermInvestments,448888.0
BUUU,BUUU,BUUU Group Limited - Class A Ordinary Share,2023,10-K,annual,YF_TS,2023-06-30,revenue,annualTotalRevenue,3538973.0
BUUU,BUUU,BUUU Group Limited - Class A Ordinary Share,2024,10-K,annual,YF_TS,2024-06-30,revenue,annualTotalRevenue,5812204.0
