ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
CAMP,CAMP,CAMP4 Therapeutics Corporation - Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,cash,quarterlyCashAndCashEquivalents,49323000.0
CAMP,CAMP,CAMP4 Therapeutics Corporation - Common Stock,2025,10-Q,half,YF_TS,2025-06-30,cash,quarterlyCashAndCashEquivalents,39052000.0
CAMP,CAMP,CAMP4 Therapeutics Corporation - Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,cash,quarterlyCashAndCashEquivalents,75255000.0
CAMP,CAMP,CAMP4 Therapeutics Corporation - Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,cash,quarterlyCashAndCashEquivalents,99209000.0
CAMP,CAMP,CAMP4 Therapeutics Corporation - Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,total_assets,quarterlyTotalAssets,62773000.0
CAMP,CAMP,CAMP4 Therapeutics Corporation - Common Stock,2025,10-Q,half,YF_TS,2025-06-30,total_assets,quarterlyTotalAssets,51275000.0
CAMP,CAMP,CAMP4 Therapeutics Corporation - Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,total_assets,quarterlyTotalAssets,86395000.0
CAMP,CAMP,CAMP4 Therapeutics Corporation - Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,total_assets,quarterlyTotalAssets,105457000.0
CAMP,CAMP,CAMP4 Therapeutics Corporation - Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,eps,quarterlyBasicEPS,-0.62
CAMP,CAMP,CAMP4 Therapeutics Corporation - Common Stock,2025,10-Q,half,YF_TS,2025-06-30,eps,quarterlyBasicEPS,-0.62
CAMP,CAMP,CAMP4 Therapeutics Corporation - Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,eps,quarterlyBasicEPS,-0.55
CAMP,CAMP,CAMP4 Therapeutics Corporation - Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,eps,quarterlyBasicEPS,-0.32
CAMP,CAMP,CAMP4 Therapeutics Corporation - Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,operating_cash_flow,quarterlyOperatingCashFlow,-14286000.0
CAMP,CAMP,CAMP4 Therapeutics Corporation - Common Stock,2025,10-Q,half,YF_TS,2025-06-30,operating_cash_flow,quarterlyOperatingCashFlow,-10343000.0
CAMP,CAMP,CAMP4 Therapeutics Corporation - Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,operating_cash_flow,quarterlyOperatingCashFlow,-11217000.0
CAMP,CAMP,CAMP4 Therapeutics Corporation - Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,operating_cash_flow,quarterlyOperatingCashFlow,-10981000.0
CAMP,CAMP,CAMP4 Therapeutics Corporation - Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,total_equity,quarterlyStockholdersEquity,51572000.0
CAMP,CAMP,CAMP4 Therapeutics Corporation - Common Stock,2025,10-Q,half,YF_TS,2025-06-30,total_equity,quarterlyStockholdersEquity,39987000.0
CAMP,CAMP,CAMP4 Therapeutics Corporation - Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,total_equity,quarterlyStockholdersEquity,58667000.0
CAMP,CAMP,CAMP4 Therapeutics Corporation - Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,total_equity,quarterlyStockholdersEquity,30902000.0
