ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
CENX,CENX,Century Aluminum Company - Common Stock,2022,10-K,annual,YF_TS,2022-12-31,long_term_debt,annualLongTermDebt,381600000.0
CENX,CENX,Century Aluminum Company - Common Stock,2023,10-K,annual,YF_TS,2023-12-31,long_term_debt,annualLongTermDebt,430900000.0
CENX,CENX,Century Aluminum Company - Common Stock,2024,10-K,annual,YF_TS,2024-12-31,long_term_debt,annualLongTermDebt,457400000.0
CENX,CENX,Century Aluminum Company - Common Stock,2025,10-K,annual,YF_TS,2025-12-31,long_term_debt,annualLongTermDebt,479500000.0
CENX,CENX,Century Aluminum Company - Common Stock,2022,10-K,annual,YF_TS,2022-12-31,financing_cash_flow,annualFinancingCashFlow,74400000.0
CENX,CENX,Century Aluminum Company - Common Stock,2023,10-K,annual,YF_TS,2023-12-31,financing_cash_flow,annualFinancingCashFlow,-13000000.0
CENX,CENX,Century Aluminum Company - Common Stock,2024,10-K,annual,YF_TS,2024-12-31,financing_cash_flow,annualFinancingCashFlow,50000000.0
CENX,CENX,Century Aluminum Company - Common Stock,2025,10-K,annual,YF_TS,2025-12-31,financing_cash_flow,annualFinancingCashFlow,15100000.0
CENX,CENX,Century Aluminum Company - Common Stock,2022,10-K,annual,YF_TS,2022-12-31,eps,annualBasicEPS,-0.15
CENX,CENX,Century Aluminum Company - Common Stock,2023,10-K,annual,YF_TS,2023-12-31,eps,annualBasicEPS,-0.47
CENX,CENX,Century Aluminum Company - Common Stock,2024,10-K,annual,YF_TS,2024-12-31,eps,annualBasicEPS,3.46
CENX,CENX,Century Aluminum Company - Common Stock,2025,10-K,annual,YF_TS,2025-12-31,eps,annualBasicEPS,0.42
CENX,CENX,Century Aluminum Company - Common Stock,2022,10-K,annual,YF_TS,2022-12-31,revenue,annualTotalRevenue,2777300000.0
CENX,CENX,Century Aluminum Company - Common Stock,2023,10-K,annual,YF_TS,2023-12-31,revenue,annualTotalRevenue,2185400000.0
CENX,CENX,Century Aluminum Company - Common Stock,2024,10-K,annual,YF_TS,2024-12-31,revenue,annualTotalRevenue,2220300000.0
CENX,CENX,Century Aluminum Company - Common Stock,2025,10-K,annual,YF_TS,2025-12-31,revenue,annualTotalRevenue,2527900000.0
CENX,CENX,Century Aluminum Company - Common Stock,2022,10-K,annual,YF_TS,2022-12-31,eps,annualDilutedEPS,-0.15
CENX,CENX,Century Aluminum Company - Common Stock,2023,10-K,annual,YF_TS,2023-12-31,eps,annualDilutedEPS,-0.47
CENX,CENX,Century Aluminum Company - Common Stock,2024,10-K,annual,YF_TS,2024-12-31,eps,annualDilutedEPS,3.29
CENX,CENX,Century Aluminum Company - Common Stock,2025,10-K,annual,YF_TS,2025-12-31,eps,annualDilutedEPS,0.42
CENX,CENX,Century Aluminum Company - Common Stock,2022,10-K,annual,YF_TS,2022-12-31,total_assets,annualTotalAssets,1472000000.0
CENX,CENX,Century Aluminum Company - Common Stock,2023,10-K,annual,YF_TS,2023-12-31,total_assets,annualTotalAssets,1846500000.0
CENX,CENX,Century Aluminum Company - Common Stock,2024,10-K,annual,YF_TS,2024-12-31,total_assets,annualTotalAssets,2120000000.0
CENX,CENX,Century Aluminum Company - Common Stock,2025,10-K,annual,YF_TS,2025-12-31,total_assets,annualTotalAssets,2269300000.0
CENX,CENX,Century Aluminum Company - Common Stock,2022,10-K,annual,YF_TS,2022-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,1072700000.0
CENX,CENX,Century Aluminum Company - Common Stock,2023,10-K,annual,YF_TS,2023-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,1502400000.0
CENX,CENX,Century Aluminum Company - Common Stock,2024,10-K,annual,YF_TS,2024-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,1314600000.0
CENX,CENX,Century Aluminum Company - Common Stock,2025,10-K,annual,YF_TS,2025-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,1339400000.0
CENX,CENX,Century Aluminum Company - Common Stock,2022,10-K,annual,YF_TS,2022-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,54300000.0
CENX,CENX,Century Aluminum Company - Common Stock,2023,10-K,annual,YF_TS,2023-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,88800000.0
CENX,CENX,Century Aluminum Company - Common Stock,2024,10-K,annual,YF_TS,2024-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,32900000.0
CENX,CENX,Century Aluminum Company - Common Stock,2025,10-K,annual,YF_TS,2025-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,134200000.0
CENX,CENX,Century Aluminum Company - Common Stock,2022,10-K,annual,YF_TS,2022-12-31,operating_income,annualOperatingIncome,9200000.0
