ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,operating_cash_flow,quarterlyOperatingCashFlow,198171000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2025,10-Q,half,YF_TS,2025-06-30,operating_cash_flow,quarterlyOperatingCashFlow,208050000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,operating_cash_flow,quarterlyOperatingCashFlow,316692000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,operating_cash_flow,quarterlyOperatingCashFlow,205273000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,revenue,quarterlyTotalRevenue,1579977000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2025,10-Q,half,YF_TS,2025-06-30,revenue,quarterlyTotalRevenue,1855519000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,revenue,quarterlyTotalRevenue,1888317000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,revenue,quarterlyTotalRevenue,1846668000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,3904324000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2025,10-Q,half,YF_TS,2025-06-30,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,3911272000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,4032586000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,5036178000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,investing_cash_flow,quarterlyInvestingCashFlow,-139695000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2025,10-Q,half,YF_TS,2025-06-30,investing_cash_flow,quarterlyInvestingCashFlow,-67664000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,investing_cash_flow,quarterlyInvestingCashFlow,145684000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,investing_cash_flow,quarterlyInvestingCashFlow,-68338000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,total_assets,quarterlyTotalAssets,5403738000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2025,10-Q,half,YF_TS,2025-06-30,total_assets,quarterlyTotalAssets,5541491000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,total_assets,quarterlyTotalAssets,5668510000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,total_assets,quarterlyTotalAssets,4392708000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,capex,quarterlyCapitalExpenditure,-97866000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2025,10-Q,half,YF_TS,2025-06-30,capex,quarterlyCapitalExpenditure,-59517000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,capex,quarterlyCapitalExpenditure,-52611000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,capex,quarterlyCapitalExpenditure,-63112000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,cash,quarterlyCashAndCashEquivalents,1151805000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2025,10-Q,half,YF_TS,2025-06-30,cash,quarterlyCashAndCashEquivalents,1219925000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,cash,quarterlyCashAndCashEquivalents,1532473000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,cash,quarterlyCashAndCashEquivalents,232947000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,short_term_debt,quarterlyCurrentDebt,349781000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2025,10-Q,half,YF_TS,2025-06-30,short_term_debt,quarterlyCurrentDebt,349863000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,short_term_debt,quarterlyCurrentDebt,349945000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,short_term_debt,quarterlyCurrentDebt,100000000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,1491855000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2025,10-Q,half,YF_TS,2025-06-30,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,1570111000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,1681534000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,232947000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,operating_income,quarterlyOperatingIncome,189820000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2025,10-Q,half,YF_TS,2025-06-30,operating_income,quarterlyOperatingIncome,272084000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,operating_income,quarterlyOperatingIncome,246634000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,operating_income,quarterlyOperatingIncome,237524000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,financing_cash_flow,quarterlyFinancingCashFlow,-42495000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2025,10-Q,half,YF_TS,2025-06-30,financing_cash_flow,quarterlyFinancingCashFlow,-72266000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,financing_cash_flow,quarterlyFinancingCashFlow,-149828000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,financing_cash_flow,quarterlyFinancingCashFlow,-185906000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,net_income,quarterlyNetIncome,103611000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2025,10-Q,half,YF_TS,2025-06-30,net_income,quarterlyNetIncome,187387000.0
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,net_income,quarterlyNetIncome,142334000.0
