ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
DBL,DBL,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,2022,10-K,annual,YF_TS,2022-09-30,cash,annualCashAndCashEquivalents,76976.0
DBL,DBL,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,2023,10-K,annual,YF_TS,2023-09-30,cash,annualCashAndCashEquivalents,196085.0
DBL,DBL,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,2024,10-K,annual,YF_TS,2024-09-30,cash,annualCashAndCashEquivalents,225253.0
DBL,DBL,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,2025,10-K,annual,YF_TS,2025-09-30,cash,annualCashAndCashEquivalents,1275467.0
DBL,DBL,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,2022,10-K,annual,YF_TS,2022-09-30,revenue,annualTotalRevenue,-51669429.0
DBL,DBL,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,2023,10-K,annual,YF_TS,2023-09-30,revenue,annualTotalRevenue,15427764.0
DBL,DBL,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,2024,10-K,annual,YF_TS,2024-09-30,revenue,annualTotalRevenue,46300805.0
DBL,DBL,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,2025,10-K,annual,YF_TS,2025-09-30,revenue,annualTotalRevenue,21224775.0
DBL,DBL,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,2022,10-K,annual,YF_TS,2022-09-30,operating_cash_flow,annualOperatingCashFlow,31942001.0
DBL,DBL,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,2023,10-K,annual,YF_TS,2023-09-30,operating_cash_flow,annualOperatingCashFlow,3608366.0
DBL,DBL,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,2024,10-K,annual,YF_TS,2024-09-30,operating_cash_flow,annualOperatingCashFlow,4008766.0
DBL,DBL,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,2025,10-K,annual,YF_TS,2025-09-30,operating_cash_flow,annualOperatingCashFlow,33363036.0
DBL,DBL,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,2022,10-K,annual,YF_TS,2022-09-30,total_assets,annualTotalAssets,275331711.0
DBL,DBL,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,2023,10-K,annual,YF_TS,2023-09-30,total_assets,annualTotalAssets,287829968.0
DBL,DBL,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,2024,10-K,annual,YF_TS,2024-09-30,total_assets,annualTotalAssets,332433481.0
DBL,DBL,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,2025,10-K,annual,YF_TS,2025-09-30,total_assets,annualTotalAssets,330379809.0
DBL,DBL,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,2022,10-K,annual,YF_TS,2022-09-30,financing_cash_flow,annualFinancingCashFlow,-31969327.0
DBL,DBL,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,2023,10-K,annual,YF_TS,2023-09-30,financing_cash_flow,annualFinancingCashFlow,-3489257.0
DBL,DBL,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,2024,10-K,annual,YF_TS,2024-09-30,financing_cash_flow,annualFinancingCashFlow,-3979598.0
DBL,DBL,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,2025,10-K,annual,YF_TS,2025-09-30,financing_cash_flow,annualFinancingCashFlow,-32312822.0
DBL,DBL,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,2022,10-K,annual,YF_TS,2022-09-30,net_income,annualNetIncome,-52207026.0
DBL,DBL,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,2023,10-K,annual,YF_TS,2023-09-30,net_income,annualNetIncome,14909153.0
DBL,DBL,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,2024,10-K,annual,YF_TS,2024-09-30,net_income,annualNetIncome,45573912.0
DBL,DBL,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,2025,10-K,annual,YF_TS,2025-09-30,net_income,annualNetIncome,20560617.0
