ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
DEO,DEO,Diageo plc Common Stock,2022,10-K,annual,YF_TS,2022-06-30,financing_cash_flow,annualFinancingCashFlow,-4373000000.0
DEO,DEO,Diageo plc Common Stock,2023,10-K,annual,YF_TS,2023-06-30,financing_cash_flow,annualFinancingCashFlow,-3041000000.0
DEO,DEO,Diageo plc Common Stock,2024,10-K,annual,YF_TS,2024-06-30,financing_cash_flow,annualFinancingCashFlow,-3106000000.0
DEO,DEO,Diageo plc Common Stock,2025,10-K,annual,YF_TS,2025-06-30,financing_cash_flow,annualFinancingCashFlow,-1494000000.0
DEO,DEO,Diageo plc Common Stock,2022,10-K,annual,YF_TS,2022-06-30,cash,annualCashCashEquivalentsAndShortTermInvestments,3068000000.0
DEO,DEO,Diageo plc Common Stock,2023,10-K,annual,YF_TS,2023-06-30,cash,annualCashCashEquivalentsAndShortTermInvestments,2062000000.0
DEO,DEO,Diageo plc Common Stock,2024,10-K,annual,YF_TS,2024-06-30,cash,annualCashCashEquivalentsAndShortTermInvestments,1405000000.0
DEO,DEO,Diageo plc Common Stock,2025,10-K,annual,YF_TS,2025-06-30,cash,annualCashCashEquivalentsAndShortTermInvestments,2647000000.0
DEO,DEO,Diageo plc Common Stock,2022,10-K,annual,YF_TS,2022-06-30,eps,annualBasicEPS,6.801863
DEO,DEO,Diageo plc Common Stock,2023,10-K,annual,YF_TS,2023-06-30,eps,annualBasicEPS,8.319564
DEO,DEO,Diageo plc Common Stock,2024,10-K,annual,YF_TS,2024-06-30,eps,annualBasicEPS,6.928
DEO,DEO,Diageo plc Common Stock,2025,10-K,annual,YF_TS,2025-06-30,eps,annualBasicEPS,4.236
DEO,DEO,Diageo plc Common Stock,2022,10-K,annual,YF_TS,2022-06-30,revenue,annualTotalRevenue,20516000000.0
DEO,DEO,Diageo plc Common Stock,2023,10-K,annual,YF_TS,2023-06-30,revenue,annualTotalRevenue,20555000000.0
DEO,DEO,Diageo plc Common Stock,2024,10-K,annual,YF_TS,2024-06-30,revenue,annualTotalRevenue,20269000000.0
DEO,DEO,Diageo plc Common Stock,2025,10-K,annual,YF_TS,2025-06-30,revenue,annualTotalRevenue,20245000000.0
DEO,DEO,Diageo plc Common Stock,2022,10-K,annual,YF_TS,2022-06-30,eps,annualDilutedEPS,6.777605
DEO,DEO,Diageo plc Common Stock,2023,10-K,annual,YF_TS,2023-06-30,eps,annualDilutedEPS,8.294338
DEO,DEO,Diageo plc Common Stock,2024,10-K,annual,YF_TS,2024-06-30,eps,annualDilutedEPS,6.912
DEO,DEO,Diageo plc Common Stock,2025,10-K,annual,YF_TS,2025-06-30,eps,annualDilutedEPS,4.228
DEO,DEO,Diageo plc Common Stock,2022,10-K,annual,YF_TS,2022-06-30,total_equity,annualStockholdersEquity,9435000000.0
DEO,DEO,Diageo plc Common Stock,2023,10-K,annual,YF_TS,2023-06-30,total_equity,annualStockholdersEquity,9856000000.0
DEO,DEO,Diageo plc Common Stock,2024,10-K,annual,YF_TS,2024-06-30,total_equity,annualStockholdersEquity,10032000000.0
DEO,DEO,Diageo plc Common Stock,2025,10-K,annual,YF_TS,2025-06-30,total_equity,annualStockholdersEquity,11090000000.0
DEO,DEO,Diageo plc Common Stock,2022,10-K,annual,YF_TS,2022-06-30,cash,annualCashAndCashEquivalents,2765000000.0
DEO,DEO,Diageo plc Common Stock,2023,10-K,annual,YF_TS,2023-06-30,cash,annualCashAndCashEquivalents,1813000000.0
DEO,DEO,Diageo plc Common Stock,2024,10-K,annual,YF_TS,2024-06-30,cash,annualCashAndCashEquivalents,1130000000.0
DEO,DEO,Diageo plc Common Stock,2025,10-K,annual,YF_TS,2025-06-30,cash,annualCashAndCashEquivalents,2200000000.0
DEO,DEO,Diageo plc Common Stock,2022,10-K,annual,YF_TS,2022-06-30,long_term_debt,annualLongTermDebt,17543000000.0
DEO,DEO,Diageo plc Common Stock,2023,10-K,annual,YF_TS,2023-06-30,long_term_debt,annualLongTermDebt,18649000000.0
