ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
DHC,DHC,Diversified Healthcare Trust  - Common Shares of Beneficial Interest,2025,10-Q,q1,YF_TS,2025-03-31,total_equity,quarterlyStockholdersEquity,1948051000.0
DHC,DHC,Diversified Healthcare Trust  - Common Shares of Beneficial Interest,2025,10-Q,half,YF_TS,2025-06-30,total_equity,quarterlyStockholdersEquity,1854973000.0
DHC,DHC,Diversified Healthcare Trust  - Common Shares of Beneficial Interest,2025,10-Q,q3,YF_TS,2025-09-30,total_equity,quarterlyStockholdersEquity,1688730000.0
DHC,DHC,Diversified Healthcare Trust  - Common Shares of Beneficial Interest,2026,10-Q,q1,YF_TS,2026-03-31,total_equity,quarterlyStockholdersEquity,1620419000.0
DHC,DHC,Diversified Healthcare Trust  - Common Shares of Beneficial Interest,2025,10-Q,q1,YF_TS,2025-03-31,eps,quarterlyDilutedEPS,-0.04
DHC,DHC,Diversified Healthcare Trust  - Common Shares of Beneficial Interest,2025,10-Q,half,YF_TS,2025-06-30,eps,quarterlyDilutedEPS,-0.38
DHC,DHC,Diversified Healthcare Trust  - Common Shares of Beneficial Interest,2025,10-Q,q3,YF_TS,2025-09-30,eps,quarterlyDilutedEPS,-0.68
DHC,DHC,Diversified Healthcare Trust  - Common Shares of Beneficial Interest,2026,10-Q,q1,YF_TS,2026-03-31,eps,quarterlyDilutedEPS,-0.18
DHC,DHC,Diversified Healthcare Trust  - Common Shares of Beneficial Interest,2025,10-Q,q1,YF_TS,2025-03-31,investing_cash_flow,quarterlyInvestingCashFlow,291093000.0
DHC,DHC,Diversified Healthcare Trust  - Common Shares of Beneficial Interest,2025,10-Q,half,YF_TS,2025-06-30,investing_cash_flow,quarterlyInvestingCashFlow,-21055000.0
DHC,DHC,Diversified Healthcare Trust  - Common Shares of Beneficial Interest,2025,10-Q,q3,YF_TS,2025-09-30,investing_cash_flow,quarterlyInvestingCashFlow,6116000.0
DHC,DHC,Diversified Healthcare Trust  - Common Shares of Beneficial Interest,2026,10-Q,q1,YF_TS,2026-03-31,investing_cash_flow,quarterlyInvestingCashFlow,13580000.0
DHC,DHC,Diversified Healthcare Trust  - Common Shares of Beneficial Interest,2025,10-Q,q1,YF_TS,2025-03-31,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,302577000.0
DHC,DHC,Diversified Healthcare Trust  - Common Shares of Beneficial Interest,2025,10-Q,half,YF_TS,2025-06-30,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,141769000.0
DHC,DHC,Diversified Healthcare Trust  - Common Shares of Beneficial Interest,2025,10-Q,q3,YF_TS,2025-09-30,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,201371000.0
DHC,DHC,Diversified Healthcare Trust  - Common Shares of Beneficial Interest,2026,10-Q,q1,YF_TS,2026-03-31,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,121774000.0
DHC,DHC,Diversified Healthcare Trust  - Common Shares of Beneficial Interest,2025,10-Q,q1,YF_TS,2025-03-31,gross_profit,quarterlyGrossProfit,72538000.0
DHC,DHC,Diversified Healthcare Trust  - Common Shares of Beneficial Interest,2025,10-Q,half,YF_TS,2025-06-30,gross_profit,quarterlyGrossProfit,70132000.0
DHC,DHC,Diversified Healthcare Trust  - Common Shares of Beneficial Interest,2025,10-Q,q3,YF_TS,2025-09-30,gross_profit,quarterlyGrossProfit,63319000.0
DHC,DHC,Diversified Healthcare Trust  - Common Shares of Beneficial Interest,2026,10-Q,q1,YF_TS,2026-03-31,gross_profit,quarterlyGrossProfit,75915000.0
DHC,DHC,Diversified Healthcare Trust  - Common Shares of Beneficial Interest,2025,10-Q,q1,YF_TS,2025-03-31,cash,quarterlyCashAndCashEquivalents,302577000.0
DHC,DHC,Diversified Healthcare Trust  - Common Shares of Beneficial Interest,2025,10-Q,half,YF_TS,2025-06-30,cash,quarterlyCashAndCashEquivalents,141769000.0
DHC,DHC,Diversified Healthcare Trust  - Common Shares of Beneficial Interest,2025,10-Q,q3,YF_TS,2025-09-30,cash,quarterlyCashAndCashEquivalents,201371000.0
DHC,DHC,Diversified Healthcare Trust  - Common Shares of Beneficial Interest,2026,10-Q,q1,YF_TS,2026-03-31,cash,quarterlyCashAndCashEquivalents,121774000.0
DHC,DHC,Diversified Healthcare Trust  - Common Shares of Beneficial Interest,2025,10-Q,q1,YF_TS,2025-03-31,eps,quarterlyBasicEPS,-0.04
DHC,DHC,Diversified Healthcare Trust  - Common Shares of Beneficial Interest,2025,10-Q,half,YF_TS,2025-06-30,eps,quarterlyBasicEPS,-0.38
