ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
ECPG,ECPG,Encore Capital Group Inc - Common Stock,2022,10-K,annual,YF_TS,2022-12-31,net_income,annualNetIncome,194564000.0
ECPG,ECPG,Encore Capital Group Inc - Common Stock,2023,10-K,annual,YF_TS,2023-12-31,net_income,annualNetIncome,-206492000.0
ECPG,ECPG,Encore Capital Group Inc - Common Stock,2024,10-K,annual,YF_TS,2024-12-31,net_income,annualNetIncome,-139244000.0
ECPG,ECPG,Encore Capital Group Inc - Common Stock,2025,10-K,annual,YF_TS,2025-12-31,net_income,annualNetIncome,256834000.0
ECPG,ECPG,Encore Capital Group Inc - Common Stock,2022,10-K,annual,YF_TS,2022-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,3328733000.0
ECPG,ECPG,Encore Capital Group Inc - Common Stock,2023,10-K,annual,YF_TS,2023-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,3693948000.0
ECPG,ECPG,Encore Capital Group Inc - Common Stock,2024,10-K,annual,YF_TS,2024-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,4022398000.0
ECPG,ECPG,Encore Capital Group Inc - Common Stock,2025,10-K,annual,YF_TS,2025-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,4363050000.0
ECPG,ECPG,Encore Capital Group Inc - Common Stock,2022,10-K,annual,YF_TS,2022-12-31,operating_cash_flow,annualOperatingCashFlow,210681000.0
ECPG,ECPG,Encore Capital Group Inc - Common Stock,2023,10-K,annual,YF_TS,2023-12-31,operating_cash_flow,annualOperatingCashFlow,152991000.0
ECPG,ECPG,Encore Capital Group Inc - Common Stock,2024,10-K,annual,YF_TS,2024-12-31,operating_cash_flow,annualOperatingCashFlow,156168000.0
ECPG,ECPG,Encore Capital Group Inc - Common Stock,2025,10-K,annual,YF_TS,2025-12-31,operating_cash_flow,annualOperatingCashFlow,153199000.0
ECPG,ECPG,Encore Capital Group Inc - Common Stock,2022,10-K,annual,YF_TS,2022-12-31,revenue,annualTotalRevenue,1398347000.0
ECPG,ECPG,Encore Capital Group Inc - Common Stock,2023,10-K,annual,YF_TS,2023-12-31,revenue,annualTotalRevenue,1222680000.0
ECPG,ECPG,Encore Capital Group Inc - Common Stock,2024,10-K,annual,YF_TS,2024-12-31,revenue,annualTotalRevenue,1316361000.0
ECPG,ECPG,Encore Capital Group Inc - Common Stock,2025,10-K,annual,YF_TS,2025-12-31,revenue,annualTotalRevenue,1768802000.0
ECPG,ECPG,Encore Capital Group Inc - Common Stock,2021,10-K,annual,YF_TS,2021-12-31,short_term_debt,annualCurrentDebt,514105000.0
ECPG,ECPG,Encore Capital Group Inc - Common Stock,2022,10-K,annual,YF_TS,2022-12-31,short_term_debt,annualCurrentDebt,68390000.0
ECPG,ECPG,Encore Capital Group Inc - Common Stock,2023,10-K,annual,YF_TS,2023-12-31,short_term_debt,annualCurrentDebt,29310000.0
ECPG,ECPG,Encore Capital Group Inc - Common Stock,2022,10-K,annual,YF_TS,2022-12-31,cash,annualCashAndCashEquivalents,143912000.0
ECPG,ECPG,Encore Capital Group Inc - Common Stock,2023,10-K,annual,YF_TS,2023-12-31,cash,annualCashAndCashEquivalents,158364000.0
