ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,270776000.0
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2025,10-Q,half,YF_TS,2025-06-30,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,339867000.0
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,355124000.0
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,230900000.0
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,revenue,quarterlyTotalRevenue,316000.0
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2025,10-Q,half,YF_TS,2025-06-30,revenue,quarterlyTotalRevenue,54000.0
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,revenue,quarterlyTotalRevenue,37000.0
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,revenue,quarterlyTotalRevenue,512000.0
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,operating_cash_flow,quarterlyOperatingCashFlow,-20295000.0
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2025,10-Q,half,YF_TS,2025-06-30,operating_cash_flow,quarterlyOperatingCashFlow,-23313000.0
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,operating_cash_flow,quarterlyOperatingCashFlow,-35563000.0
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,operating_cash_flow,quarterlyOperatingCashFlow,-31472000.0
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,gross_profit,quarterlyGrossProfit,-21065000.0
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2025,10-Q,half,YF_TS,2025-06-30,gross_profit,quarterlyGrossProfit,-26858000.0
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,gross_profit,quarterlyGrossProfit,-34219000.0
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,gross_profit,quarterlyGrossProfit,-11378000.0
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,net_income,quarterlyNetIncome,-10278000.0
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2025,10-Q,half,YF_TS,2025-06-30,net_income,quarterlyNetIncome,-124676000.0
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,net_income,quarterlyNetIncome,-222187000.0
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,net_income,quarterlyNetIncome,-38856000.0
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,eps,quarterlyBasicEPS,-0.14
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2025,10-Q,half,YF_TS,2025-06-30,eps,quarterlyBasicEPS,-1.2
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,eps,quarterlyBasicEPS,-1.55
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,eps,quarterlyBasicEPS,-0.18
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,operating_income,quarterlyOperatingIncome,-43787000.0
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2025,10-Q,half,YF_TS,2025-06-30,operating_income,quarterlyOperatingIncome,-47832000.0
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,operating_income,quarterlyOperatingIncome,-66929000.0
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,operating_income,quarterlyOperatingIncome,-33179000.0
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,total_equity,quarterlyStockholdersEquity,139808000.0
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2025,10-Q,half,YF_TS,2025-06-30,total_equity,quarterlyStockholdersEquity,59856000.0
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,total_equity,quarterlyStockholdersEquity,-77744000.0
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,total_equity,quarterlyStockholdersEquity,-12395000.0
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,capex,quarterlyCapitalExpenditure,-1568000.0
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2025,10-Q,half,YF_TS,2025-06-30,capex,quarterlyCapitalExpenditure,-3439000.0
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,capex,quarterlyCapitalExpenditure,-12018000.0
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,capex,quarterlyCapitalExpenditure,-495000.0
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,financing_cash_flow,quarterlyFinancingCashFlow,24601000.0
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2025,10-Q,half,YF_TS,2025-06-30,financing_cash_flow,quarterlyFinancingCashFlow,30451000.0
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,financing_cash_flow,quarterlyFinancingCashFlow,80731000.0
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,financing_cash_flow,quarterlyFinancingCashFlow,7835000.0
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,eps,quarterlyDilutedEPS,-0.14
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2025,10-Q,half,YF_TS,2025-06-30,eps,quarterlyDilutedEPS,-1.2
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,eps,quarterlyDilutedEPS,-1.55
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,eps,quarterlyDilutedEPS,-0.18
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,long_term_debt,quarterlyLongTermDebt,23367000.0
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2025,10-Q,half,YF_TS,2025-06-30,long_term_debt,quarterlyLongTermDebt,27066000.0
FFAI,FFAI,Faraday Future Intelligent Electric Inc. - Class A Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,long_term_debt,quarterlyLongTermDebt,73988000.0
