ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
GFF,GFF,Griffon Corporation Common Stock,2022,10-K,annual,YF_TS,2022-09-30,operating_income,annualOperatingIncome,327960000.0
GFF,GFF,Griffon Corporation Common Stock,2023,10-K,annual,YF_TS,2023-09-30,operating_income,annualOperatingIncome,306087000.0
GFF,GFF,Griffon Corporation Common Stock,2024,10-K,annual,YF_TS,2024-09-30,operating_income,annualOperatingIncome,398297000.0
GFF,GFF,Griffon Corporation Common Stock,2025,10-K,annual,YF_TS,2025-09-30,operating_income,annualOperatingIncome,449889000.0
GFF,GFF,Griffon Corporation Common Stock,2022,10-K,annual,YF_TS,2022-09-30,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,2338904000.0
GFF,GFF,Griffon Corporation Common Stock,2023,10-K,annual,YF_TS,2023-09-30,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,2103635000.0
GFF,GFF,Griffon Corporation Common Stock,2024,10-K,annual,YF_TS,2024-09-30,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,2146066000.0
GFF,GFF,Griffon Corporation Common Stock,2025,10-K,annual,YF_TS,2025-09-30,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,1989665000.0
GFF,GFF,Griffon Corporation Common Stock,2022,10-K,annual,YF_TS,2022-09-30,capex,annualCapitalExpenditure,-42488000.0
GFF,GFF,Griffon Corporation Common Stock,2023,10-K,annual,YF_TS,2023-09-30,capex,annualCapitalExpenditure,-63604000.0
GFF,GFF,Griffon Corporation Common Stock,2024,10-K,annual,YF_TS,2024-09-30,capex,annualCapitalExpenditure,-68399000.0
GFF,GFF,Griffon Corporation Common Stock,2025,10-K,annual,YF_TS,2025-09-30,capex,annualCapitalExpenditure,-52435000.0
GFF,GFF,Griffon Corporation Common Stock,2022,10-K,annual,YF_TS,2022-09-30,short_term_debt,annualCurrentDebt,12653000.0
GFF,GFF,Griffon Corporation Common Stock,2023,10-K,annual,YF_TS,2023-09-30,short_term_debt,annualCurrentDebt,9625000.0
GFF,GFF,Griffon Corporation Common Stock,2024,10-K,annual,YF_TS,2024-09-30,short_term_debt,annualCurrentDebt,8155000.0
GFF,GFF,Griffon Corporation Common Stock,2025,10-K,annual,YF_TS,2025-09-30,short_term_debt,annualCurrentDebt,8103000.0
GFF,GFF,Griffon Corporation Common Stock,2022,10-K,annual,YF_TS,2022-09-30,operating_cash_flow,annualOperatingCashFlow,69438000.0
GFF,GFF,Griffon Corporation Common Stock,2023,10-K,annual,YF_TS,2023-09-30,operating_cash_flow,annualOperatingCashFlow,428771000.0
GFF,GFF,Griffon Corporation Common Stock,2024,10-K,annual,YF_TS,2024-09-30,operating_cash_flow,annualOperatingCashFlow,377266000.0
GFF,GFF,Griffon Corporation Common Stock,2025,10-K,annual,YF_TS,2025-09-30,operating_cash_flow,annualOperatingCashFlow,356018000.0
GFF,GFF,Griffon Corporation Common Stock,2022,10-K,annual,YF_TS,2022-09-30,total_assets,annualTotalAssets,2816474000.0
