ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,net_income,quarterlyNetIncome,84682000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2025,10-Q,half,YF_TS,2025-06-30,net_income,quarterlyNetIncome,137900000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,net_income,quarterlyNetIncome,120155000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,net_income,quarterlyNetIncome,-65789000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,2511691000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,2584135000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,7065428000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,long_term_debt,quarterlyLongTermDebt,1803600000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,long_term_debt,quarterlyLongTermDebt,1304220000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,long_term_debt,quarterlyLongTermDebt,4265100000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,75496000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,112633000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,237055000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,eps,quarterlyDilutedEPS,0.56
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2025,10-Q,half,YF_TS,2025-06-30,eps,quarterlyDilutedEPS,0.91
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,eps,quarterlyDilutedEPS,0.8
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,eps,quarterlyDilutedEPS,-0.36
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,eps,quarterlyBasicEPS,0.56
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2025,10-Q,half,YF_TS,2025-06-30,eps,quarterlyBasicEPS,0.91
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,eps,quarterlyBasicEPS,0.81
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,eps,quarterlyBasicEPS,-0.36
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,investing_cash_flow,quarterlyInvestingCashFlow,-23304000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,investing_cash_flow,quarterlyInvestingCashFlow,-23500000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,investing_cash_flow,quarterlyInvestingCashFlow,-30412000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,capex,quarterlyCapitalExpenditure,-23319000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,capex,quarterlyCapitalExpenditure,-24182000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,capex,quarterlyCapitalExpenditure,-30412000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,cash,quarterlyCashAndCashEquivalents,75496000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,cash,quarterlyCashAndCashEquivalents,112633000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,cash,quarterlyCashAndCashEquivalents,237055000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,total_assets,quarterlyTotalAssets,3917174000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,total_assets,quarterlyTotalAssets,4072211000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,total_assets,quarterlyTotalAssets,10473214000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,gross_profit,quarterlyGrossProfit,221937000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2025,10-Q,half,YF_TS,2025-06-30,gross_profit,quarterlyGrossProfit,289400000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,gross_profit,quarterlyGrossProfit,306597000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,gross_profit,quarterlyGrossProfit,278354000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,short_term_debt,quarterlyCurrentDebt,450000000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,short_term_debt,quarterlyCurrentDebt,450000000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,total_equity,quarterlyStockholdersEquity,1405483000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,total_equity,quarterlyStockholdersEquity,1488076000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,total_equity,quarterlyStockholdersEquity,3407786000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,operating_cash_flow,quarterlyOperatingCashFlow,-142233000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,operating_cash_flow,quarterlyOperatingCashFlow,223941000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,operating_cash_flow,quarterlyOperatingCashFlow,-279474000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,revenue,quarterlyTotalRevenue,711672000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2025,10-Q,half,YF_TS,2025-06-30,revenue,quarterlyTotalRevenue,918500000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,revenue,quarterlyTotalRevenue,910567000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,revenue,quarterlyTotalRevenue,1165944000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,financing_cash_flow,quarterlyFinancingCashFlow,142122000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,financing_cash_flow,quarterlyFinancingCashFlow,-173685000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,financing_cash_flow,quarterlyFinancingCashFlow,265248000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,operating_income,quarterlyOperatingIncome,134617000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2025,10-Q,half,YF_TS,2025-06-30,operating_income,quarterlyOperatingIncome,207700000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,operating_income,quarterlyOperatingIncome,211337000.0
GIL,GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,operating_income,quarterlyOperatingIncome,59700000.0
