ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2025,10-Q,q1,YF_TS,2025-03-31,eps,quarterlyDilutedEPS,-0.21
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2025,10-Q,half,YF_TS,2025-06-30,eps,quarterlyDilutedEPS,-0.3
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2025,10-Q,q3,YF_TS,2025-09-30,eps,quarterlyDilutedEPS,-0.3
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2026,10-Q,q1,YF_TS,2026-03-31,eps,quarterlyDilutedEPS,-0.39
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2025,10-Q,q1,YF_TS,2025-03-31,net_income,quarterlyNetIncome,-2744780.0
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2025,10-Q,half,YF_TS,2025-06-30,net_income,quarterlyNetIncome,-4025278.0
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2025,10-Q,q3,YF_TS,2025-09-30,net_income,quarterlyNetIncome,-4151845.0
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2026,10-Q,q1,YF_TS,2026-03-31,net_income,quarterlyNetIncome,-5657137.0
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2025,10-Q,q1,YF_TS,2025-03-31,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,2749959.0
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2025,10-Q,half,YF_TS,2025-06-30,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,3125101.0
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2025,10-Q,q3,YF_TS,2025-09-30,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,3806978.0
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2026,10-Q,q1,YF_TS,2026-03-31,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,10505435.0
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2025,10-Q,q1,YF_TS,2025-03-31,total_equity,quarterlyStockholdersEquity,1312311.0
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2025,10-Q,half,YF_TS,2025-06-30,total_equity,quarterlyStockholdersEquity,1439492.0
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2025,10-Q,q3,YF_TS,2025-09-30,total_equity,quarterlyStockholdersEquity,2184977.0
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2026,10-Q,q1,YF_TS,2026-03-31,total_equity,quarterlyStockholdersEquity,5270206.0
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2025,10-Q,q1,YF_TS,2025-03-31,total_assets,quarterlyTotalAssets,2750835.0
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2025,10-Q,half,YF_TS,2025-06-30,total_assets,quarterlyTotalAssets,3125101.0
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2025,10-Q,q3,YF_TS,2025-09-30,total_assets,quarterlyTotalAssets,3806978.0
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2026,10-Q,q1,YF_TS,2026-03-31,total_assets,quarterlyTotalAssets,10505435.0
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2025,10-Q,q1,YF_TS,2025-03-31,operating_cash_flow,quarterlyOperatingCashFlow,-1834454.0
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2025,10-Q,half,YF_TS,2025-06-30,operating_cash_flow,quarterlyOperatingCashFlow,-2233103.0
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2025,10-Q,q3,YF_TS,2025-09-30,operating_cash_flow,quarterlyOperatingCashFlow,-2671239.0
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2026,10-Q,q1,YF_TS,2026-03-31,operating_cash_flow,quarterlyOperatingCashFlow,-4702498.0
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2025,10-Q,q1,YF_TS,2025-03-31,cash,quarterlyCashAndCashEquivalents,2749959.0
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2025,10-Q,half,YF_TS,2025-06-30,cash,quarterlyCashAndCashEquivalents,3125101.0
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2025,10-Q,q3,YF_TS,2025-09-30,cash,quarterlyCashAndCashEquivalents,3806978.0
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2026,10-Q,q1,YF_TS,2026-03-31,cash,quarterlyCashAndCashEquivalents,10505435.0
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2025,10-Q,q1,YF_TS,2025-03-31,eps,quarterlyBasicEPS,-0.21
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2025,10-Q,half,YF_TS,2025-06-30,eps,quarterlyBasicEPS,-0.3
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2025,10-Q,q3,YF_TS,2025-09-30,eps,quarterlyBasicEPS,-0.3
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2026,10-Q,q1,YF_TS,2026-03-31,eps,quarterlyBasicEPS,-0.39
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2025,10-Q,q1,YF_TS,2025-03-31,revenue,quarterlyTotalRevenue,0.0
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2025,10-Q,half,YF_TS,2025-06-30,revenue,quarterlyTotalRevenue,0.0
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2025,10-Q,q3,YF_TS,2025-09-30,revenue,quarterlyTotalRevenue,0.0
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2026,10-Q,q1,YF_TS,2026-03-31,revenue,quarterlyTotalRevenue,0.0
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2025,10-Q,q1,YF_TS,2025-03-31,operating_income,quarterlyOperatingIncome,-2768750.0
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2025,10-Q,half,YF_TS,2025-06-30,operating_income,quarterlyOperatingIncome,-4045953.0
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2025,10-Q,q3,YF_TS,2025-09-30,operating_income,quarterlyOperatingIncome,-4174642.0
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2026,10-Q,q1,YF_TS,2026-03-31,operating_income,quarterlyOperatingIncome,-5725754.0
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2025,10-Q,q1,YF_TS,2025-03-31,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,1438524.0
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2025,10-Q,half,YF_TS,2025-06-30,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,1685609.0
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2025,10-Q,q3,YF_TS,2025-09-30,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,1622001.0
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2026,10-Q,q1,YF_TS,2026-03-31,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,5235229.0
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2025,10-Q,q1,YF_TS,2025-03-31,financing_cash_flow,quarterlyFinancingCashFlow,492423.0
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2025,10-Q,half,YF_TS,2025-06-30,financing_cash_flow,quarterlyFinancingCashFlow,2608245.0
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2025,10-Q,q3,YF_TS,2025-09-30,financing_cash_flow,quarterlyFinancingCashFlow,3353116.0
GLSI,GLSI,"Greenwich LifeSciences, Inc. - Common stock",2026,10-Q,q1,YF_TS,2026-03-31,financing_cash_flow,quarterlyFinancingCashFlow,9029912.0
