ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
GRDX,GRDX,GridAI Technologies Corp.  - Common Stock,2021,10-K,annual,YF_TS,2021-12-31,capex,annualCapitalExpenditure,-10319488.0
GRDX,GRDX,GridAI Technologies Corp.  - Common Stock,2023,10-K,annual,YF_TS,2023-12-31,capex,annualCapitalExpenditure,-500000.0
GRDX,GRDX,GridAI Technologies Corp.  - Common Stock,2022,10-K,annual,YF_TS,2022-12-31,operating_income,annualOperatingIncome,-12678066.0
GRDX,GRDX,GridAI Technologies Corp.  - Common Stock,2023,10-K,annual,YF_TS,2023-12-31,operating_income,annualOperatingIncome,-15770827.0
GRDX,GRDX,GridAI Technologies Corp.  - Common Stock,2024,10-K,annual,YF_TS,2024-12-31,operating_income,annualOperatingIncome,-15621274.0
GRDX,GRDX,GridAI Technologies Corp.  - Common Stock,2025,10-K,annual,YF_TS,2025-12-31,operating_income,annualOperatingIncome,-7083438.0
GRDX,GRDX,GridAI Technologies Corp.  - Common Stock,2022,10-K,annual,YF_TS,2022-12-31,investing_cash_flow,annualInvestingCashFlow,0.0
GRDX,GRDX,GridAI Technologies Corp.  - Common Stock,2023,10-K,annual,YF_TS,2023-12-31,investing_cash_flow,annualInvestingCashFlow,-500000.0
GRDX,GRDX,GridAI Technologies Corp.  - Common Stock,2024,10-K,annual,YF_TS,2024-12-31,investing_cash_flow,annualInvestingCashFlow,88169.0
GRDX,GRDX,GridAI Technologies Corp.  - Common Stock,2025,10-K,annual,YF_TS,2025-12-31,investing_cash_flow,annualInvestingCashFlow,323482.0
GRDX,GRDX,GridAI Technologies Corp.  - Common Stock,2021,10-K,annual,YF_TS,2021-12-31,short_term_debt,annualCurrentDebt,641236.0
GRDX,GRDX,GridAI Technologies Corp.  - Common Stock,2022,10-K,annual,YF_TS,2022-12-31,short_term_debt,annualCurrentDebt,603494.0
GRDX,GRDX,GridAI Technologies Corp.  - Common Stock,2023,10-K,annual,YF_TS,2023-12-31,short_term_debt,annualCurrentDebt,612784.0
GRDX,GRDX,GridAI Technologies Corp.  - Common Stock,2025,10-K,annual,YF_TS,2025-12-31,short_term_debt,annualCurrentDebt,2027184.0
GRDX,GRDX,GridAI Technologies Corp.  - Common Stock,2024,10-K,annual,YF_TS,2024-12-31,gross_profit,annualGrossProfit,0.0
GRDX,GRDX,GridAI Technologies Corp.  - Common Stock,2025,10-K,annual,YF_TS,2025-12-31,gross_profit,annualGrossProfit,-657432.0
GRDX,GRDX,GridAI Technologies Corp.  - Common Stock,2022,10-K,annual,YF_TS,2022-12-31,total_equity,annualStockholdersEquity,2742152.0
GRDX,GRDX,GridAI Technologies Corp.  - Common Stock,2023,10-K,annual,YF_TS,2023-12-31,total_equity,annualStockholdersEquity,3602929.0
GRDX,GRDX,GridAI Technologies Corp.  - Common Stock,2024,10-K,annual,YF_TS,2024-12-31,total_equity,annualStockholdersEquity,57804362.0
GRDX,GRDX,GridAI Technologies Corp.  - Common Stock,2025,10-K,annual,YF_TS,2025-12-31,total_equity,annualStockholdersEquity,23707493.0
GRDX,GRDX,GridAI Technologies Corp.  - Common Stock,2022,10-K,annual,YF_TS,2022-12-31,net_income,annualNetIncome,-14629642.0
GRDX,GRDX,GridAI Technologies Corp.  - Common Stock,2023,10-K,annual,YF_TS,2023-12-31,net_income,annualNetIncome,-15794983.0
GRDX,GRDX,GridAI Technologies Corp.  - Common Stock,2024,10-K,annual,YF_TS,2024-12-31,net_income,annualNetIncome,-18059336.0
GRDX,GRDX,GridAI Technologies Corp.  - Common Stock,2025,10-K,annual,YF_TS,2025-12-31,net_income,annualNetIncome,-6392654.0
GRDX,GRDX,GridAI Technologies Corp.  - Common Stock,2022,10-K,annual,YF_TS,2022-12-31,financing_cash_flow,annualFinancingCashFlow,15739531.0
GRDX,GRDX,GridAI Technologies Corp.  - Common Stock,2023,10-K,annual,YF_TS,2023-12-31,financing_cash_flow,annualFinancingCashFlow,15226721.0
GRDX,GRDX,GridAI Technologies Corp.  - Common Stock,2024,10-K,annual,YF_TS,2024-12-31,financing_cash_flow,annualFinancingCashFlow,5581354.0
GRDX,GRDX,GridAI Technologies Corp.  - Common Stock,2025,10-K,annual,YF_TS,2025-12-31,financing_cash_flow,annualFinancingCashFlow,5889383.0
GRDX,GRDX,GridAI Technologies Corp.  - Common Stock,2022,10-K,annual,YF_TS,2022-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,1362910.0
GRDX,GRDX,GridAI Technologies Corp.  - Common Stock,2023,10-K,annual,YF_TS,2023-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,3711770.0
GRDX,GRDX,GridAI Technologies Corp.  - Common Stock,2024,10-K,annual,YF_TS,2024-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,163476.0
GRDX,GRDX,GridAI Technologies Corp.  - Common Stock,2025,10-K,annual,YF_TS,2025-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,899784.0
GRDX,GRDX,GridAI Technologies Corp.  - Common Stock,2022,10-K,annual,YF_TS,2022-12-31,revenue,annualTotalRevenue,0.0
GRDX,GRDX,GridAI Technologies Corp.  - Common Stock,2023,10-K,annual,YF_TS,2023-12-31,revenue,annualTotalRevenue,0.0
GRDX,GRDX,GridAI Technologies Corp.  - Common Stock,2024,10-K,annual,YF_TS,2024-12-31,revenue,annualTotalRevenue,0.0
GRDX,GRDX,GridAI Technologies Corp.  - Common Stock,2025,10-K,annual,YF_TS,2025-12-31,revenue,annualTotalRevenue,36251.0
GRDX,GRDX,GridAI Technologies Corp.  - Common Stock,2022,10-K,annual,YF_TS,2022-12-31,cash,annualCashAndCashEquivalents,1362910.0
GRDX,GRDX,GridAI Technologies Corp.  - Common Stock,2023,10-K,annual,YF_TS,2023-12-31,cash,annualCashAndCashEquivalents,3711770.0
GRDX,GRDX,GridAI Technologies Corp.  - Common Stock,2024,10-K,annual,YF_TS,2024-12-31,cash,annualCashAndCashEquivalents,163476.0
GRDX,GRDX,GridAI Technologies Corp.  - Common Stock,2025,10-K,annual,YF_TS,2025-12-31,cash,annualCashAndCashEquivalents,899784.0
GRDX,GRDX,GridAI Technologies Corp.  - Common Stock,2022,10-K,annual,YF_TS,2022-12-31,eps,annualBasicEPS,-1250.82
GRDX,GRDX,GridAI Technologies Corp.  - Common Stock,2023,10-K,annual,YF_TS,2023-12-31,eps,annualBasicEPS,-143.64
GRDX,GRDX,GridAI Technologies Corp.  - Common Stock,2024,10-K,annual,YF_TS,2024-12-31,eps,annualBasicEPS,-15.99
GRDX,GRDX,GridAI Technologies Corp.  - Common Stock,2025,10-K,annual,YF_TS,2025-12-31,eps,annualBasicEPS,-4.16
