ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
GT,GT,The Goodyear Tire & Rubber Company - Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,net_income,quarterlyNetIncome,115000000.0
GT,GT,The Goodyear Tire & Rubber Company - Common Stock,2025,10-Q,half,YF_TS,2025-06-30,net_income,quarterlyNetIncome,254000000.0
GT,GT,The Goodyear Tire & Rubber Company - Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,net_income,quarterlyNetIncome,-2195000000.0
GT,GT,The Goodyear Tire & Rubber Company - Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,net_income,quarterlyNetIncome,-249000000.0
GT,GT,The Goodyear Tire & Rubber Company - Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,long_term_debt,quarterlyLongTermDebt,7302000000.0
GT,GT,The Goodyear Tire & Rubber Company - Common Stock,2025,10-Q,half,YF_TS,2025-06-30,long_term_debt,quarterlyLongTermDebt,6559000000.0
GT,GT,The Goodyear Tire & Rubber Company - Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,long_term_debt,quarterlyLongTermDebt,7264000000.0
GT,GT,The Goodyear Tire & Rubber Company - Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,long_term_debt,quarterlyLongTermDebt,5276000000.0
GT,GT,The Goodyear Tire & Rubber Company - Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,financing_cash_flow,quarterlyFinancingCashFlow,211000000.0
GT,GT,The Goodyear Tire & Rubber Company - Common Stock,2025,10-Q,half,YF_TS,2025-06-30,financing_cash_flow,quarterlyFinancingCashFlow,-318000000.0
GT,GT,The Goodyear Tire & Rubber Company - Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,financing_cash_flow,quarterlyFinancingCashFlow,199000000.0
GT,GT,The Goodyear Tire & Rubber Company - Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,financing_cash_flow,quarterlyFinancingCashFlow,820000000.0
GT,GT,The Goodyear Tire & Rubber Company - Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,operating_income,quarterlyOperatingIncome,90000000.0
GT,GT,The Goodyear Tire & Rubber Company - Common Stock,2025,10-Q,half,YF_TS,2025-06-30,operating_income,quarterlyOperatingIncome,68000000.0
GT,GT,The Goodyear Tire & Rubber Company - Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,operating_income,quarterlyOperatingIncome,168000000.0
GT,GT,The Goodyear Tire & Rubber Company - Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,operating_income,quarterlyOperatingIncome,25000000.0
GT,GT,The Goodyear Tire & Rubber Company - Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,902000000.0
