ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
HBIO,HBIO,"Harvard Bioscience, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-12-31,total_assets,annualTotalAssets,145360000.0
HBIO,HBIO,"Harvard Bioscience, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-12-31,total_assets,annualTotalAssets,137366000.0
HBIO,HBIO,"Harvard Bioscience, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-12-31,total_assets,annualTotalAssets,126644000.0
HBIO,HBIO,"Harvard Bioscience, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,total_assets,annualTotalAssets,80071000.0
HBIO,HBIO,"Harvard Bioscience, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-12-31,revenue,annualTotalRevenue,113335000.0
HBIO,HBIO,"Harvard Bioscience, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-12-31,revenue,annualTotalRevenue,112250000.0
HBIO,HBIO,"Harvard Bioscience, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-12-31,revenue,annualTotalRevenue,94135000.0
HBIO,HBIO,"Harvard Bioscience, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,revenue,annualTotalRevenue,86550000.0
HBIO,HBIO,"Harvard Bioscience, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-12-31,financing_cash_flow,annualFinancingCashFlow,-2837000.0
HBIO,HBIO,"Harvard Bioscience, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-12-31,financing_cash_flow,annualFinancingCashFlow,-12134000.0
HBIO,HBIO,"Harvard Bioscience, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-12-31,financing_cash_flow,annualFinancingCashFlow,-131000.0
HBIO,HBIO,"Harvard Bioscience, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,financing_cash_flow,annualFinancingCashFlow,-1291000.0
HBIO,HBIO,"Harvard Bioscience, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-12-31,eps,annualBasicEPS,-2.3
HBIO,HBIO,"Harvard Bioscience, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-12-31,eps,annualBasicEPS,-0.8
HBIO,HBIO,"Harvard Bioscience, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-12-31,eps,annualBasicEPS,-2.8
HBIO,HBIO,"Harvard Bioscience, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,eps,annualBasicEPS,-12.8
HBIO,HBIO,"Harvard Bioscience, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-12-31,operating_cash_flow,annualOperatingCashFlow,1152000.0
HBIO,HBIO,"Harvard Bioscience, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-12-31,operating_cash_flow,annualOperatingCashFlow,14028000.0
HBIO,HBIO,"Harvard Bioscience, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-12-31,operating_cash_flow,annualOperatingCashFlow,1440000.0
HBIO,HBIO,"Harvard Bioscience, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,operating_cash_flow,annualOperatingCashFlow,6729000.0
HBIO,HBIO,"Harvard Bioscience, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-12-31,eps,annualDilutedEPS,-2.3
HBIO,HBIO,"Harvard Bioscience, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-12-31,eps,annualDilutedEPS,-0.8
HBIO,HBIO,"Harvard Bioscience, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-12-31,eps,annualDilutedEPS,-2.8
HBIO,HBIO,"Harvard Bioscience, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,eps,annualDilutedEPS,-12.8
HBIO,HBIO,"Harvard Bioscience, Inc. - Common Stock",2021,10-K,annual,YF_TS,2021-12-31,long_term_debt,annualLongTermDebt,45095000.0
HBIO,HBIO,"Harvard Bioscience, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-12-31,long_term_debt,annualLongTermDebt,43013000.0
HBIO,HBIO,"Harvard Bioscience, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-12-31,long_term_debt,annualLongTermDebt,30704000.0
