ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,q1,YF_TS,2025-03-31,operating_cash_flow,quarterlyOperatingCashFlow,40230000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,half,YF_TS,2025-06-30,operating_cash_flow,quarterlyOperatingCashFlow,10228000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,q3,YF_TS,2025-09-30,operating_cash_flow,quarterlyOperatingCashFlow,-10612000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2026,10-Q,q1,YF_TS,2026-03-31,operating_cash_flow,quarterlyOperatingCashFlow,16736000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,q1,YF_TS,2025-03-31,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,82461000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,half,YF_TS,2025-06-30,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,68213000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,q3,YF_TS,2025-09-30,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,68372000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2026,10-Q,q1,YF_TS,2026-03-31,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,109787000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,q1,YF_TS,2025-03-31,total_assets,quarterlyTotalAssets,531598000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,half,YF_TS,2025-06-30,total_assets,quarterlyTotalAssets,628734000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,q3,YF_TS,2025-09-30,total_assets,quarterlyTotalAssets,692971000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2026,10-Q,q1,YF_TS,2026-03-31,total_assets,quarterlyTotalAssets,639146000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,q1,YF_TS,2025-03-31,revenue,quarterlyTotalRevenue,31161000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,half,YF_TS,2025-06-30,revenue,quarterlyTotalRevenue,45611000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,q3,YF_TS,2025-09-30,revenue,quarterlyTotalRevenue,87253000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2026,10-Q,q1,YF_TS,2026-03-31,revenue,quarterlyTotalRevenue,71816000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,q1,YF_TS,2025-03-31,cash,quarterlyCashAndCashEquivalents,23375000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,half,YF_TS,2025-06-30,cash,quarterlyCashAndCashEquivalents,24601000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,q3,YF_TS,2025-09-30,cash,quarterlyCashAndCashEquivalents,22643000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2026,10-Q,q1,YF_TS,2026-03-31,cash,quarterlyCashAndCashEquivalents,23113000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,q1,YF_TS,2025-03-31,investing_cash_flow,quarterlyInvestingCashFlow,-93314000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,half,YF_TS,2025-06-30,investing_cash_flow,quarterlyInvestingCashFlow,-61956000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,q3,YF_TS,2025-09-30,investing_cash_flow,quarterlyInvestingCashFlow,-46145000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2026,10-Q,q1,YF_TS,2026-03-31,investing_cash_flow,quarterlyInvestingCashFlow,-47029000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,q1,YF_TS,2025-03-31,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,47511000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,half,YF_TS,2025-06-30,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,58295000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,q3,YF_TS,2025-09-30,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,48301000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2026,10-Q,q1,YF_TS,2026-03-31,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,32854000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,q1,YF_TS,2025-03-31,long_term_debt,quarterlyLongTermDebt,10200000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,half,YF_TS,2025-06-30,long_term_debt,quarterlyLongTermDebt,10759000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,q3,YF_TS,2025-09-30,long_term_debt,quarterlyLongTermDebt,10946000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2026,10-Q,q1,YF_TS,2026-03-31,long_term_debt,quarterlyLongTermDebt,23845000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,q1,YF_TS,2025-03-31,operating_income,quarterlyOperatingIncome,-19150000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,half,YF_TS,2025-06-30,operating_income,quarterlyOperatingIncome,6836000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,q3,YF_TS,2025-09-30,operating_income,quarterlyOperatingIncome,-9160000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2026,10-Q,q1,YF_TS,2026-03-31,operating_income,quarterlyOperatingIncome,-51804000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,q1,YF_TS,2025-03-31,capex,quarterlyCapitalExpenditure,-69751000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,half,YF_TS,2025-06-30,capex,quarterlyCapitalExpenditure,-47357000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,q3,YF_TS,2025-09-30,capex,quarterlyCapitalExpenditure,-37582000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2026,10-Q,q1,YF_TS,2026-03-31,capex,quarterlyCapitalExpenditure,-38500000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,q1,YF_TS,2025-03-31,financing_cash_flow,quarterlyFinancingCashFlow,66408000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,half,YF_TS,2025-06-30,financing_cash_flow,quarterlyFinancingCashFlow,52852000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,q3,YF_TS,2025-09-30,financing_cash_flow,quarterlyFinancingCashFlow,54476000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2026,10-Q,q1,YF_TS,2026-03-31,financing_cash_flow,quarterlyFinancingCashFlow,39337000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,q1,YF_TS,2025-03-31,short_term_debt,quarterlyCurrentDebt,39221000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,half,YF_TS,2025-06-30,short_term_debt,quarterlyCurrentDebt,23919000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,q3,YF_TS,2025-09-30,short_term_debt,quarterlyCurrentDebt,7400000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2026,10-Q,q1,YF_TS,2026-03-31,short_term_debt,quarterlyCurrentDebt,3641000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,q1,YF_TS,2025-03-31,gross_profit,quarterlyGrossProfit,-9251000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,half,YF_TS,2025-06-30,gross_profit,quarterlyGrossProfit,-6192000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,q3,YF_TS,2025-09-30,gross_profit,quarterlyGrossProfit,4112000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2026,10-Q,q1,YF_TS,2026-03-31,gross_profit,quarterlyGrossProfit,-35172000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,half,YF_TS,2025-06-30,eps,quarterlyBasicEPS,0.19
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,q3,YF_TS,2025-09-30,eps,quarterlyBasicEPS,-0.07
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,half,YF_TS,2025-06-30,eps,quarterlyDilutedEPS,0.18
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,q3,YF_TS,2025-09-30,eps,quarterlyDilutedEPS,-0.07
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,q1,YF_TS,2025-03-31,total_equity,quarterlyStockholdersEquity,449137000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,half,YF_TS,2025-06-30,total_equity,quarterlyStockholdersEquity,560521000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,q3,YF_TS,2025-09-30,total_equity,quarterlyStockholdersEquity,624599000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2026,10-Q,q1,YF_TS,2026-03-31,total_equity,quarterlyStockholdersEquity,529359000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,q1,YF_TS,2025-03-31,net_income,quarterlyNetIncome,142000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,half,YF_TS,2025-06-30,net_income,quarterlyNetIncome,35016000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2025,10-Q,q3,YF_TS,2025-09-30,net_income,quarterlyNetIncome,-15797000.0
HIVE,HIVE,HIVE Digital Technologies Ltd - Common Shares,2026,10-Q,q1,YF_TS,2026-03-31,net_income,quarterlyNetIncome,-76340000.0
