ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2022,10-K,annual,YF_TS,2022-04-30,financing_cash_flow,annualFinancingCashFlow,2883000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2023,10-K,annual,YF_TS,2023-04-30,financing_cash_flow,annualFinancingCashFlow,-621000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2024,10-K,annual,YF_TS,2024-04-30,financing_cash_flow,annualFinancingCashFlow,1021000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2025,10-K,annual,YF_TS,2025-04-30,financing_cash_flow,annualFinancingCashFlow,14893000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2022,10-K,annual,YF_TS,2022-04-30,cash,annualCashCashEquivalentsAndShortTermInvestments,29965000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2023,10-K,annual,YF_TS,2023-04-30,cash,annualCashCashEquivalentsAndShortTermInvestments,8280000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2024,10-K,annual,YF_TS,2024-04-30,cash,annualCashCashEquivalentsAndShortTermInvestments,3459000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2025,10-K,annual,YF_TS,2025-04-30,cash,annualCashCashEquivalentsAndShortTermInvestments,10665000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2022,10-K,annual,YF_TS,2022-04-30,total_assets,annualTotalAssets,93647000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2023,10-K,annual,YF_TS,2023-04-30,total_assets,annualTotalAssets,77813000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2024,10-K,annual,YF_TS,2024-04-30,total_assets,annualTotalAssets,59988000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2025,10-K,annual,YF_TS,2025-04-30,total_assets,annualTotalAssets,44441000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2022,10-K,annual,YF_TS,2022-04-30,total_equity,annualStockholdersEquity,75285000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2023,10-K,annual,YF_TS,2023-04-30,total_equity,annualStockholdersEquity,57803000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2024,10-K,annual,YF_TS,2024-04-30,total_equity,annualStockholdersEquity,35678000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2025,10-K,annual,YF_TS,2025-04-30,total_equity,annualStockholdersEquity,23626000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2022,10-K,annual,YF_TS,2022-04-30,cash,annualCashAndCashEquivalents,29965000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2023,10-K,annual,YF_TS,2023-04-30,cash,annualCashAndCashEquivalents,8280000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2024,10-K,annual,YF_TS,2024-04-30,cash,annualCashAndCashEquivalents,3459000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2025,10-K,annual,YF_TS,2025-04-30,cash,annualCashAndCashEquivalents,10665000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2022,10-K,annual,YF_TS,2022-04-30,gross_profit,annualGrossProfit,10983000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2023,10-K,annual,YF_TS,2023-04-30,gross_profit,annualGrossProfit,11563000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2024,10-K,annual,YF_TS,2024-04-30,gross_profit,annualGrossProfit,12053000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2025,10-K,annual,YF_TS,2025-04-30,gross_profit,annualGrossProfit,13548000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2022,10-K,annual,YF_TS,2022-04-30,operating_cash_flow,annualOperatingCashFlow,-9921000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2023,10-K,annual,YF_TS,2023-04-30,operating_cash_flow,annualOperatingCashFlow,-19833000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2024,10-K,annual,YF_TS,2024-04-30,operating_cash_flow,annualOperatingCashFlow,-3184000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2025,10-K,annual,YF_TS,2025-04-30,operating_cash_flow,annualOperatingCashFlow,-6410000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2022,10-K,annual,YF_TS,2022-04-30,operating_income,annualOperatingIncome,-16673000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2023,10-K,annual,YF_TS,2023-04-30,operating_income,annualOperatingIncome,-25611000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2024,10-K,annual,YF_TS,2024-04-30,operating_income,annualOperatingIncome,-13762000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2025,10-K,annual,YF_TS,2025-04-30,operating_income,annualOperatingIncome,-12196000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2022,10-K,annual,YF_TS,2022-04-30,eps,annualBasicEPS,-0.85
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2023,10-K,annual,YF_TS,2023-04-30,eps,annualBasicEPS,-1.07
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2024,10-K,annual,YF_TS,2024-04-30,eps,annualBasicEPS,-1.02
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2025,10-K,annual,YF_TS,2025-04-30,eps,annualBasicEPS,-0.91
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2022,10-K,annual,YF_TS,2022-04-30,eps,annualDilutedEPS,-0.85
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2023,10-K,annual,YF_TS,2023-04-30,eps,annualDilutedEPS,-1.07
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2024,10-K,annual,YF_TS,2024-04-30,eps,annualDilutedEPS,-1.02
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2025,10-K,annual,YF_TS,2025-04-30,eps,annualDilutedEPS,-0.91
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2022,10-K,annual,YF_TS,2022-04-30,capex,annualCapitalExpenditure,-1257000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2023,10-K,annual,YF_TS,2023-04-30,capex,annualCapitalExpenditure,-1495000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2024,10-K,annual,YF_TS,2024-04-30,capex,annualCapitalExpenditure,-1397000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2025,10-K,annual,YF_TS,2025-04-30,capex,annualCapitalExpenditure,-799000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2022,10-K,annual,YF_TS,2022-04-30,short_term_debt,annualCurrentDebt,1312000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2022,10-K,annual,YF_TS,2022-04-30,net_income,annualNetIncome,-16709000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2023,10-K,annual,YF_TS,2023-04-30,net_income,annualNetIncome,-26560000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2024,10-K,annual,YF_TS,2024-04-30,net_income,annualNetIncome,-26115000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2025,10-K,annual,YF_TS,2025-04-30,net_income,annualNetIncome,-30234000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2022,10-K,annual,YF_TS,2022-04-30,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,18362000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2023,10-K,annual,YF_TS,2023-04-30,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,20010000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2024,10-K,annual,YF_TS,2024-04-30,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,24310000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2025,10-K,annual,YF_TS,2025-04-30,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,20815000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2022,10-K,annual,YF_TS,2022-04-30,revenue,annualTotalRevenue,19364000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2023,10-K,annual,YF_TS,2023-04-30,revenue,annualTotalRevenue,20665000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2024,10-K,annual,YF_TS,2024-04-30,revenue,annualTotalRevenue,24518000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2025,10-K,annual,YF_TS,2025-04-30,revenue,annualTotalRevenue,24520000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2022,10-K,annual,YF_TS,2022-04-30,investing_cash_flow,annualInvestingCashFlow,-5208000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2023,10-K,annual,YF_TS,2023-04-30,investing_cash_flow,annualInvestingCashFlow,-1967000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2024,10-K,annual,YF_TS,2024-04-30,investing_cash_flow,annualInvestingCashFlow,-1563000.0
HYFT,HYFT,MindWalk Holdings Corp. - Common Stock,2025,10-K,annual,YF_TS,2025-04-30,investing_cash_flow,annualInvestingCashFlow,-799000.0
