ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
IBG,IBG,Innovation Beverage Group Limited - Ordinary Shares,2021,10-K,annual,YF_TS,2021-12-31,gross_profit,annualGrossProfit,2492404.0
IBG,IBG,Innovation Beverage Group Limited - Ordinary Shares,2022,10-K,annual,YF_TS,2022-12-31,gross_profit,annualGrossProfit,2405568.0
IBG,IBG,Innovation Beverage Group Limited - Ordinary Shares,2023,10-K,annual,YF_TS,2023-12-31,gross_profit,annualGrossProfit,2054394.0
IBG,IBG,Innovation Beverage Group Limited - Ordinary Shares,2024,10-K,annual,YF_TS,2024-12-31,gross_profit,annualGrossProfit,2231914.0
IBG,IBG,Innovation Beverage Group Limited - Ordinary Shares,2022,10-K,annual,YF_TS,2022-12-31,long_term_debt,annualLongTermDebt,47258.0
IBG,IBG,Innovation Beverage Group Limited - Ordinary Shares,2021,10-K,annual,YF_TS,2021-12-31,eps,annualDilutedEPS,0.017368
IBG,IBG,Innovation Beverage Group Limited - Ordinary Shares,2022,10-K,annual,YF_TS,2022-12-31,eps,annualDilutedEPS,-2.474488
IBG,IBG,Innovation Beverage Group Limited - Ordinary Shares,2023,10-K,annual,YF_TS,2023-12-31,eps,annualDilutedEPS,-1.207313
IBG,IBG,Innovation Beverage Group Limited - Ordinary Shares,2021,10-K,annual,YF_TS,2021-12-31,operating_income,annualOperatingIncome,54167.0
IBG,IBG,Innovation Beverage Group Limited - Ordinary Shares,2022,10-K,annual,YF_TS,2022-12-31,operating_income,annualOperatingIncome,-3336584.0
IBG,IBG,Innovation Beverage Group Limited - Ordinary Shares,2023,10-K,annual,YF_TS,2023-12-31,operating_income,annualOperatingIncome,-2139078.0
IBG,IBG,Innovation Beverage Group Limited - Ordinary Shares,2024,10-K,annual,YF_TS,2024-12-31,operating_income,annualOperatingIncome,-2584968.0
IBG,IBG,Innovation Beverage Group Limited - Ordinary Shares,2021,10-K,annual,YF_TS,2021-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,1559172.0
IBG,IBG,Innovation Beverage Group Limited - Ordinary Shares,2022,10-K,annual,YF_TS,2022-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,91986.0
IBG,IBG,Innovation Beverage Group Limited - Ordinary Shares,2023,10-K,annual,YF_TS,2023-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,14140.0
IBG,IBG,Innovation Beverage Group Limited - Ordinary Shares,2024,10-K,annual,YF_TS,2024-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,619944.0
IBG,IBG,Innovation Beverage Group Limited - Ordinary Shares,2021,10-K,annual,YF_TS,2021-12-31,investing_cash_flow,annualInvestingCashFlow,-1758226.0
IBG,IBG,Innovation Beverage Group Limited - Ordinary Shares,2022,10-K,annual,YF_TS,2022-12-31,investing_cash_flow,annualInvestingCashFlow,36958.0
IBG,IBG,Innovation Beverage Group Limited - Ordinary Shares,2023,10-K,annual,YF_TS,2023-12-31,investing_cash_flow,annualInvestingCashFlow,-121883.0
IBG,IBG,Innovation Beverage Group Limited - Ordinary Shares,2024,10-K,annual,YF_TS,2024-12-31,investing_cash_flow,annualInvestingCashFlow,-61023.0
IBG,IBG,Innovation Beverage Group Limited - Ordinary Shares,2021,10-K,annual,YF_TS,2021-12-31,revenue,annualTotalRevenue,3748281.0
IBG,IBG,Innovation Beverage Group Limited - Ordinary Shares,2022,10-K,annual,YF_TS,2022-12-31,revenue,annualTotalRevenue,4530396.0
IBG,IBG,Innovation Beverage Group Limited - Ordinary Shares,2023,10-K,annual,YF_TS,2023-12-31,revenue,annualTotalRevenue,3147763.0
IBG,IBG,Innovation Beverage Group Limited - Ordinary Shares,2024,10-K,annual,YF_TS,2024-12-31,revenue,annualTotalRevenue,2931243.0
IBG,IBG,Innovation Beverage Group Limited - Ordinary Shares,2021,10-K,annual,YF_TS,2021-12-31,eps,annualBasicEPS,0.017368
IBG,IBG,Innovation Beverage Group Limited - Ordinary Shares,2022,10-K,annual,YF_TS,2022-12-31,eps,annualBasicEPS,-2.474488
