ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
ICON,ICON,Icon Energy Corp. - Common stock,2022,10-K,annual,YF_TS,2022-12-31,total_assets,annualTotalAssets,14597000.0
ICON,ICON,Icon Energy Corp. - Common stock,2023,10-K,annual,YF_TS,2023-12-31,total_assets,annualTotalAssets,12882000.0
ICON,ICON,Icon Energy Corp. - Common stock,2024,10-K,annual,YF_TS,2024-12-31,total_assets,annualTotalAssets,28795000.0
ICON,ICON,Icon Energy Corp. - Common stock,2025,10-K,annual,YF_TS,2025-12-31,total_assets,annualTotalAssets,58444000.0
ICON,ICON,Icon Energy Corp. - Common stock,2022,10-K,annual,YF_TS,2022-12-31,financing_cash_flow,annualFinancingCashFlow,-2638000.0
ICON,ICON,Icon Energy Corp. - Common stock,2023,10-K,annual,YF_TS,2023-12-31,financing_cash_flow,annualFinancingCashFlow,-3332000.0
ICON,ICON,Icon Energy Corp. - Common stock,2024,10-K,annual,YF_TS,2024-12-31,financing_cash_flow,annualFinancingCashFlow,15905000.0
ICON,ICON,Icon Energy Corp. - Common stock,2025,10-K,annual,YF_TS,2025-12-31,financing_cash_flow,annualFinancingCashFlow,8421000.0
ICON,ICON,Icon Energy Corp. - Common stock,2022,10-K,annual,YF_TS,2022-12-31,cash,annualCashAndCashEquivalents,3551000.0
ICON,ICON,Icon Energy Corp. - Common stock,2023,10-K,annual,YF_TS,2023-12-31,cash,annualCashAndCashEquivalents,2702000.0
ICON,ICON,Icon Energy Corp. - Common stock,2024,10-K,annual,YF_TS,2024-12-31,cash,annualCashAndCashEquivalents,946000.0
ICON,ICON,Icon Energy Corp. - Common stock,2025,10-K,annual,YF_TS,2025-12-31,cash,annualCashAndCashEquivalents,3880000.0
ICON,ICON,Icon Energy Corp. - Common stock,2022,10-K,annual,YF_TS,2022-12-31,eps,annualBasicEPS,689.53186
ICON,ICON,Icon Energy Corp. - Common stock,2023,10-K,annual,YF_TS,2023-12-31,eps,annualBasicEPS,159.310345
ICON,ICON,Icon Energy Corp. - Common stock,2024,10-K,annual,YF_TS,2024-12-31,eps,annualBasicEPS,-304.15
ICON,ICON,Icon Energy Corp. - Common stock,2025,10-K,annual,YF_TS,2025-12-31,eps,annualBasicEPS,-18.04
ICON,ICON,Icon Energy Corp. - Common stock,2022,10-K,annual,YF_TS,2022-12-31,revenue,annualTotalRevenue,7241000.0
ICON,ICON,Icon Energy Corp. - Common stock,2023,10-K,annual,YF_TS,2023-12-31,revenue,annualTotalRevenue,4476000.0
ICON,ICON,Icon Energy Corp. - Common stock,2024,10-K,annual,YF_TS,2024-12-31,revenue,annualTotalRevenue,5309000.0
ICON,ICON,Icon Energy Corp. - Common stock,2025,10-K,annual,YF_TS,2025-12-31,revenue,annualTotalRevenue,11256000.0
ICON,ICON,Icon Energy Corp. - Common stock,2022,10-K,annual,YF_TS,2022-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,3551000.0
ICON,ICON,Icon Energy Corp. - Common stock,2023,10-K,annual,YF_TS,2023-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,2702000.0
ICON,ICON,Icon Energy Corp. - Common stock,2024,10-K,annual,YF_TS,2024-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,946000.0
ICON,ICON,Icon Energy Corp. - Common stock,2025,10-K,annual,YF_TS,2025-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,3880000.0
ICON,ICON,Icon Energy Corp. - Common stock,2022,10-K,annual,YF_TS,2022-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,276000.0
