ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
JAN,JAN,"Janus Living, Inc. Class A-1 Common Stock",2024,10-K,annual,YF_TS,2024-12-31,total_equity,annualStockholdersEquity,1308853000.0
JAN,JAN,"Janus Living, Inc. Class A-1 Common Stock",2025,10-K,annual,YF_TS,2025-12-31,total_equity,annualStockholdersEquity,1767205000.0
JAN,JAN,"Janus Living, Inc. Class A-1 Common Stock",2024,10-K,annual,YF_TS,2024-12-31,investing_cash_flow,annualInvestingCashFlow,-44106000.0
JAN,JAN,"Janus Living, Inc. Class A-1 Common Stock",2025,10-K,annual,YF_TS,2025-12-31,investing_cash_flow,annualInvestingCashFlow,-93793000.0
JAN,JAN,"Janus Living, Inc. Class A-1 Common Stock",2024,10-K,annual,YF_TS,2024-12-31,long_term_debt,annualLongTermDebt,106247000.0
JAN,JAN,"Janus Living, Inc. Class A-1 Common Stock",2024,10-K,annual,YF_TS,2024-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,18777000.0
JAN,JAN,"Janus Living, Inc. Class A-1 Common Stock",2025,10-K,annual,YF_TS,2025-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,828094000.0
JAN,JAN,"Janus Living, Inc. Class A-1 Common Stock",2024,10-K,annual,YF_TS,2024-12-31,revenue,annualTotalRevenue,568475000.0
JAN,JAN,"Janus Living, Inc. Class A-1 Common Stock",2025,10-K,annual,YF_TS,2025-12-31,revenue,annualTotalRevenue,771165000.0
JAN,JAN,"Janus Living, Inc. Class A-1 Common Stock",2024,10-K,annual,YF_TS,2024-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,1034449000.0
JAN,JAN,"Janus Living, Inc. Class A-1 Common Stock",2025,10-K,annual,YF_TS,2025-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,1007880000.0
JAN,JAN,"Janus Living, Inc. Class A-1 Common Stock",2024,10-K,annual,YF_TS,2024-12-31,operating_cash_flow,annualOperatingCashFlow,128561000.0
JAN,JAN,"Janus Living, Inc. Class A-1 Common Stock",2025,10-K,annual,YF_TS,2025-12-31,operating_cash_flow,annualOperatingCashFlow,136816000.0
JAN,JAN,"Janus Living, Inc. Class A-1 Common Stock",2024,10-K,annual,YF_TS,2024-12-31,eps,annualDilutedEPS,-0.27892
JAN,JAN,"Janus Living, Inc. Class A-1 Common Stock",2025,10-K,annual,YF_TS,2025-12-31,eps,annualDilutedEPS,-0.34
JAN,JAN,"Janus Living, Inc. Class A-1 Common Stock",2024,10-K,annual,YF_TS,2024-12-31,total_assets,annualTotalAssets,2343302000.0
JAN,JAN,"Janus Living, Inc. Class A-1 Common Stock",2025,10-K,annual,YF_TS,2025-12-31,total_assets,annualTotalAssets,3518085000.0
JAN,JAN,"Janus Living, Inc. Class A-1 Common Stock",2024,10-K,annual,YF_TS,2024-12-31,net_income,annualNetIncome,-50463000.0
JAN,JAN,"Janus Living, Inc. Class A-1 Common Stock",2025,10-K,annual,YF_TS,2025-12-31,net_income,annualNetIncome,-61102000.0
JAN,JAN,"Janus Living, Inc. Class A-1 Common Stock",2024,10-K,annual,YF_TS,2024-12-31,operating_income,annualOperatingIncome,-11075000.0
JAN,JAN,"Janus Living, Inc. Class A-1 Common Stock",2025,10-K,annual,YF_TS,2025-12-31,operating_income,annualOperatingIncome,-93879000.0
JAN,JAN,"Janus Living, Inc. Class A-1 Common Stock",2024,10-K,annual,YF_TS,2024-12-31,financing_cash_flow,annualFinancingCashFlow,-82335000.0
JAN,JAN,"Janus Living, Inc. Class A-1 Common Stock",2025,10-K,annual,YF_TS,2025-12-31,financing_cash_flow,annualFinancingCashFlow,-37828000.0
JAN,JAN,"Janus Living, Inc. Class A-1 Common Stock",2024,10-K,annual,YF_TS,2024-12-31,cash,annualCashAndCashEquivalents,18777000.0
JAN,JAN,"Janus Living, Inc. Class A-1 Common Stock",2025,10-K,annual,YF_TS,2025-12-31,cash,annualCashAndCashEquivalents,828094000.0
JAN,JAN,"Janus Living, Inc. Class A-1 Common Stock",2024,10-K,annual,YF_TS,2024-12-31,capex,annualCapitalExpenditure,-65064000.0
JAN,JAN,"Janus Living, Inc. Class A-1 Common Stock",2025,10-K,annual,YF_TS,2025-12-31,capex,annualCapitalExpenditure,-123921000.0
JAN,JAN,"Janus Living, Inc. Class A-1 Common Stock",2024,10-K,annual,YF_TS,2024-12-31,eps,annualBasicEPS,-0.27892
JAN,JAN,"Janus Living, Inc. Class A-1 Common Stock",2025,10-K,annual,YF_TS,2025-12-31,eps,annualBasicEPS,-0.34
