ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
JAZZ,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,2025,10-Q,q1,YF_TS,2025-03-31,operating_cash_flow,quarterlyOperatingCashFlow,429800000.0
JAZZ,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,2025,10-Q,half,YF_TS,2025-06-30,operating_cash_flow,quarterlyOperatingCashFlow,88839000.0
JAZZ,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,2025,10-Q,q3,YF_TS,2025-09-30,operating_cash_flow,quarterlyOperatingCashFlow,474616000.0
JAZZ,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,2026,10-Q,q1,YF_TS,2026-03-31,operating_cash_flow,quarterlyOperatingCashFlow,408200000.0
JAZZ,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,2025,10-Q,q1,YF_TS,2025-03-31,eps,quarterlyBasicEPS,-1.52
JAZZ,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,2025,10-Q,half,YF_TS,2025-06-30,eps,quarterlyBasicEPS,-11.74
JAZZ,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,2025,10-Q,q3,YF_TS,2025-09-30,eps,quarterlyBasicEPS,4.14
JAZZ,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,2026,10-Q,q1,YF_TS,2026-03-31,eps,quarterlyBasicEPS,4.73
JAZZ,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,2025,10-Q,q1,YF_TS,2025-03-31,cash,quarterlyCashAndCashEquivalents,1861946000.0
JAZZ,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,2025,10-Q,half,YF_TS,2025-06-30,cash,quarterlyCashAndCashEquivalents,1189880000.0
JAZZ,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,2025,10-Q,q3,YF_TS,2025-09-30,cash,quarterlyCashAndCashEquivalents,1326070000.0
JAZZ,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,2026,10-Q,q1,YF_TS,2026-03-31,cash,quarterlyCashAndCashEquivalents,1844300000.0
JAZZ,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,2025,10-Q,q1,YF_TS,2025-03-31,gross_profit,quarterlyGrossProfit,793200000.0
JAZZ,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,2025,10-Q,half,YF_TS,2025-06-30,gross_profit,quarterlyGrossProfit,929444000.0
JAZZ,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,2025,10-Q,q3,YF_TS,2025-09-30,gross_profit,quarterlyGrossProfit,997227000.0
JAZZ,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,2026,10-Q,q1,YF_TS,2026-03-31,gross_profit,quarterlyGrossProfit,934800000.0
JAZZ,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,2025,10-Q,q1,YF_TS,2025-03-31,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,7359791000.0
JAZZ,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,2025,10-Q,half,YF_TS,2025-06-30,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,7237782000.0
JAZZ,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,2025,10-Q,q3,YF_TS,2025-09-30,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,7397455000.0
JAZZ,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,2026,10-Q,q1,YF_TS,2026-03-31,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,7327300000.0
JAZZ,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,2025,10-Q,q1,YF_TS,2025-03-31,revenue,quarterlyTotalRevenue,897800000.0
JAZZ,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,2025,10-Q,half,YF_TS,2025-06-30,revenue,quarterlyTotalRevenue,1045712000.0
JAZZ,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,2025,10-Q,q3,YF_TS,2025-09-30,revenue,quarterlyTotalRevenue,1126107000.0
JAZZ,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,2026,10-Q,q1,YF_TS,2026-03-31,revenue,quarterlyTotalRevenue,1068900000.0
JAZZ,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,2025,10-Q,q1,YF_TS,2025-03-31,operating_income,quarterlyOperatingIncome,-55900000.0
JAZZ,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,2025,10-Q,half,YF_TS,2025-06-30,operating_income,quarterlyOperatingIncome,218970000.0
JAZZ,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,2025,10-Q,q3,YF_TS,2025-09-30,operating_income,quarterlyOperatingIncome,100009000.0
JAZZ,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,2026,10-Q,q1,YF_TS,2026-03-31,operating_income,quarterlyOperatingIncome,336600000.0
JAZZ,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,2025,10-Q,q1,YF_TS,2025-03-31,financing_cash_flow,quarterlyFinancingCashFlow,-813500000.0
JAZZ,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,2025,10-Q,half,YF_TS,2025-06-30,financing_cash_flow,quarterlyFinancingCashFlow,-124491000.0
JAZZ,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,2025,10-Q,q3,YF_TS,2025-09-30,financing_cash_flow,quarterlyFinancingCashFlow,-10829000.0
JAZZ,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,2026,10-Q,q1,YF_TS,2026-03-31,financing_cash_flow,quarterlyFinancingCashFlow,-78500000.0
JAZZ,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,2025,10-Q,q1,YF_TS,2025-03-31,long_term_debt,quarterlyLongTermDebt,5336481000.0
JAZZ,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,2025,10-Q,half,YF_TS,2025-06-30,long_term_debt,quarterlyLongTermDebt,4335616000.0
JAZZ,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,2025,10-Q,q3,YF_TS,2025-09-30,long_term_debt,quarterlyLongTermDebt,4331982000.0
JAZZ,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,2026,10-Q,q1,YF_TS,2026-03-31,long_term_debt,quarterlyLongTermDebt,4324200000.0
JAZZ,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,2025,10-Q,q1,YF_TS,2025-03-31,net_income,quarterlyNetIncome,-92500000.0
JAZZ,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,2025,10-Q,half,YF_TS,2025-06-30,net_income,quarterlyNetIncome,-718470000.0
JAZZ,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,2025,10-Q,q3,YF_TS,2025-09-30,net_income,quarterlyNetIncome,251412000.0
JAZZ,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,2026,10-Q,q1,YF_TS,2026-03-31,net_income,quarterlyNetIncome,293100000.0
