ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,long_term_debt,quarterlyLongTermDebt,8024131000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2025,10-Q,half,YF_TS,2025-06-30,long_term_debt,quarterlyLongTermDebt,8158718000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,long_term_debt,quarterlyLongTermDebt,8188199000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,long_term_debt,quarterlyLongTermDebt,8184969000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,operating_income,quarterlyOperatingIncome,180131000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2025,10-Q,half,YF_TS,2025-06-30,operating_income,quarterlyOperatingIncome,174535000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,operating_income,quarterlyOperatingIncome,183964000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,operating_income,quarterlyOperatingIncome,192115000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,eps,quarterlyDilutedEPS,0.18
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2025,10-Q,half,YF_TS,2025-06-30,eps,quarterlyDilutedEPS,0.23
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,eps,quarterlyDilutedEPS,0.19
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,eps,quarterlyDilutedEPS,0.23
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,financing_cash_flow,quarterlyFinancingCashFlow,-650487000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2025,10-Q,half,YF_TS,2025-06-30,financing_cash_flow,quarterlyFinancingCashFlow,-107499000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,financing_cash_flow,quarterlyFinancingCashFlow,-141590000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,financing_cash_flow,quarterlyFinancingCashFlow,-237671000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,131271000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2025,10-Q,half,YF_TS,2025-06-30,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,226553000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,159339000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,168438000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,eps,quarterlyBasicEPS,0.18
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2025,10-Q,half,YF_TS,2025-06-30,eps,quarterlyBasicEPS,0.23
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,eps,quarterlyBasicEPS,0.19
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,eps,quarterlyBasicEPS,0.23
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,investing_cash_flow,quarterlyInvestingCashFlow,-130554000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2025,10-Q,half,YF_TS,2025-06-30,investing_cash_flow,quarterlyInvestingCashFlow,-102581000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,investing_cash_flow,quarterlyInvestingCashFlow,-258183000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,investing_cash_flow,quarterlyInvestingCashFlow,-48506000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,8950651000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2025,10-Q,half,YF_TS,2025-06-30,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,9078579000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,9195037000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,9039844000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,cash,quarterlyCashAndCashEquivalents,131271000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2025,10-Q,half,YF_TS,2025-06-30,cash,quarterlyCashAndCashEquivalents,226553000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,cash,quarterlyCashAndCashEquivalents,159339000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,cash,quarterlyCashAndCashEquivalents,168438000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,short_term_debt,quarterlyCurrentDebt,36641000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,total_assets,quarterlyTotalAssets,19731252000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2025,10-Q,half,YF_TS,2025-06-30,total_assets,quarterlyTotalAssets,19796555000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,total_assets,quarterlyTotalAssets,19880039000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,total_assets,quarterlyTotalAssets,19585446000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,revenue,quarterlyTotalRevenue,536624000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2025,10-Q,half,YF_TS,2025-06-30,revenue,quarterlyTotalRevenue,525175000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,revenue,quarterlyTotalRevenue,535861000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,revenue,quarterlyTotalRevenue,558016000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,total_equity,quarterlyStockholdersEquity,10588276000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2025,10-Q,half,YF_TS,2025-06-30,total_equity,quarterlyStockholdersEquity,10520675000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,total_equity,quarterlyStockholdersEquity,10486208000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,total_equity,quarterlyStockholdersEquity,10388906000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,gross_profit,quarterlyGrossProfit,372976000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2025,10-Q,half,YF_TS,2025-06-30,gross_profit,quarterlyGrossProfit,363305000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,gross_profit,quarterlyGrossProfit,371879000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,gross_profit,quarterlyGrossProfit,385798000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,operating_cash_flow,quarterlyOperatingCashFlow,223813000.0
KIM,KIM,Kimco Realty Corporation (HC) Common Stock,2025,10-Q,half,YF_TS,2025-06-30,operating_cash_flow,quarterlyOperatingCashFlow,305403000.0
