ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
KYIV,KYIV,Kyivstar Group Ltd. - Common Shares,2025,10-Q,q1,YF_TS,2025-03-31,total_equity,quarterlyStockholdersEquity,1141000000.0
KYIV,KYIV,Kyivstar Group Ltd. - Common Shares,2025,10-Q,half,YF_TS,2025-06-30,total_equity,quarterlyStockholdersEquity,1221000000.0
KYIV,KYIV,Kyivstar Group Ltd. - Common Shares,2025,10-Q,q3,YF_TS,2025-09-30,total_equity,quarterlyStockholdersEquity,1236000000.0
KYIV,KYIV,Kyivstar Group Ltd. - Common Shares,2026,10-Q,q1,YF_TS,2026-03-31,total_equity,quarterlyStockholdersEquity,1341000000.0
KYIV,KYIV,Kyivstar Group Ltd. - Common Shares,2025,10-Q,q1,YF_TS,2025-03-31,operating_income,quarterlyOperatingIncome,96000000.0
KYIV,KYIV,Kyivstar Group Ltd. - Common Shares,2025,10-Q,half,YF_TS,2025-06-30,operating_income,quarterlyOperatingIncome,115000000.0
KYIV,KYIV,Kyivstar Group Ltd. - Common Shares,2025,10-Q,q3,YF_TS,2025-09-30,operating_income,quarterlyOperatingIncome,117000000.0
KYIV,KYIV,Kyivstar Group Ltd. - Common Shares,2026,10-Q,q1,YF_TS,2026-03-31,operating_income,quarterlyOperatingIncome,115000000.0
KYIV,KYIV,Kyivstar Group Ltd. - Common Shares,2025,10-Q,q1,YF_TS,2025-03-31,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,520000000.0
KYIV,KYIV,Kyivstar Group Ltd. - Common Shares,2025,10-Q,half,YF_TS,2025-06-30,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,457000000.0
KYIV,KYIV,Kyivstar Group Ltd. - Common Shares,2025,10-Q,q3,YF_TS,2025-09-30,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,18000000.0
KYIV,KYIV,Kyivstar Group Ltd. - Common Shares,2026,10-Q,q1,YF_TS,2026-03-31,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,478000000.0
KYIV,KYIV,Kyivstar Group Ltd. - Common Shares,2025,10-Q,q1,YF_TS,2025-03-31,eps,quarterlyDilutedEPS,0.190589
KYIV,KYIV,Kyivstar Group Ltd. - Common Shares,2025,10-Q,half,YF_TS,2025-06-30,eps,quarterlyDilutedEPS,0.355188
KYIV,KYIV,Kyivstar Group Ltd. - Common Shares,2025,10-Q,q3,YF_TS,2025-09-30,eps,quarterlyDilutedEPS,-0.41
KYIV,KYIV,Kyivstar Group Ltd. - Common Shares,2026,10-Q,q1,YF_TS,2026-03-31,eps,quarterlyDilutedEPS,0.37
KYIV,KYIV,Kyivstar Group Ltd. - Common Shares,2025,10-Q,q1,YF_TS,2025-03-31,long_term_debt,quarterlyLongTermDebt,252000000.0
KYIV,KYIV,Kyivstar Group Ltd. - Common Shares,2025,10-Q,half,YF_TS,2025-06-30,long_term_debt,quarterlyLongTermDebt,265000000.0
KYIV,KYIV,Kyivstar Group Ltd. - Common Shares,2025,10-Q,q3,YF_TS,2025-09-30,long_term_debt,quarterlyLongTermDebt,275000000.0
KYIV,KYIV,Kyivstar Group Ltd. - Common Shares,2026,10-Q,q1,YF_TS,2026-03-31,long_term_debt,quarterlyLongTermDebt,298000000.0
KYIV,KYIV,Kyivstar Group Ltd. - Common Shares,2025,10-Q,q1,YF_TS,2025-03-31,net_income,quarterlyNetIncome,44000000.0
KYIV,KYIV,Kyivstar Group Ltd. - Common Shares,2025,10-Q,half,YF_TS,2025-06-30,net_income,quarterlyNetIncome,82000000.0
KYIV,KYIV,Kyivstar Group Ltd. - Common Shares,2025,10-Q,q3,YF_TS,2025-09-30,net_income,quarterlyNetIncome,-89000000.0
KYIV,KYIV,Kyivstar Group Ltd. - Common Shares,2026,10-Q,q1,YF_TS,2026-03-31,net_income,quarterlyNetIncome,85000000.0
KYIV,KYIV,Kyivstar Group Ltd. - Common Shares,2025,10-Q,q1,YF_TS,2025-03-31,gross_profit,quarterlyGrossProfit,231000000.0
KYIV,KYIV,Kyivstar Group Ltd. - Common Shares,2025,10-Q,half,YF_TS,2025-06-30,gross_profit,quarterlyGrossProfit,257000000.0
