ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
LAMR,LAMR,Lamar Advertising Company - Class A Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,operating_cash_flow,quarterlyOperatingCashFlow,127745000.0
LAMR,LAMR,Lamar Advertising Company - Class A Common Stock,2025,10-Q,half,YF_TS,2025-06-30,operating_cash_flow,quarterlyOperatingCashFlow,229487000.0
LAMR,LAMR,Lamar Advertising Company - Class A Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,operating_cash_flow,quarterlyOperatingCashFlow,235657000.0
LAMR,LAMR,Lamar Advertising Company - Class A Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,operating_cash_flow,quarterlyOperatingCashFlow,147390000.0
LAMR,LAMR,Lamar Advertising Company - Class A Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,revenue,quarterlyTotalRevenue,505430000.0
LAMR,LAMR,Lamar Advertising Company - Class A Common Stock,2025,10-Q,half,YF_TS,2025-06-30,revenue,quarterlyTotalRevenue,579311000.0
LAMR,LAMR,Lamar Advertising Company - Class A Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,revenue,quarterlyTotalRevenue,585541000.0
LAMR,LAMR,Lamar Advertising Company - Class A Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,revenue,quarterlyTotalRevenue,528004000.0
LAMR,LAMR,Lamar Advertising Company - Class A Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,total_assets,quarterlyTotalAssets,6547175000.0
LAMR,LAMR,Lamar Advertising Company - Class A Common Stock,2025,10-Q,half,YF_TS,2025-06-30,total_assets,quarterlyTotalAssets,6673968000.0
LAMR,LAMR,Lamar Advertising Company - Class A Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,total_assets,quarterlyTotalAssets,6823302000.0
LAMR,LAMR,Lamar Advertising Company - Class A Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,total_assets,quarterlyTotalAssets,6913348000.0
LAMR,LAMR,Lamar Advertising Company - Class A Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,capex,quarterlyCapitalExpenditure,-29887000.0
LAMR,LAMR,Lamar Advertising Company - Class A Common Stock,2025,10-Q,half,YF_TS,2025-06-30,capex,quarterlyCapitalExpenditure,-38201000.0
LAMR,LAMR,Lamar Advertising Company - Class A Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,capex,quarterlyCapitalExpenditure,-49850000.0
LAMR,LAMR,Lamar Advertising Company - Class A Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,capex,quarterlyCapitalExpenditure,-33140000.0
LAMR,LAMR,Lamar Advertising Company - Class A Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,gross_profit,quarterlyGrossProfit,325433000.0
LAMR,LAMR,Lamar Advertising Company - Class A Common Stock,2025,10-Q,half,YF_TS,2025-06-30,gross_profit,quarterlyGrossProfit,392535000.0
LAMR,LAMR,Lamar Advertising Company - Class A Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,gross_profit,quarterlyGrossProfit,397825000.0
LAMR,LAMR,Lamar Advertising Company - Class A Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,gross_profit,quarterlyGrossProfit,344689000.0
LAMR,LAMR,Lamar Advertising Company - Class A Common Stock,2025,10-Q,half,YF_TS,2025-06-30,short_term_debt,quarterlyCurrentDebt,249925000.0
LAMR,LAMR,Lamar Advertising Company - Class A Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,short_term_debt,quarterlyCurrentDebt,179984000.0
LAMR,LAMR,Lamar Advertising Company - Class A Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,short_term_debt,quarterlyCurrentDebt,242206000.0
LAMR,LAMR,Lamar Advertising Company - Class A Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,net_income,quarterlyNetIncome,138755000.0
LAMR,LAMR,Lamar Advertising Company - Class A Common Stock,2025,10-Q,half,YF_TS,2025-06-30,net_income,quarterlyNetIncome,154355000.0
LAMR,LAMR,Lamar Advertising Company - Class A Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,net_income,quarterlyNetIncome,141753000.0
LAMR,LAMR,Lamar Advertising Company - Class A Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,net_income,quarterlyNetIncome,101287000.0
LAMR,LAMR,Lamar Advertising Company - Class A Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,eps,quarterlyDilutedEPS,1.35
LAMR,LAMR,Lamar Advertising Company - Class A Common Stock,2025,10-Q,half,YF_TS,2025-06-30,eps,quarterlyDilutedEPS,1.52
