ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
MT,MT,Arcelor Mittal NY Registry Shares NEW,2022,10-K,annual,YF_TS,2022-12-31,total_equity,annualStockholdersEquity,53152000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2023,10-K,annual,YF_TS,2023-12-31,total_equity,annualStockholdersEquity,53961000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2024,10-K,annual,YF_TS,2024-12-31,total_equity,annualStockholdersEquity,49223000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2025,10-K,annual,YF_TS,2025-12-31,total_equity,annualStockholdersEquity,54466000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2022,10-K,annual,YF_TS,2022-12-31,long_term_debt,annualLongTermDebt,8239000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2023,10-K,annual,YF_TS,2023-12-31,long_term_debt,annualLongTermDebt,7430000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2024,10-K,annual,YF_TS,2024-12-31,long_term_debt,annualLongTermDebt,7963000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2025,10-K,annual,YF_TS,2025-12-31,long_term_debt,annualLongTermDebt,9704000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2022,10-K,annual,YF_TS,2022-12-31,gross_profit,annualGrossProfit,12535000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2023,10-K,annual,YF_TS,2023-12-31,gross_profit,annualGrossProfit,4737000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2024,10-K,annual,YF_TS,2024-12-31,gross_profit,annualGrossProfit,5788000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2025,10-K,annual,YF_TS,2025-12-31,gross_profit,annualGrossProfit,4376000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2022,10-K,annual,YF_TS,2022-12-31,eps,annualBasicEPS,10.21
MT,MT,Arcelor Mittal NY Registry Shares NEW,2023,10-K,annual,YF_TS,2023-12-31,eps,annualBasicEPS,1.09
