ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
MT,MT,Arcelor Mittal NY Registry Shares NEW,2025,10-Q,q1,YF_TS,2025-03-31,financing_cash_flow,quarterlyFinancingCashFlow,23000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2025,10-Q,half,YF_TS,2025-06-30,financing_cash_flow,quarterlyFinancingCashFlow,-813000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2025,10-Q,q3,YF_TS,2025-09-30,financing_cash_flow,quarterlyFinancingCashFlow,1025000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2026,10-Q,q1,YF_TS,2026-03-31,financing_cash_flow,quarterlyFinancingCashFlow,222000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2025,10-Q,q1,YF_TS,2025-03-31,operating_income,quarterlyOperatingIncome,825000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2025,10-Q,half,YF_TS,2025-06-30,operating_income,quarterlyOperatingIncome,74000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2025,10-Q,q3,YF_TS,2025-09-30,operating_income,quarterlyOperatingIncome,544000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2026,10-Q,q1,YF_TS,2026-03-31,operating_income,quarterlyOperatingIncome,753000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2025,10-Q,q1,YF_TS,2025-03-31,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,5319000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2025,10-Q,half,YF_TS,2025-06-30,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,5358000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2025,10-Q,q3,YF_TS,2025-09-30,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,5733000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2026,10-Q,q1,YF_TS,2026-03-31,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,4359000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2025,10-Q,q1,YF_TS,2025-03-31,investing_cash_flow,quarterlyInvestingCashFlow,-1029000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2025,10-Q,half,YF_TS,2025-06-30,investing_cash_flow,quarterlyInvestingCashFlow,-763000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2025,10-Q,q3,YF_TS,2025-09-30,investing_cash_flow,quarterlyInvestingCashFlow,-1511000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2026,10-Q,q1,YF_TS,2026-03-31,investing_cash_flow,quarterlyInvestingCashFlow,-1324000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2025,10-Q,q1,YF_TS,2025-03-31,cash,quarterlyCashAndCashEquivalents,5319000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2025,10-Q,half,YF_TS,2025-06-30,cash,quarterlyCashAndCashEquivalents,5358000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2025,10-Q,q3,YF_TS,2025-09-30,cash,quarterlyCashAndCashEquivalents,5733000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2026,10-Q,q1,YF_TS,2026-03-31,cash,quarterlyCashAndCashEquivalents,4359000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2025,10-Q,q1,YF_TS,2025-03-31,eps,quarterlyBasicEPS,1.05
MT,MT,Arcelor Mittal NY Registry Shares NEW,2025,10-Q,q3,YF_TS,2025-09-30,eps,quarterlyBasicEPS,0.5
MT,MT,Arcelor Mittal NY Registry Shares NEW,2026,10-Q,q1,YF_TS,2026-03-31,eps,quarterlyBasicEPS,0.76
MT,MT,Arcelor Mittal NY Registry Shares NEW,2025,10-Q,q1,YF_TS,2025-03-31,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,38153000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2025,10-Q,half,YF_TS,2025-06-30,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,42408000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2025,10-Q,q3,YF_TS,2025-09-30,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,42089000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2026,10-Q,q1,YF_TS,2026-03-31,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,41059000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2025,10-Q,q1,YF_TS,2025-03-31,long_term_debt,quarterlyLongTermDebt,8591000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2025,10-Q,half,YF_TS,2025-06-30,long_term_debt,quarterlyLongTermDebt,9565000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2025,10-Q,q3,YF_TS,2025-09-30,long_term_debt,quarterlyLongTermDebt,10491000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2026,10-Q,q1,YF_TS,2026-03-31,long_term_debt,quarterlyLongTermDebt,10943000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2025,10-Q,q1,YF_TS,2025-03-31,revenue,quarterlyTotalRevenue,14798000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2025,10-Q,half,YF_TS,2025-06-30,revenue,quarterlyTotalRevenue,15926000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2025,10-Q,q3,YF_TS,2025-09-30,revenue,quarterlyTotalRevenue,15657000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2026,10-Q,q1,YF_TS,2026-03-31,revenue,quarterlyTotalRevenue,15457000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2025,10-Q,q1,YF_TS,2025-03-31,total_assets,quarterlyTotalAssets,91452000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2025,10-Q,half,YF_TS,2025-06-30,total_assets,quarterlyTotalAssets,98878000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2025,10-Q,q3,YF_TS,2025-09-30,total_assets,quarterlyTotalAssets,98767000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2026,10-Q,q1,YF_TS,2026-03-31,total_assets,quarterlyTotalAssets,98270000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2025,10-Q,q1,YF_TS,2025-03-31,short_term_debt,quarterlyCurrentDebt,3456000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2025,10-Q,half,YF_TS,2025-06-30,short_term_debt,quarterlyCurrentDebt,2987000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2025,10-Q,q3,YF_TS,2025-09-30,short_term_debt,quarterlyCurrentDebt,4377000000.0
MT,MT,Arcelor Mittal NY Registry Shares NEW,2026,10-Q,q1,YF_TS,2026-03-31,short_term_debt,quarterlyCurrentDebt,2740000000.0
