ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
NKTR,NKTR,Nektar Therapeutics - Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,financing_cash_flow,quarterlyFinancingCashFlow,7000.0
NKTR,NKTR,Nektar Therapeutics - Common Stock,2025,10-Q,half,YF_TS,2025-06-30,financing_cash_flow,quarterlyFinancingCashFlow,211000.0
NKTR,NKTR,Nektar Therapeutics - Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,financing_cash_flow,quarterlyFinancingCashFlow,141677000.0
NKTR,NKTR,Nektar Therapeutics - Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,financing_cash_flow,quarterlyFinancingCashFlow,529549000.0
NKTR,NKTR,Nektar Therapeutics - Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,eps,quarterlyDilutedEPS,-3.6
NKTR,NKTR,Nektar Therapeutics - Common Stock,2025,10-Q,half,YF_TS,2025-06-30,eps,quarterlyDilutedEPS,-2.95
NKTR,NKTR,Nektar Therapeutics - Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,eps,quarterlyDilutedEPS,-1.87
NKTR,NKTR,Nektar Therapeutics - Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,eps,quarterlyDilutedEPS,-1.82
NKTR,NKTR,Nektar Therapeutics - Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,total_equity,quarterlyStockholdersEquity,13738000.0
NKTR,NKTR,Nektar Therapeutics - Common Stock,2025,10-Q,half,YF_TS,2025-06-30,total_equity,quarterlyStockholdersEquity,-24211000.0
NKTR,NKTR,Nektar Therapeutics - Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,total_equity,quarterlyStockholdersEquity,85086000.0
NKTR,NKTR,Nektar Therapeutics - Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,total_equity,quarterlyStockholdersEquity,576216000.0
NKTR,NKTR,Nektar Therapeutics - Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,operating_income,quarterlyOperatingIncome,-44366000.0
NKTR,NKTR,Nektar Therapeutics - Common Stock,2025,10-Q,half,YF_TS,2025-06-30,operating_income,quarterlyOperatingIncome,-35783000.0
NKTR,NKTR,Nektar Therapeutics - Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,operating_income,quarterlyOperatingIncome,-31532000.0
NKTR,NKTR,Nektar Therapeutics - Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,operating_income,quarterlyOperatingIncome,-38258000.0
NKTR,NKTR,Nektar Therapeutics - Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,gross_profit,quarterlyGrossProfit,10460000.0
NKTR,NKTR,Nektar Therapeutics - Common Stock,2025,10-Q,half,YF_TS,2025-06-30,gross_profit,quarterlyGrossProfit,11175000.0
NKTR,NKTR,Nektar Therapeutics - Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,gross_profit,quarterlyGrossProfit,11790000.0
NKTR,NKTR,Nektar Therapeutics - Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,eps,quarterlyBasicEPS,-3.6
NKTR,NKTR,Nektar Therapeutics - Common Stock,2025,10-Q,half,YF_TS,2025-06-30,eps,quarterlyBasicEPS,-2.95
NKTR,NKTR,Nektar Therapeutics - Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,eps,quarterlyBasicEPS,-1.87
NKTR,NKTR,Nektar Therapeutics - Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,eps,quarterlyBasicEPS,-1.82
NKTR,NKTR,Nektar Therapeutics - Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,net_income,quarterlyNetIncome,-50882000.0
NKTR,NKTR,Nektar Therapeutics - Common Stock,2025,10-Q,half,YF_TS,2025-06-30,net_income,quarterlyNetIncome,-41593000.0
NKTR,NKTR,Nektar Therapeutics - Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,net_income,quarterlyNetIncome,-35522000.0
NKTR,NKTR,Nektar Therapeutics - Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,net_income,quarterlyNetIncome,-44904000.0
NKTR,NKTR,Nektar Therapeutics - Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,operating_cash_flow,quarterlyOperatingCashFlow,-49053000.0
NKTR,NKTR,Nektar Therapeutics - Common Stock,2025,10-Q,half,YF_TS,2025-06-30,operating_cash_flow,quarterlyOperatingCashFlow,-45738000.0
NKTR,NKTR,Nektar Therapeutics - Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,operating_cash_flow,quarterlyOperatingCashFlow,-48761000.0
