ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
NOMD,NOMD,Nomad Foods Limited Ordinary Shares,2022,10-K,annual,YF_TS,2022-12-31,gross_profit,annualGrossProfit,815300000.0
NOMD,NOMD,Nomad Foods Limited Ordinary Shares,2023,10-K,annual,YF_TS,2023-12-31,gross_profit,annualGrossProfit,858700000.0
NOMD,NOMD,Nomad Foods Limited Ordinary Shares,2024,10-K,annual,YF_TS,2024-12-31,gross_profit,annualGrossProfit,917800000.0
NOMD,NOMD,Nomad Foods Limited Ordinary Shares,2025,10-K,annual,YF_TS,2025-12-31,gross_profit,annualGrossProfit,823000000.0
NOMD,NOMD,Nomad Foods Limited Ordinary Shares,2022,10-K,annual,YF_TS,2022-12-31,long_term_debt,annualLongTermDebt,2098000000.0
NOMD,NOMD,Nomad Foods Limited Ordinary Shares,2023,10-K,annual,YF_TS,2023-12-31,long_term_debt,annualLongTermDebt,2056300000.0
NOMD,NOMD,Nomad Foods Limited Ordinary Shares,2024,10-K,annual,YF_TS,2024-12-31,long_term_debt,annualLongTermDebt,2083300000.0
NOMD,NOMD,Nomad Foods Limited Ordinary Shares,2025,10-K,annual,YF_TS,2025-12-31,long_term_debt,annualLongTermDebt,2197900000.0
NOMD,NOMD,Nomad Foods Limited Ordinary Shares,2022,10-K,annual,YF_TS,2022-12-31,total_equity,annualStockholdersEquity,2606200000.0
NOMD,NOMD,Nomad Foods Limited Ordinary Shares,2023,10-K,annual,YF_TS,2023-12-31,total_equity,annualStockholdersEquity,2591900000.0
NOMD,NOMD,Nomad Foods Limited Ordinary Shares,2024,10-K,annual,YF_TS,2024-12-31,total_equity,annualStockholdersEquity,2662500000.0
NOMD,NOMD,Nomad Foods Limited Ordinary Shares,2025,10-K,annual,YF_TS,2025-12-31,total_equity,annualStockholdersEquity,2496800000.0
NOMD,NOMD,Nomad Foods Limited Ordinary Shares,2022,10-K,annual,YF_TS,2022-12-31,investing_cash_flow,annualInvestingCashFlow,-78700000.0
NOMD,NOMD,Nomad Foods Limited Ordinary Shares,2023,10-K,annual,YF_TS,2023-12-31,investing_cash_flow,annualInvestingCashFlow,-76800000.0
NOMD,NOMD,Nomad Foods Limited Ordinary Shares,2024,10-K,annual,YF_TS,2024-12-31,investing_cash_flow,annualInvestingCashFlow,-64400000.0
NOMD,NOMD,Nomad Foods Limited Ordinary Shares,2025,10-K,annual,YF_TS,2025-12-31,investing_cash_flow,annualInvestingCashFlow,-74600000.0
NOMD,NOMD,Nomad Foods Limited Ordinary Shares,2022,10-K,annual,YF_TS,2022-12-31,capex,annualCapitalExpenditure,-79100000.0
NOMD,NOMD,Nomad Foods Limited Ordinary Shares,2023,10-K,annual,YF_TS,2023-12-31,capex,annualCapitalExpenditure,-82400000.0
NOMD,NOMD,Nomad Foods Limited Ordinary Shares,2024,10-K,annual,YF_TS,2024-12-31,capex,annualCapitalExpenditure,-80300000.0
NOMD,NOMD,Nomad Foods Limited Ordinary Shares,2025,10-K,annual,YF_TS,2025-12-31,capex,annualCapitalExpenditure,-78500000.0
NOMD,NOMD,Nomad Foods Limited Ordinary Shares,2022,10-K,annual,YF_TS,2022-12-31,eps,annualDilutedEPS,1.43
NOMD,NOMD,Nomad Foods Limited Ordinary Shares,2023,10-K,annual,YF_TS,2023-12-31,eps,annualDilutedEPS,1.13
NOMD,NOMD,Nomad Foods Limited Ordinary Shares,2024,10-K,annual,YF_TS,2024-12-31,eps,annualDilutedEPS,1.4
NOMD,NOMD,Nomad Foods Limited Ordinary Shares,2025,10-K,annual,YF_TS,2025-12-31,eps,annualDilutedEPS,0.91
NOMD,NOMD,Nomad Foods Limited Ordinary Shares,2022,10-K,annual,YF_TS,2022-12-31,cash,annualCashAndCashEquivalents,369400000.0
NOMD,NOMD,Nomad Foods Limited Ordinary Shares,2023,10-K,annual,YF_TS,2023-12-31,cash,annualCashAndCashEquivalents,412700000.0
NOMD,NOMD,Nomad Foods Limited Ordinary Shares,2024,10-K,annual,YF_TS,2024-12-31,cash,annualCashAndCashEquivalents,403000000.0
NOMD,NOMD,Nomad Foods Limited Ordinary Shares,2025,10-K,annual,YF_TS,2025-12-31,cash,annualCashAndCashEquivalents,324000000.0
NOMD,NOMD,Nomad Foods Limited Ordinary Shares,2021,10-K,annual,YF_TS,2021-12-31,short_term_debt,annualCurrentDebt,6500000.0
NOMD,NOMD,Nomad Foods Limited Ordinary Shares,2022,10-K,annual,YF_TS,2022-12-31,short_term_debt,annualCurrentDebt,3200000.0
NOMD,NOMD,Nomad Foods Limited Ordinary Shares,2023,10-K,annual,YF_TS,2023-12-31,short_term_debt,annualCurrentDebt,13200000.0
NOMD,NOMD,Nomad Foods Limited Ordinary Shares,2025,10-K,annual,YF_TS,2025-12-31,short_term_debt,annualCurrentDebt,4000000.0
NOMD,NOMD,Nomad Foods Limited Ordinary Shares,2022,10-K,annual,YF_TS,2022-12-31,net_income,annualNetIncome,249800000.0
NOMD,NOMD,Nomad Foods Limited Ordinary Shares,2023,10-K,annual,YF_TS,2023-12-31,net_income,annualNetIncome,192700000.0
NOMD,NOMD,Nomad Foods Limited Ordinary Shares,2024,10-K,annual,YF_TS,2024-12-31,net_income,annualNetIncome,227100000.0
NOMD,NOMD,Nomad Foods Limited Ordinary Shares,2025,10-K,annual,YF_TS,2025-12-31,net_income,annualNetIncome,136700000.0
NOMD,NOMD,Nomad Foods Limited Ordinary Shares,2022,10-K,annual,YF_TS,2022-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,3719900000.0
NOMD,NOMD,Nomad Foods Limited Ordinary Shares,2023,10-K,annual,YF_TS,2023-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,3824800000.0
