ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2021,10-K,annual,YF_TS,2021-07-31,gross_profit,annualGrossProfit,65241000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2022,10-K,annual,YF_TS,2022-07-31,gross_profit,annualGrossProfit,62515000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2023,10-K,annual,YF_TS,2023-07-31,gross_profit,annualGrossProfit,103227000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2024,10-K,annual,YF_TS,2024-07-31,gross_profit,annualGrossProfit,125094000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2021,10-K,annual,YF_TS,2021-07-31,cash,annualCashCashEquivalentsAndShortTermInvestments,24591000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2022,10-K,annual,YF_TS,2022-07-31,cash,annualCashCashEquivalentsAndShortTermInvestments,16298000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2023,10-K,annual,YF_TS,2023-07-31,cash,annualCashCashEquivalentsAndShortTermInvestments,31754000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2024,10-K,annual,YF_TS,2024-07-31,cash,annualCashCashEquivalentsAndShortTermInvestments,23481000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2021,10-K,annual,YF_TS,2021-07-31,total_equity,annualStockholdersEquity,159539000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2022,10-K,annual,YF_TS,2022-07-31,total_equity,annualStockholdersEquity,150718000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2023,10-K,annual,YF_TS,2023-07-31,total_equity,annualStockholdersEquity,177076000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2024,10-K,annual,YF_TS,2024-07-31,total_equity,annualStockholdersEquity,210588000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2022,10-K,annual,YF_TS,2022-07-31,eps,annualBasicEPS,0.415
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2023,10-K,annual,YF_TS,2023-07-31,eps,annualBasicEPS,2.23
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2024,10-K,annual,YF_TS,2024-07-31,eps,annualBasicEPS,2.92
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2025,10-K,annual,YF_TS,2025-07-31,eps,annualBasicEPS,3.99
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2021,10-K,annual,YF_TS,2021-07-31,investing_cash_flow,annualInvestingCashFlow,-18830000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2022,10-K,annual,YF_TS,2022-07-31,investing_cash_flow,annualInvestingCashFlow,-21989000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2023,10-K,annual,YF_TS,2023-07-31,investing_cash_flow,annualInvestingCashFlow,-24567000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2024,10-K,annual,YF_TS,2024-07-31,investing_cash_flow,annualInvestingCashFlow,-76116000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2022,10-K,annual,YF_TS,2022-07-31,eps,annualDilutedEPS,0.405
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2023,10-K,annual,YF_TS,2023-07-31,eps,annualDilutedEPS,2.07
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2024,10-K,annual,YF_TS,2024-07-31,eps,annualDilutedEPS,2.72
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2025,10-K,annual,YF_TS,2025-07-31,eps,annualDilutedEPS,3.7
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2021,10-K,annual,YF_TS,2021-07-31,long_term_debt,annualLongTermDebt,7878000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2022,10-K,annual,YF_TS,2022-07-31,long_term_debt,annualLongTermDebt,31798000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2023,10-K,annual,YF_TS,2023-07-31,long_term_debt,annualLongTermDebt,30827000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2024,10-K,annual,YF_TS,2024-07-31,long_term_debt,annualLongTermDebt,49774000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2021,10-K,annual,YF_TS,2021-07-31,net_income,annualNetIncome,11113000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2022,10-K,annual,YF_TS,2022-07-31,net_income,annualNetIncome,5674000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2023,10-K,annual,YF_TS,2023-07-31,net_income,annualNetIncome,29551000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2024,10-K,annual,YF_TS,2024-07-31,net_income,annualNetIncome,39426000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2021,10-K,annual,YF_TS,2021-07-31,operating_income,annualOperatingIncome,13036000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2022,10-K,annual,YF_TS,2022-07-31,operating_income,annualOperatingIncome,10465000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2023,10-K,annual,YF_TS,2023-07-31,operating_income,annualOperatingIncome,41040000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2024,10-K,annual,YF_TS,2024-07-31,operating_income,annualOperatingIncome,51645000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2021,10-K,annual,YF_TS,2021-07-31,capex,annualCapitalExpenditure,-18839000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2022,10-K,annual,YF_TS,2022-07-31,capex,annualCapitalExpenditure,-22010000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2023,10-K,annual,YF_TS,2023-07-31,capex,annualCapitalExpenditure,-24368000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2024,10-K,annual,YF_TS,2024-07-31,capex,annualCapitalExpenditure,-32000000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2021,10-K,annual,YF_TS,2021-07-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,68334000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2022,10-K,annual,YF_TS,2022-07-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,99262000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2023,10-K,annual,YF_TS,2023-07-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,109159000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2024,10-K,annual,YF_TS,2024-07-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,144017000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2021,10-K,annual,YF_TS,2021-07-31,short_term_debt,annualCurrentDebt,1000000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2022,10-K,annual,YF_TS,2022-07-31,short_term_debt,annualCurrentDebt,1000000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2023,10-K,annual,YF_TS,2023-07-31,short_term_debt,annualCurrentDebt,1000000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2024,10-K,annual,YF_TS,2024-07-31,short_term_debt,annualCurrentDebt,1000000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2021,10-K,annual,YF_TS,2021-07-31,cash,annualCashAndCashEquivalents,24591000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2022,10-K,annual,YF_TS,2022-07-31,cash,annualCashAndCashEquivalents,16298000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2023,10-K,annual,YF_TS,2023-07-31,cash,annualCashAndCashEquivalents,31754000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2024,10-K,annual,YF_TS,2024-07-31,cash,annualCashAndCashEquivalents,23481000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2021,10-K,annual,YF_TS,2021-07-31,revenue,annualTotalRevenue,304981000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2022,10-K,annual,YF_TS,2022-07-31,revenue,annualTotalRevenue,348589000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2023,10-K,annual,YF_TS,2023-07-31,revenue,annualTotalRevenue,413021000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2024,10-K,annual,YF_TS,2024-07-31,revenue,annualTotalRevenue,437587000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2021,10-K,annual,YF_TS,2021-07-31,total_assets,annualTotalAssets,227566000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2022,10-K,annual,YF_TS,2022-07-31,total_assets,annualTotalAssets,249611000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2023,10-K,annual,YF_TS,2023-07-31,total_assets,annualTotalAssets,286235000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2024,10-K,annual,YF_TS,2024-07-31,total_assets,annualTotalAssets,354605000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2021,10-K,annual,YF_TS,2021-07-31,operating_cash_flow,annualOperatingCashFlow,13636000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2022,10-K,annual,YF_TS,2022-07-31,operating_cash_flow,annualOperatingCashFlow,9017000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2023,10-K,annual,YF_TS,2023-07-31,operating_cash_flow,annualOperatingCashFlow,49764000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2024,10-K,annual,YF_TS,2024-07-31,operating_cash_flow,annualOperatingCashFlow,60313000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2021,10-K,annual,YF_TS,2021-07-31,financing_cash_flow,annualFinancingCashFlow,-11322000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2022,10-K,annual,YF_TS,2022-07-31,financing_cash_flow,annualFinancingCashFlow,4703000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2023,10-K,annual,YF_TS,2023-07-31,financing_cash_flow,annualFinancingCashFlow,-9518000.0
ODC,ODC,Oil-Dri Corporation Of America Common Stock,2024,10-K,annual,YF_TS,2024-07-31,financing_cash_flow,annualFinancingCashFlow,8326000.0
