ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-12-31,cash,annualCashAndCashEquivalents,186312000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-12-31,cash,annualCashAndCashEquivalents,433799000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-12-31,cash,annualCashAndCashEquivalents,108676000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,cash,annualCashAndCashEquivalents,120091000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-12-31,eps,annualBasicEPS,6.13
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-12-31,eps,annualBasicEPS,5.665
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-12-31,eps,annualBasicEPS,5.51
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,eps,annualBasicEPS,4.86
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-12-31,revenue,annualTotalRevenue,6260077000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-12-31,revenue,annualTotalRevenue,5866152000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-12-31,revenue,annualTotalRevenue,5814810000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,revenue,annualTotalRevenue,5496389000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-12-31,operating_cash_flow,annualOperatingCashFlow,1691582000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-12-31,operating_cash_flow,annualOperatingCashFlow,1569135000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-12-31,operating_cash_flow,annualOperatingCashFlow,1659283000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,operating_cash_flow,annualOperatingCashFlow,1370133000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-12-31,total_assets,annualTotalAssets,4838610000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-12-31,total_assets,annualTotalAssets,5512393000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-12-31,total_assets,annualTotalAssets,5491395000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,total_assets,annualTotalAssets,5470160000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-12-31,eps,annualDilutedEPS,6.09
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-12-31,eps,annualDilutedEPS,5.63
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-12-31,eps,annualDilutedEPS,5.48
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,eps,annualDilutedEPS,4.84
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-12-31,financing_cash_flow,annualFinancingCashFlow,-1420362000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-12-31,financing_cash_flow,annualFinancingCashFlow,-661828000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-12-31,financing_cash_flow,annualFinancingCashFlow,-1233212000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,financing_cash_flow,annualFinancingCashFlow,-992307000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-12-31,net_income,annualNetIncome,1377159000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-12-31,net_income,annualNetIncome,1239502000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-12-31,net_income,annualNetIncome,1186073000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,net_income,annualNetIncome,1023703000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-12-31,short_term_debt,annualCurrentDebt,20000000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-12-31,short_term_debt,annualCurrentDebt,20000000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-12-31,short_term_debt,annualCurrentDebt,20000000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,short_term_debt,annualCurrentDebt,20000000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-12-31,capex,annualCapitalExpenditure,-775148000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-12-31,capex,annualCapitalExpenditure,-757309000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-12-31,capex,annualCapitalExpenditure,-771318000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,capex,annualCapitalExpenditure,-415034000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-12-31,total_equity,annualStockholdersEquity,3652917000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-12-31,total_equity,annualStockholdersEquity,4257811000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-12-31,total_equity,annualStockholdersEquity,4244588000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,total_equity,annualStockholdersEquity,4311057000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-12-31,investing_cash_flow,annualInvestingCashFlow,-547472000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-12-31,investing_cash_flow,annualInvestingCashFlow,-659820000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-12-31,investing_cash_flow,annualInvestingCashFlow,-751194000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,investing_cash_flow,annualInvestingCashFlow,-366411000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-12-31,gross_profit,annualGrossProfit,2256126000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-12-31,gross_profit,annualGrossProfit,2072199000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-12-31,gross_profit,annualGrossProfit,2022793000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,gross_profit,annualGrossProfit,1815364000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-12-31,long_term_debt,annualLongTermDebt,79963000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-12-31,long_term_debt,annualLongTermDebt,59977000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-12-31,long_term_debt,annualLongTermDebt,39987000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,long_term_debt,annualLongTermDebt,19995000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-12-31,operating_income,annualOperatingIncome,1840632000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-12-31,operating_income,annualOperatingIncome,1640673000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-12-31,operating_income,annualOperatingIncome,1543998000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,operating_income,annualOperatingIncome,1361045000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,235667000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,433799000.0
ODFL,ODFL,"Old Dominion Freight Line, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,108676000.0
