ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
PNC,PNC,"PNC Financial Services Group, Inc. (The) Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,eps,quarterlyDilutedEPS,3.51
PNC,PNC,"PNC Financial Services Group, Inc. (The) Common Stock",2025,10-Q,half,YF_TS,2025-06-30,eps,quarterlyDilutedEPS,3.85
PNC,PNC,"PNC Financial Services Group, Inc. (The) Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,eps,quarterlyDilutedEPS,4.35
PNC,PNC,"PNC Financial Services Group, Inc. (The) Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,eps,quarterlyDilutedEPS,4.13
PNC,PNC,"PNC Financial Services Group, Inc. (The) Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,498271000000.0
PNC,PNC,"PNC Financial Services Group, Inc. (The) Common Stock",2025,10-Q,half,YF_TS,2025-06-30,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,501452000000.0
PNC,PNC,"PNC Financial Services Group, Inc. (The) Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,509729000000.0
PNC,PNC,"PNC Financial Services Group, Inc. (The) Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,539352000000.0
PNC,PNC,"PNC Financial Services Group, Inc. (The) Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,operating_cash_flow,quarterlyOperatingCashFlow,-509000000.0
PNC,PNC,"PNC Financial Services Group, Inc. (The) Common Stock",2025,10-Q,half,YF_TS,2025-06-30,operating_cash_flow,quarterlyOperatingCashFlow,1480000000.0
PNC,PNC,"PNC Financial Services Group, Inc. (The) Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,operating_cash_flow,quarterlyOperatingCashFlow,2656000000.0
PNC,PNC,"PNC Financial Services Group, Inc. (The) Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,operating_cash_flow,quarterlyOperatingCashFlow,1928000000.0
PNC,PNC,"PNC Financial Services Group, Inc. (The) Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,investing_cash_flow,quarterlyInvestingCashFlow,-980000000.0
PNC,PNC,"PNC Financial Services Group, Inc. (The) Common Stock",2025,10-Q,half,YF_TS,2025-06-30,investing_cash_flow,quarterlyInvestingCashFlow,-11708000000.0
PNC,PNC,"PNC Financial Services Group, Inc. (The) Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,investing_cash_flow,quarterlyInvestingCashFlow,-820000000.0
PNC,PNC,"PNC Financial Services Group, Inc. (The) Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,investing_cash_flow,quarterlyInvestingCashFlow,-10586000000.0
PNC,PNC,"PNC Financial Services Group, Inc. (The) Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,total_assets,quarterlyTotalAssets,554722000000.0
PNC,PNC,"PNC Financial Services Group, Inc. (The) Common Stock",2025,10-Q,half,YF_TS,2025-06-30,total_assets,quarterlyTotalAssets,559107000000.0
PNC,PNC,"PNC Financial Services Group, Inc. (The) Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,total_assets,quarterlyTotalAssets,568767000000.0
PNC,PNC,"PNC Financial Services Group, Inc. (The) Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,total_assets,quarterlyTotalAssets,603028000000.0
PNC,PNC,"PNC Financial Services Group, Inc. (The) Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,cash,quarterlyCashAndCashEquivalents,38400000000.0
