ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
PRE,PRE,Prenetics Global Limited - Class A Ordinary Share,2022,10-K,annual,YF_TS,2022-12-31,eps,annualDilutedEPS,-37.5
PRE,PRE,Prenetics Global Limited - Class A Ordinary Share,2023,10-K,annual,YF_TS,2023-12-31,eps,annualDilutedEPS,-5.58
PRE,PRE,Prenetics Global Limited - Class A Ordinary Share,2024,10-K,annual,YF_TS,2024-12-31,eps,annualDilutedEPS,-3.71
PRE,PRE,Prenetics Global Limited - Class A Ordinary Share,2025,10-K,annual,YF_TS,2025-12-31,eps,annualDilutedEPS,-2.68
PRE,PRE,Prenetics Global Limited - Class A Ordinary Share,2022,10-K,annual,YF_TS,2022-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,68668371.0
PRE,PRE,Prenetics Global Limited - Class A Ordinary Share,2023,10-K,annual,YF_TS,2023-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,44013000.0
PRE,PRE,Prenetics Global Limited - Class A Ordinary Share,2024,10-K,annual,YF_TS,2024-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,42229000.0
PRE,PRE,Prenetics Global Limited - Class A Ordinary Share,2025,10-K,annual,YF_TS,2025-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,49707000.0
PRE,PRE,Prenetics Global Limited - Class A Ordinary Share,2022,10-K,annual,YF_TS,2022-12-31,operating_income,annualOperatingIncome,-65917000.0
PRE,PRE,Prenetics Global Limited - Class A Ordinary Share,2023,10-K,annual,YF_TS,2023-12-31,operating_income,annualOperatingIncome,-42469000.0
PRE,PRE,Prenetics Global Limited - Class A Ordinary Share,2024,10-K,annual,YF_TS,2024-12-31,operating_income,annualOperatingIncome,-38277000.0
PRE,PRE,Prenetics Global Limited - Class A Ordinary Share,2025,10-K,annual,YF_TS,2025-12-31,operating_income,annualOperatingIncome,-38129000.0
PRE,PRE,Prenetics Global Limited - Class A Ordinary Share,2022,10-K,annual,YF_TS,2022-12-31,net_income,annualNetIncome,-190454000.0
PRE,PRE,Prenetics Global Limited - Class A Ordinary Share,2023,10-K,annual,YF_TS,2023-12-31,net_income,annualNetIncome,-62724000.0
PRE,PRE,Prenetics Global Limited - Class A Ordinary Share,2024,10-K,annual,YF_TS,2024-12-31,net_income,annualNetIncome,-46304000.0
PRE,PRE,Prenetics Global Limited - Class A Ordinary Share,2025,10-K,annual,YF_TS,2025-12-31,net_income,annualNetIncome,-37709000.0
PRE,PRE,Prenetics Global Limited - Class A Ordinary Share,2022,10-K,annual,YF_TS,2022-12-31,financing_cash_flow,annualFinancingCashFlow,143318000.0
PRE,PRE,Prenetics Global Limited - Class A Ordinary Share,2023,10-K,annual,YF_TS,2023-12-31,financing_cash_flow,annualFinancingCashFlow,-4704000.0
PRE,PRE,Prenetics Global Limited - Class A Ordinary Share,2024,10-K,annual,YF_TS,2024-12-31,financing_cash_flow,annualFinancingCashFlow,-3343000.0
PRE,PRE,Prenetics Global Limited - Class A Ordinary Share,2025,10-K,annual,YF_TS,2025-12-31,financing_cash_flow,annualFinancingCashFlow,37467000.0
PRE,PRE,Prenetics Global Limited - Class A Ordinary Share,2022,10-K,annual,YF_TS,2022-12-31,total_equity,annualStockholdersEquity,237064127.0
PRE,PRE,Prenetics Global Limited - Class A Ordinary Share,2023,10-K,annual,YF_TS,2023-12-31,total_equity,annualStockholdersEquity,206359000.0
PRE,PRE,Prenetics Global Limited - Class A Ordinary Share,2024,10-K,annual,YF_TS,2024-12-31,total_equity,annualStockholdersEquity,170389000.0
PRE,PRE,Prenetics Global Limited - Class A Ordinary Share,2025,10-K,annual,YF_TS,2025-12-31,total_equity,annualStockholdersEquity,156459000.0
