ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
RAIN,RAIN,"Rain Enhancement Technologies Holdco, Inc. - Class A Common Stock",2023,10-K,annual,YF_TS,2023-12-31,net_income,annualNetIncome,-437007.0
RAIN,RAIN,"Rain Enhancement Technologies Holdco, Inc. - Class A Common Stock",2024,10-K,annual,YF_TS,2024-12-31,net_income,annualNetIncome,-4533761.0
RAIN,RAIN,"Rain Enhancement Technologies Holdco, Inc. - Class A Common Stock",2025,10-K,annual,YF_TS,2025-12-31,net_income,annualNetIncome,-9091354.0
RAIN,RAIN,"Rain Enhancement Technologies Holdco, Inc. - Class A Common Stock",2023,10-K,annual,YF_TS,2023-12-31,operating_cash_flow,annualOperatingCashFlow,-238113.0
RAIN,RAIN,"Rain Enhancement Technologies Holdco, Inc. - Class A Common Stock",2024,10-K,annual,YF_TS,2024-12-31,operating_cash_flow,annualOperatingCashFlow,-1322578.0
RAIN,RAIN,"Rain Enhancement Technologies Holdco, Inc. - Class A Common Stock",2025,10-K,annual,YF_TS,2025-12-31,operating_cash_flow,annualOperatingCashFlow,-1953045.0
RAIN,RAIN,"Rain Enhancement Technologies Holdco, Inc. - Class A Common Stock",2023,10-K,annual,YF_TS,2023-12-31,operating_income,annualOperatingIncome,-410073.0
RAIN,RAIN,"Rain Enhancement Technologies Holdco, Inc. - Class A Common Stock",2024,10-K,annual,YF_TS,2024-12-31,operating_income,annualOperatingIncome,-4503606.0
RAIN,RAIN,"Rain Enhancement Technologies Holdco, Inc. - Class A Common Stock",2025,10-K,annual,YF_TS,2025-12-31,operating_income,annualOperatingIncome,-8132501.0
RAIN,RAIN,"Rain Enhancement Technologies Holdco, Inc. - Class A Common Stock",2022,10-K,annual,YF_TS,2022-12-31,total_assets,annualTotalAssets,320802.0
RAIN,RAIN,"Rain Enhancement Technologies Holdco, Inc. - Class A Common Stock",2023,10-K,annual,YF_TS,2023-12-31,total_assets,annualTotalAssets,517789.0
RAIN,RAIN,"Rain Enhancement Technologies Holdco, Inc. - Class A Common Stock",2024,10-K,annual,YF_TS,2024-12-31,total_assets,annualTotalAssets,1276400.0
RAIN,RAIN,"Rain Enhancement Technologies Holdco, Inc. - Class A Common Stock",2025,10-K,annual,YF_TS,2025-12-31,total_assets,annualTotalAssets,1793174.0
