ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-04-30,operating_income,annualOperatingIncome,-13002286.0
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-04-30,operating_income,annualOperatingIncome,-23510910.0
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-04-30,operating_income,annualOperatingIncome,-18886000.0
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,operating_income,annualOperatingIncome,-66597000.0
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-04-30,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,5975387.0
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-04-30,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,4973082.0
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,5485000.0
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,27845000.0
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-04-30,short_term_debt,annualCurrentDebt,922138.0
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-04-30,short_term_debt,annualCurrentDebt,751570.0
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-12-31,short_term_debt,annualCurrentDebt,350000.0
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,short_term_debt,annualCurrentDebt,4868000.0
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-04-30,capex,annualCapitalExpenditure,-363689.0
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-04-30,capex,annualCapitalExpenditure,-2450213.0
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-04-30,capex,annualCapitalExpenditure,-259000.0
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,capex,annualCapitalExpenditure,-6647000.0
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-04-30,gross_profit,annualGrossProfit,925515.0
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-04-30,gross_profit,annualGrossProfit,-834311.0
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-04-30,gross_profit,annualGrossProfit,3681000.0
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,gross_profit,annualGrossProfit,1274000.0
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-04-30,investing_cash_flow,annualInvestingCashFlow,-46603486.0
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-04-30,investing_cash_flow,annualInvestingCashFlow,29590235.0
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-04-30,investing_cash_flow,annualInvestingCashFlow,13567000.0
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,investing_cash_flow,annualInvestingCashFlow,-6647000.0
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-04-30,long_term_debt,annualLongTermDebt,973707.0
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-04-30,long_term_debt,annualLongTermDebt,401569.0
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-04-30,net_income,annualNetIncome,-11689128.0
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-04-30,net_income,annualNetIncome,-28107029.0
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-04-30,net_income,annualNetIncome,-24053000.0
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,net_income,annualNetIncome,-72075000.0
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-04-30,cash,annualCashCashEquivalentsAndShortTermInvestments,15987687.0
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-04-30,cash,annualCashCashEquivalentsAndShortTermInvestments,6067169.0
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,9154000.0
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,167865000.0
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-04-30,revenue,annualTotalRevenue,6428963.0
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-04-30,revenue,annualTotalRevenue,4620834.0
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-04-30,revenue,annualTotalRevenue,17836000.0
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,revenue,annualTotalRevenue,40729000.0
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-04-30,total_equity,annualStockholdersEquity,54767941.0
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-04-30,total_equity,annualStockholdersEquity,43564530.0
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-12-31,total_equity,annualStockholdersEquity,50119000.0
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,total_equity,annualStockholdersEquity,245832000.0
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-04-30,eps,annualDilutedEPS,-0.24
RCAT,RCAT,"Red Cat Holdings, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-04-30,eps,annualDilutedEPS,-0.52
