ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
RFMZ,RFMZ,"RiverNorth Flexible Municipal Income Fund II, Inc. Common Stock",2022,10-K,annual,YF_TS,2022-06-30,eps,annualDilutedEPS,-3.84
RFMZ,RFMZ,"RiverNorth Flexible Municipal Income Fund II, Inc. Common Stock",2023,10-K,annual,YF_TS,2023-06-30,eps,annualDilutedEPS,0.65
RFMZ,RFMZ,"RiverNorth Flexible Municipal Income Fund II, Inc. Common Stock",2024,10-K,annual,YF_TS,2024-06-30,eps,annualDilutedEPS,1.31
RFMZ,RFMZ,"RiverNorth Flexible Municipal Income Fund II, Inc. Common Stock",2025,10-K,annual,YF_TS,2025-06-30,eps,annualDilutedEPS,-0.59
RFMZ,RFMZ,"RiverNorth Flexible Municipal Income Fund II, Inc. Common Stock",2022,10-K,annual,YF_TS,2022-06-30,financing_cash_flow,annualFinancingCashFlow,57614889.0
RFMZ,RFMZ,"RiverNorth Flexible Municipal Income Fund II, Inc. Common Stock",2023,10-K,annual,YF_TS,2023-06-30,financing_cash_flow,annualFinancingCashFlow,-43417619.0
RFMZ,RFMZ,"RiverNorth Flexible Municipal Income Fund II, Inc. Common Stock",2024,10-K,annual,YF_TS,2024-06-30,financing_cash_flow,annualFinancingCashFlow,-28098325.0
RFMZ,RFMZ,"RiverNorth Flexible Municipal Income Fund II, Inc. Common Stock",2025,10-K,annual,YF_TS,2025-06-30,financing_cash_flow,annualFinancingCashFlow,-23689456.0
RFMZ,RFMZ,"RiverNorth Flexible Municipal Income Fund II, Inc. Common Stock",2022,10-K,annual,YF_TS,2022-06-30,total_assets,annualTotalAssets,745463336.0
RFMZ,RFMZ,"RiverNorth Flexible Municipal Income Fund II, Inc. Common Stock",2023,10-K,annual,YF_TS,2023-06-30,total_assets,annualTotalAssets,619873997.0
RFMZ,RFMZ,"RiverNorth Flexible Municipal Income Fund II, Inc. Common Stock",2024,10-K,annual,YF_TS,2024-06-30,total_assets,annualTotalAssets,622709728.0
RFMZ,RFMZ,"RiverNorth Flexible Municipal Income Fund II, Inc. Common Stock",2025,10-K,annual,YF_TS,2025-06-30,total_assets,annualTotalAssets,585447249.0
