ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
RGS,RGS,Regis Corporation - Common Stock,2022,10-K,annual,YF_TS,2022-06-30,revenue,annualTotalRevenue,275967000.0
RGS,RGS,Regis Corporation - Common Stock,2023,10-K,annual,YF_TS,2023-06-30,revenue,annualTotalRevenue,233326000.0
RGS,RGS,Regis Corporation - Common Stock,2024,10-K,annual,YF_TS,2024-06-30,revenue,annualTotalRevenue,202982000.0
RGS,RGS,Regis Corporation - Common Stock,2025,10-K,annual,YF_TS,2025-06-30,revenue,annualTotalRevenue,210134000.0
RGS,RGS,Regis Corporation - Common Stock,2022,10-K,annual,YF_TS,2022-06-30,cash,annualCashAndCashEquivalents,17041000.0
RGS,RGS,Regis Corporation - Common Stock,2023,10-K,annual,YF_TS,2023-06-30,cash,annualCashAndCashEquivalents,9508000.0
RGS,RGS,Regis Corporation - Common Stock,2024,10-K,annual,YF_TS,2024-06-30,cash,annualCashAndCashEquivalents,10066000.0
RGS,RGS,Regis Corporation - Common Stock,2025,10-K,annual,YF_TS,2025-06-30,cash,annualCashAndCashEquivalents,16959000.0
RGS,RGS,Regis Corporation - Common Stock,2022,10-K,annual,YF_TS,2022-06-30,total_assets,annualTotalAssets,769300000.0
RGS,RGS,Regis Corporation - Common Stock,2023,10-K,annual,YF_TS,2023-06-30,total_assets,annualTotalAssets,607377000.0
RGS,RGS,Regis Corporation - Common Stock,2024,10-K,annual,YF_TS,2024-06-30,total_assets,annualTotalAssets,530496000.0
RGS,RGS,Regis Corporation - Common Stock,2025,10-K,annual,YF_TS,2025-06-30,total_assets,annualTotalAssets,598957000.0
RGS,RGS,Regis Corporation - Common Stock,2022,10-K,annual,YF_TS,2022-06-30,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,800253000.0
RGS,RGS,Regis Corporation - Common Stock,2023,10-K,annual,YF_TS,2023-06-30,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,644107000.0
RGS,RGS,Regis Corporation - Common Stock,2024,10-K,annual,YF_TS,2024-06-30,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,473709000.0
RGS,RGS,Regis Corporation - Common Stock,2025,10-K,annual,YF_TS,2025-06-30,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,413341000.0
RGS,RGS,Regis Corporation - Common Stock,2022,10-K,annual,YF_TS,2022-06-30,cash,annualCashCashEquivalentsAndShortTermInvestments,17041000.0
RGS,RGS,Regis Corporation - Common Stock,2023,10-K,annual,YF_TS,2023-06-30,cash,annualCashCashEquivalentsAndShortTermInvestments,9508000.0
RGS,RGS,Regis Corporation - Common Stock,2024,10-K,annual,YF_TS,2024-06-30,cash,annualCashCashEquivalentsAndShortTermInvestments,10066000.0
RGS,RGS,Regis Corporation - Common Stock,2025,10-K,annual,YF_TS,2025-06-30,cash,annualCashCashEquivalentsAndShortTermInvestments,16959000.0
RGS,RGS,Regis Corporation - Common Stock,2022,10-K,annual,YF_TS,2022-06-30,net_income,annualNetIncome,-85857000.0
RGS,RGS,Regis Corporation - Common Stock,2023,10-K,annual,YF_TS,2023-06-30,net_income,annualNetIncome,-7385000.0
RGS,RGS,Regis Corporation - Common Stock,2024,10-K,annual,YF_TS,2024-06-30,net_income,annualNetIncome,91060000.0
RGS,RGS,Regis Corporation - Common Stock,2025,10-K,annual,YF_TS,2025-06-30,net_income,annualNetIncome,123536000.0
RGS,RGS,Regis Corporation - Common Stock,2022,10-K,annual,YF_TS,2022-06-30,long_term_debt,annualLongTermDebt,179994000.0
RGS,RGS,Regis Corporation - Common Stock,2023,10-K,annual,YF_TS,2023-06-30,long_term_debt,annualLongTermDebt,176830000.0
RGS,RGS,Regis Corporation - Common Stock,2024,10-K,annual,YF_TS,2024-06-30,long_term_debt,annualLongTermDebt,99545000.0
RGS,RGS,Regis Corporation - Common Stock,2025,10-K,annual,YF_TS,2025-06-30,long_term_debt,annualLongTermDebt,109693000.0
RGS,RGS,Regis Corporation - Common Stock,2022,10-K,annual,YF_TS,2022-06-30,eps,annualBasicEPS,-39.4
RGS,RGS,Regis Corporation - Common Stock,2023,10-K,annual,YF_TS,2023-06-30,eps,annualBasicEPS,-3.18
RGS,RGS,Regis Corporation - Common Stock,2024,10-K,annual,YF_TS,2024-06-30,eps,annualBasicEPS,38.93
RGS,RGS,Regis Corporation - Common Stock,2025,10-K,annual,YF_TS,2025-06-30,eps,annualBasicEPS,52.26
RGS,RGS,Regis Corporation - Common Stock,2022,10-K,annual,YF_TS,2022-06-30,operating_income,annualOperatingIncome,-15236000.0
RGS,RGS,Regis Corporation - Common Stock,2023,10-K,annual,YF_TS,2023-06-30,operating_income,annualOperatingIncome,8880000.0
RGS,RGS,Regis Corporation - Common Stock,2024,10-K,annual,YF_TS,2024-06-30,operating_income,annualOperatingIncome,21688000.0
RGS,RGS,Regis Corporation - Common Stock,2025,10-K,annual,YF_TS,2025-06-30,operating_income,annualOperatingIncome,20291000.0
RGS,RGS,Regis Corporation - Common Stock,2022,10-K,annual,YF_TS,2022-06-30,investing_cash_flow,annualInvestingCashFlow,7684000.0
RGS,RGS,Regis Corporation - Common Stock,2023,10-K,annual,YF_TS,2023-06-30,investing_cash_flow,annualInvestingCashFlow,4019000.0
RGS,RGS,Regis Corporation - Common Stock,2024,10-K,annual,YF_TS,2024-06-30,investing_cash_flow,annualInvestingCashFlow,1624000.0
RGS,RGS,Regis Corporation - Common Stock,2025,10-K,annual,YF_TS,2025-06-30,investing_cash_flow,annualInvestingCashFlow,-11453000.0
RGS,RGS,Regis Corporation - Common Stock,2022,10-K,annual,YF_TS,2022-06-30,gross_profit,annualGrossProfit,65619000.0
RGS,RGS,Regis Corporation - Common Stock,2023,10-K,annual,YF_TS,2023-06-30,gross_profit,annualGrossProfit,76543000.0
RGS,RGS,Regis Corporation - Common Stock,2024,10-K,annual,YF_TS,2024-06-30,gross_profit,annualGrossProfit,76545000.0
RGS,RGS,Regis Corporation - Common Stock,2025,10-K,annual,YF_TS,2025-06-30,gross_profit,annualGrossProfit,80508000.0
RGS,RGS,Regis Corporation - Common Stock,2022,10-K,annual,YF_TS,2022-06-30,capex,annualCapitalExpenditure,-5316000.0
RGS,RGS,Regis Corporation - Common Stock,2023,10-K,annual,YF_TS,2023-06-30,capex,annualCapitalExpenditure,-481000.0
RGS,RGS,Regis Corporation - Common Stock,2024,10-K,annual,YF_TS,2024-06-30,capex,annualCapitalExpenditure,-376000.0
RGS,RGS,Regis Corporation - Common Stock,2025,10-K,annual,YF_TS,2025-06-30,capex,annualCapitalExpenditure,-1295000.0
RGS,RGS,Regis Corporation - Common Stock,2022,10-K,annual,YF_TS,2022-06-30,total_equity,annualStockholdersEquity,-30953000.0
RGS,RGS,Regis Corporation - Common Stock,2023,10-K,annual,YF_TS,2023-06-30,total_equity,annualStockholdersEquity,-36730000.0
