ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-12-31,cash,annualCashAndCashEquivalents,49308000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-12-31,cash,annualCashAndCashEquivalents,41285000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-12-31,cash,annualCashAndCashEquivalents,60468000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,cash,annualCashAndCashEquivalents,71537000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-12-31,revenue,annualTotalRevenue,624811000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-12-31,revenue,annualTotalRevenue,647514000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-12-31,revenue,annualTotalRevenue,703235000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,revenue,annualTotalRevenue,774632000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,2691277000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,2583616000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,2562391000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,2669608000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-12-31,net_income,annualNetIncome,-77605000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-12-31,net_income,annualNetIncome,13756000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-12-31,net_income,annualNetIncome,126712000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,net_income,annualNetIncome,155609000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-12-31,total_assets,annualTotalAssets,5747672000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-12-31,total_assets,annualTotalAssets,5386150000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-12-31,total_assets,annualTotalAssets,5303679000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,total_assets,annualTotalAssets,5493396000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,49308000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,41285000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,60468000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,71537000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-12-31,short_term_debt,annualCurrentDebt,196982000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-12-31,short_term_debt,annualCurrentDebt,94429000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-12-31,short_term_debt,annualCurrentDebt,106554000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,short_term_debt,annualCurrentDebt,217584000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-12-31,financing_cash_flow,annualFinancingCashFlow,-161707000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-12-31,financing_cash_flow,annualFinancingCashFlow,-410300000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-12-31,financing_cash_flow,annualFinancingCashFlow,-181561000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,financing_cash_flow,annualFinancingCashFlow,40757000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-12-31,operating_cash_flow,annualOperatingCashFlow,315733000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-12-31,operating_cash_flow,annualOperatingCashFlow,300571000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-12-31,operating_cash_flow,annualOperatingCashFlow,310541000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,operating_cash_flow,annualOperatingCashFlow,348613000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-12-31,long_term_debt,annualLongTermDebt,2309792000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-12-31,long_term_debt,annualLongTermDebt,2319674000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-12-31,long_term_debt,annualLongTermDebt,2311094000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,long_term_debt,annualLongTermDebt,2311312000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-12-31,total_equity,annualStockholdersEquity,3056395000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-12-31,total_equity,annualStockholdersEquity,2802534000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-12-31,total_equity,annualStockholdersEquity,2741288000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,total_equity,annualStockholdersEquity,2821841000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-12-31,eps,annualDilutedEPS,-0.34
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-12-31,eps,annualDilutedEPS,0.06
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-12-31,eps,annualDilutedEPS,0.54
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,eps,annualDilutedEPS,0.64
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-12-31,gross_profit,annualGrossProfit,462198000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-12-31,gross_profit,annualGrossProfit,452269000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-12-31,gross_profit,annualGrossProfit,476147000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,gross_profit,annualGrossProfit,503526000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-12-31,operating_income,annualOperatingIncome,234842000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-12-31,operating_income,annualOperatingIncome,221710000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-12-31,operating_income,annualOperatingIncome,256457000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2025,10-K,annual,YF_TS,2025-12-31,operating_income,annualOperatingIncome,263867000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2022,10-K,annual,YF_TS,2022-12-31,investing_cash_flow,annualInvestingCashFlow,-216248000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2023,10-K,annual,YF_TS,2023-12-31,investing_cash_flow,annualInvestingCashFlow,103130000.0
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",2024,10-K,annual,YF_TS,2024-12-31,investing_cash_flow,annualInvestingCashFlow,-109001000.0
