ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
SB,SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)",2022,10-K,annual,YF_TS,2022-12-31,cash,annualCashAndCashEquivalents,49186000.0
SB,SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)",2023,10-K,annual,YF_TS,2023-12-31,cash,annualCashAndCashEquivalents,48191000.0
SB,SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)",2024,10-K,annual,YF_TS,2024-12-31,cash,annualCashAndCashEquivalents,81083000.0
SB,SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)",2025,10-K,annual,YF_TS,2025-12-31,cash,annualCashAndCashEquivalents,141579000.0
SB,SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)",2022,10-K,annual,YF_TS,2022-12-31,operating_cash_flow,annualOperatingCashFlow,218046000.0
SB,SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)",2023,10-K,annual,YF_TS,2023-12-31,operating_cash_flow,annualOperatingCashFlow,122207000.0
SB,SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)",2024,10-K,annual,YF_TS,2024-12-31,operating_cash_flow,annualOperatingCashFlow,130458000.0
SB,SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)",2025,10-K,annual,YF_TS,2025-12-31,operating_cash_flow,annualOperatingCashFlow,102292000.0
SB,SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)",2022,10-K,annual,YF_TS,2022-12-31,eps,annualBasicEPS,1.36
SB,SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)",2023,10-K,annual,YF_TS,2023-12-31,eps,annualBasicEPS,0.61
SB,SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)",2024,10-K,annual,YF_TS,2024-12-31,eps,annualBasicEPS,0.83
SB,SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)",2025,10-K,annual,YF_TS,2025-12-31,eps,annualBasicEPS,0.3
SB,SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)",2022,10-K,annual,YF_TS,2022-12-31,eps,annualDilutedEPS,1.36
SB,SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)",2023,10-K,annual,YF_TS,2023-12-31,eps,annualDilutedEPS,0.61
SB,SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)",2024,10-K,annual,YF_TS,2024-12-31,eps,annualDilutedEPS,0.83
SB,SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)",2025,10-K,annual,YF_TS,2025-12-31,eps,annualDilutedEPS,0.3
SB,SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)",2022,10-K,annual,YF_TS,2022-12-31,total_assets,annualTotalAssets,1245918000.0
SB,SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)",2023,10-K,annual,YF_TS,2023-12-31,total_assets,annualTotalAssets,1339816000.0
SB,SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)",2024,10-K,annual,YF_TS,2024-12-31,total_assets,annualTotalAssets,1403096000.0
SB,SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)",2025,10-K,annual,YF_TS,2025-12-31,total_assets,annualTotalAssets,1403182000.0
SB,SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)",2022,10-K,annual,YF_TS,2022-12-31,financing_cash_flow,annualFinancingCashFlow,-40101000.0
SB,SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)",2023,10-K,annual,YF_TS,2023-12-31,financing_cash_flow,annualFinancingCashFlow,29141000.0
SB,SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)",2024,10-K,annual,YF_TS,2024-12-31,financing_cash_flow,annualFinancingCashFlow,-25858000.0
SB,SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)",2025,10-K,annual,YF_TS,2025-12-31,financing_cash_flow,annualFinancingCashFlow,-52371000.0
SB,SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)",2022,10-K,annual,YF_TS,2022-12-31,net_income,annualNetIncome,172554000.0
SB,SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)",2023,10-K,annual,YF_TS,2023-12-31,net_income,annualNetIncome,77351000.0
SB,SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)",2024,10-K,annual,YF_TS,2024-12-31,net_income,annualNetIncome,97376000.0
SB,SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)",2025,10-K,annual,YF_TS,2025-12-31,net_income,annualNetIncome,38563000.0
SB,SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)",2022,10-K,annual,YF_TS,2022-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,113377000.0
SB,SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)",2023,10-K,annual,YF_TS,2023-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,87922000.0
SB,SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)",2024,10-K,annual,YF_TS,2024-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,125422000.0
SB,SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)",2025,10-K,annual,YF_TS,2025-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,157959000.0
SB,SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)",2022,10-K,annual,YF_TS,2022-12-31,operating_income,annualOperatingIncome,184648000.0
SB,SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)",2023,10-K,annual,YF_TS,2023-12-31,operating_income,annualOperatingIncome,93773000.0
SB,SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)",2024,10-K,annual,YF_TS,2024-12-31,operating_income,annualOperatingIncome,111872000.0
SB,SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)",2025,10-K,annual,YF_TS,2025-12-31,operating_income,annualOperatingIncome,65371000.0
SB,SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)",2022,10-K,annual,YF_TS,2022-12-31,revenue,annualTotalRevenue,349718000.0
SB,SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)",2023,10-K,annual,YF_TS,2023-12-31,revenue,annualTotalRevenue,284401000.0
SB,SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)",2024,10-K,annual,YF_TS,2024-12-31,revenue,annualTotalRevenue,307633000.0
SB,SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)",2025,10-K,annual,YF_TS,2025-12-31,revenue,annualTotalRevenue,275737000.0
SB,SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)",2022,10-K,annual,YF_TS,2022-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,474002000.0
SB,SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)",2023,10-K,annual,YF_TS,2023-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,547305000.0
