ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
SCPQ,SCPQ,Social Commerce Partners Corporation - Class A Ordinary Shares,2026,10-Q,q1,YF_TS,2026-03-31,operating_cash_flow,quarterlyOperatingCashFlow,-478493.0
SCPQ,SCPQ,Social Commerce Partners Corporation - Class A Ordinary Shares,2026,10-Q,q1,YF_TS,2026-03-31,cash,quarterlyCashAndCashEquivalents,524610.0
SCPQ,SCPQ,Social Commerce Partners Corporation - Class A Ordinary Shares,2026,10-Q,q1,YF_TS,2026-03-31,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,524610.0
SCPQ,SCPQ,Social Commerce Partners Corporation - Class A Ordinary Shares,2026,10-Q,q1,YF_TS,2026-03-31,eps,quarterlyDilutedEPS,0.04
SCPQ,SCPQ,Social Commerce Partners Corporation - Class A Ordinary Shares,2025,10-Q,q3,YF_TS,2025-08-31,total_equity,quarterlyStockholdersEquity,6776.0
SCPQ,SCPQ,Social Commerce Partners Corporation - Class A Ordinary Shares,2025,10-Q,q3,YF_TS,2025-09-30,total_equity,quarterlyStockholdersEquity,-27729.0
SCPQ,SCPQ,Social Commerce Partners Corporation - Class A Ordinary Shares,2026,10-Q,q1,YF_TS,2026-03-31,total_equity,quarterlyStockholdersEquity,98080170.0
SCPQ,SCPQ,Social Commerce Partners Corporation - Class A Ordinary Shares,2025,10-Q,q3,YF_TS,2025-08-31,total_assets,quarterlyTotalAssets,30400.0
SCPQ,SCPQ,Social Commerce Partners Corporation - Class A Ordinary Shares,2025,10-Q,q3,YF_TS,2025-09-30,total_assets,quarterlyTotalAssets,83550.0
SCPQ,SCPQ,Social Commerce Partners Corporation - Class A Ordinary Shares,2026,10-Q,q1,YF_TS,2026-03-31,total_assets,quarterlyTotalAssets,101765013.0
SCPQ,SCPQ,Social Commerce Partners Corporation - Class A Ordinary Shares,2025,10-Q,q3,YF_TS,2025-08-31,short_term_debt,quarterlyCurrentDebt,12420.0
SCPQ,SCPQ,Social Commerce Partners Corporation - Class A Ordinary Shares,2025,10-Q,q3,YF_TS,2025-09-30,short_term_debt,quarterlyCurrentDebt,52729.0
SCPQ,SCPQ,Social Commerce Partners Corporation - Class A Ordinary Shares,2026,10-Q,q1,YF_TS,2026-03-31,net_income,quarterlyNetIncome,607344.0
SCPQ,SCPQ,Social Commerce Partners Corporation - Class A Ordinary Shares,2026,10-Q,q1,YF_TS,2026-03-31,eps,quarterlyBasicEPS,0.04
SCPQ,SCPQ,Social Commerce Partners Corporation - Class A Ordinary Shares,2025,10-Q,q3,YF_TS,2025-08-31,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,23624.0
SCPQ,SCPQ,Social Commerce Partners Corporation - Class A Ordinary Shares,2025,10-Q,q3,YF_TS,2025-09-30,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,111279.0
SCPQ,SCPQ,Social Commerce Partners Corporation - Class A Ordinary Shares,2026,10-Q,q1,YF_TS,2026-03-31,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,3684843.0
SCPQ,SCPQ,Social Commerce Partners Corporation - Class A Ordinary Shares,2026,10-Q,q1,YF_TS,2026-03-31,operating_income,quarterlyOperatingIncome,-272696.0
SCPQ,SCPQ,Social Commerce Partners Corporation - Class A Ordinary Shares,2026,10-Q,q1,YF_TS,2026-03-31,revenue,quarterlyTotalRevenue,0.0
SCPQ,SCPQ,Social Commerce Partners Corporation - Class A Ordinary Shares,2026,10-Q,q1,YF_TS,2026-03-31,financing_cash_flow,quarterlyFinancingCashFlow,-22844.0
