ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
SEVN,SEVN,Seven Hills Realty Trust  - Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,total_equity,quarterlyStockholdersEquity,268945000.0
SEVN,SEVN,Seven Hills Realty Trust  - Common Stock,2025,10-Q,half,YF_TS,2025-06-30,total_equity,quarterlyStockholdersEquity,267020000.0
SEVN,SEVN,Seven Hills Realty Trust  - Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,total_equity,quarterlyStockholdersEquity,266481000.0
SEVN,SEVN,Seven Hills Realty Trust  - Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,total_equity,quarterlyStockholdersEquity,326982000.0
SEVN,SEVN,Seven Hills Realty Trust  - Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,net_income,quarterlyNetIncome,4532000.0
SEVN,SEVN,Seven Hills Realty Trust  - Common Stock,2025,10-Q,half,YF_TS,2025-06-30,net_income,quarterlyNetIncome,2678000.0
SEVN,SEVN,Seven Hills Realty Trust  - Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,net_income,quarterlyNetIncome,3430000.0
SEVN,SEVN,Seven Hills Realty Trust  - Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,net_income,quarterlyNetIncome,4385000.0
SEVN,SEVN,Seven Hills Realty Trust  - Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,cash,quarterlyCashAndCashEquivalents,41637000.0
SEVN,SEVN,Seven Hills Realty Trust  - Common Stock,2025,10-Q,half,YF_TS,2025-06-30,cash,quarterlyCashAndCashEquivalents,45951000.0
SEVN,SEVN,Seven Hills Realty Trust  - Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,cash,quarterlyCashAndCashEquivalents,77495000.0
SEVN,SEVN,Seven Hills Realty Trust  - Common Stock,2026,10-Q,q1,YF_TS,2026-03-31,cash,quarterlyCashAndCashEquivalents,56606000.0
SEVN,SEVN,Seven Hills Realty Trust  - Common Stock,2025,10-Q,q1,YF_TS,2025-03-31,total_assets,quarterlyTotalAssets,714402000.0
SEVN,SEVN,Seven Hills Realty Trust  - Common Stock,2025,10-Q,half,YF_TS,2025-06-30,total_assets,quarterlyTotalAssets,687383000.0
SEVN,SEVN,Seven Hills Realty Trust  - Common Stock,2025,10-Q,q3,YF_TS,2025-09-30,total_assets,quarterlyTotalAssets,700844000.0
