ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
SHEN,SHEN,Shenandoah Telecommunications Co - Common Stock,2022,10-K,annual,YF_TS,2022-12-31,capex,annualCapitalExpenditure,-188989000.0
SHEN,SHEN,Shenandoah Telecommunications Co - Common Stock,2023,10-K,annual,YF_TS,2023-12-31,capex,annualCapitalExpenditure,-255070000.0
SHEN,SHEN,Shenandoah Telecommunications Co - Common Stock,2024,10-K,annual,YF_TS,2024-12-31,capex,annualCapitalExpenditure,-319070000.0
SHEN,SHEN,Shenandoah Telecommunications Co - Common Stock,2025,10-K,annual,YF_TS,2025-12-31,capex,annualCapitalExpenditure,-358919000.0
SHEN,SHEN,Shenandoah Telecommunications Co - Common Stock,2022,10-K,annual,YF_TS,2022-12-31,gross_profit,annualGrossProfit,146632000.0
SHEN,SHEN,Shenandoah Telecommunications Co - Common Stock,2023,10-K,annual,YF_TS,2023-12-31,gross_profit,annualGrossProfit,168281000.0
SHEN,SHEN,Shenandoah Telecommunications Co - Common Stock,2024,10-K,annual,YF_TS,2024-12-31,gross_profit,annualGrossProfit,199946000.0
SHEN,SHEN,Shenandoah Telecommunications Co - Common Stock,2025,10-K,annual,YF_TS,2025-12-31,gross_profit,annualGrossProfit,227736000.0
SHEN,SHEN,Shenandoah Telecommunications Co - Common Stock,2022,10-K,annual,YF_TS,2022-12-31,total_equity,annualStockholdersEquity,638007000.0
SHEN,SHEN,Shenandoah Telecommunications Co - Common Stock,2023,10-K,annual,YF_TS,2023-12-31,total_equity,annualStockholdersEquity,652670000.0
SHEN,SHEN,Shenandoah Telecommunications Co - Common Stock,2024,10-K,annual,YF_TS,2024-12-31,total_equity,annualStockholdersEquity,918583000.0
SHEN,SHEN,Shenandoah Telecommunications Co - Common Stock,2025,10-K,annual,YF_TS,2025-12-31,total_equity,annualStockholdersEquity,880783000.0
SHEN,SHEN,Shenandoah Telecommunications Co - Common Stock,2022,10-K,annual,YF_TS,2022-12-31,short_term_debt,annualCurrentDebt,648000.0
SHEN,SHEN,Shenandoah Telecommunications Co - Common Stock,2023,10-K,annual,YF_TS,2023-12-31,short_term_debt,annualCurrentDebt,7095000.0
SHEN,SHEN,Shenandoah Telecommunications Co - Common Stock,2024,10-K,annual,YF_TS,2024-12-31,short_term_debt,annualCurrentDebt,9204000.0
SHEN,SHEN,Shenandoah Telecommunications Co - Common Stock,2022,10-K,annual,YF_TS,2022-12-31,eps,annualDilutedEPS,-0.17
SHEN,SHEN,Shenandoah Telecommunications Co - Common Stock,2023,10-K,annual,YF_TS,2023-12-31,eps,annualDilutedEPS,0.16
SHEN,SHEN,Shenandoah Telecommunications Co - Common Stock,2024,10-K,annual,YF_TS,2024-12-31,eps,annualDilutedEPS,3.54
SHEN,SHEN,Shenandoah Telecommunications Co - Common Stock,2025,10-K,annual,YF_TS,2025-12-31,eps,annualDilutedEPS,-0.71
SHEN,SHEN,Shenandoah Telecommunications Co - Common Stock,2022,10-K,annual,YF_TS,2022-12-31,financing_cash_flow,annualFinancingCashFlow,69001000.0
SHEN,SHEN,Shenandoah Telecommunications Co - Common Stock,2023,10-K,annual,YF_TS,2023-12-31,financing_cash_flow,annualFinancingCashFlow,218111000.0
SHEN,SHEN,Shenandoah Telecommunications Co - Common Stock,2024,10-K,annual,YF_TS,2024-12-31,financing_cash_flow,annualFinancingCashFlow,183856000.0
