ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
SWMR,SWMR,"Swarmer, Inc - common stock",2026,10-Q,q1,YF_TS,2026-03-31,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,23472156.0
SWMR,SWMR,"Swarmer, Inc - common stock",2026,10-Q,q1,YF_TS,2026-03-31,capex,quarterlyCapitalExpenditure,-124331.0
SWMR,SWMR,"Swarmer, Inc - common stock",2026,10-Q,q1,YF_TS,2026-03-31,total_equity,quarterlyStockholdersEquity,23520591.0
SWMR,SWMR,"Swarmer, Inc - common stock",2025,10-Q,q1,YF_TS,2025-03-31,investing_cash_flow,quarterlyInvestingCashFlow,0.0
SWMR,SWMR,"Swarmer, Inc - common stock",2026,10-Q,q1,YF_TS,2026-03-31,investing_cash_flow,quarterlyInvestingCashFlow,-124331.0
SWMR,SWMR,"Swarmer, Inc - common stock",2025,10-Q,q1,YF_TS,2025-03-31,gross_profit,quarterlyGrossProfit,65162.0
SWMR,SWMR,"Swarmer, Inc - common stock",2026,10-Q,q1,YF_TS,2026-03-31,gross_profit,quarterlyGrossProfit,-19599.0
SWMR,SWMR,"Swarmer, Inc - common stock",2026,10-Q,q1,YF_TS,2026-03-31,cash,quarterlyCashAndCashEquivalents,23472156.0
SWMR,SWMR,"Swarmer, Inc - common stock",2025,10-Q,q1,YF_TS,2025-03-31,financing_cash_flow,quarterlyFinancingCashFlow,0.0
SWMR,SWMR,"Swarmer, Inc - common stock",2026,10-Q,q1,YF_TS,2026-03-31,financing_cash_flow,quarterlyFinancingCashFlow,18616305.0
SWMR,SWMR,"Swarmer, Inc - common stock",2025,10-Q,q1,YF_TS,2025-03-31,revenue,quarterlyTotalRevenue,110704.0
SWMR,SWMR,"Swarmer, Inc - common stock",2026,10-Q,q1,YF_TS,2026-03-31,revenue,quarterlyTotalRevenue,20325.0
SWMR,SWMR,"Swarmer, Inc - common stock",2026,10-Q,q1,YF_TS,2026-03-31,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,1406519.0
SWMR,SWMR,"Swarmer, Inc - common stock",2025,10-Q,q1,YF_TS,2025-03-31,eps,quarterlyDilutedEPS,-0.136145
SWMR,SWMR,"Swarmer, Inc - common stock",2026,10-Q,q1,YF_TS,2026-03-31,eps,quarterlyDilutedEPS,-0.28
SWMR,SWMR,"Swarmer, Inc - common stock",2025,10-Q,q1,YF_TS,2025-03-31,operating_income,quarterlyOperatingIncome,-712317.0
SWMR,SWMR,"Swarmer, Inc - common stock",2026,10-Q,q1,YF_TS,2026-03-31,operating_income,quarterlyOperatingIncome,-4510560.0
SWMR,SWMR,"Swarmer, Inc - common stock",2025,10-Q,q1,YF_TS,2025-03-31,eps,quarterlyBasicEPS,-0.136145
SWMR,SWMR,"Swarmer, Inc - common stock",2026,10-Q,q1,YF_TS,2026-03-31,eps,quarterlyBasicEPS,-0.28
SWMR,SWMR,"Swarmer, Inc - common stock",2025,10-Q,q1,YF_TS,2025-03-31,net_income,quarterlyNetIncome,-693977.0
SWMR,SWMR,"Swarmer, Inc - common stock",2026,10-Q,q1,YF_TS,2026-03-31,net_income,quarterlyNetIncome,-4458835.0
SWMR,SWMR,"Swarmer, Inc - common stock",2025,10-Q,q1,YF_TS,2025-03-31,operating_cash_flow,quarterlyOperatingCashFlow,-681797.0
SWMR,SWMR,"Swarmer, Inc - common stock",2026,10-Q,q1,YF_TS,2026-03-31,operating_cash_flow,quarterlyOperatingCashFlow,-4277048.0
SWMR,SWMR,"Swarmer, Inc - common stock",2026,10-Q,q1,YF_TS,2026-03-31,total_assets,quarterlyTotalAssets,24927110.0
