ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
TRLV,TRLV,Trulieve Cannabis Corp. Subordinate Voting Shares,2025,10-Q,q1,YF_TS,2025-03-31,operating_cash_flow,quarterlyOperatingCashFlow,51129000.0
TRLV,TRLV,Trulieve Cannabis Corp. Subordinate Voting Shares,2025,10-Q,half,YF_TS,2025-06-30,operating_cash_flow,quarterlyOperatingCashFlow,85702000.0
TRLV,TRLV,Trulieve Cannabis Corp. Subordinate Voting Shares,2025,10-Q,q3,YF_TS,2025-09-30,operating_cash_flow,quarterlyOperatingCashFlow,76774000.0
TRLV,TRLV,Trulieve Cannabis Corp. Subordinate Voting Shares,2026,10-Q,q1,YF_TS,2026-03-31,operating_cash_flow,quarterlyOperatingCashFlow,55706000.0
TRLV,TRLV,Trulieve Cannabis Corp. Subordinate Voting Shares,2025,10-Q,q1,YF_TS,2025-03-31,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,1668764000.0
TRLV,TRLV,Trulieve Cannabis Corp. Subordinate Voting Shares,2025,10-Q,half,YF_TS,2025-06-30,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,1712364000.0
TRLV,TRLV,Trulieve Cannabis Corp. Subordinate Voting Shares,2025,10-Q,q3,YF_TS,2025-09-30,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,1755342000.0
TRLV,TRLV,Trulieve Cannabis Corp. Subordinate Voting Shares,2026,10-Q,q1,YF_TS,2026-03-31,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,1632618000.0
TRLV,TRLV,Trulieve Cannabis Corp. Subordinate Voting Shares,2025,10-Q,q1,YF_TS,2025-03-31,revenue,quarterlyTotalRevenue,297760000.0
TRLV,TRLV,Trulieve Cannabis Corp. Subordinate Voting Shares,2025,10-Q,half,YF_TS,2025-06-30,revenue,quarterlyTotalRevenue,302086000.0
TRLV,TRLV,Trulieve Cannabis Corp. Subordinate Voting Shares,2025,10-Q,q3,YF_TS,2025-09-30,revenue,quarterlyTotalRevenue,288187000.0
TRLV,TRLV,Trulieve Cannabis Corp. Subordinate Voting Shares,2026,10-Q,q1,YF_TS,2026-03-31,revenue,quarterlyTotalRevenue,286754000.0
TRLV,TRLV,Trulieve Cannabis Corp. Subordinate Voting Shares,2025,10-Q,q1,YF_TS,2025-03-31,total_assets,quarterlyTotalAssets,2887641000.0
TRLV,TRLV,Trulieve Cannabis Corp. Subordinate Voting Shares,2025,10-Q,half,YF_TS,2025-06-30,total_assets,quarterlyTotalAssets,2921835000.0
