ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2022,10-K,annual,YF_TS,2022-12-31,cash,annualCashAndCashEquivalents,164000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2023,10-K,annual,YF_TS,2023-12-31,cash,annualCashAndCashEquivalents,273000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2024,10-K,annual,YF_TS,2024-12-31,cash,annualCashAndCashEquivalents,151000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2025,10-K,annual,YF_TS,2025-12-31,cash,annualCashAndCashEquivalents,199000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2022,10-K,annual,YF_TS,2022-12-31,short_term_debt,annualCurrentDebt,74000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2023,10-K,annual,YF_TS,2023-12-31,short_term_debt,annualCurrentDebt,38000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2024,10-K,annual,YF_TS,2024-12-31,short_term_debt,annualCurrentDebt,100000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2025,10-K,annual,YF_TS,2025-12-31,short_term_debt,annualCurrentDebt,90000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2022,10-K,annual,YF_TS,2022-12-31,capex,annualCapitalExpenditure,-428000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2023,10-K,annual,YF_TS,2023-12-31,capex,annualCapitalExpenditure,-261000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2024,10-K,annual,YF_TS,2024-12-31,capex,annualCapitalExpenditure,-370000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2025,10-K,annual,YF_TS,2025-12-31,capex,annualCapitalExpenditure,-341000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2022,10-K,annual,YF_TS,2022-12-31,revenue,annualTotalRevenue,3454000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2023,10-K,annual,YF_TS,2023-12-31,revenue,annualTotalRevenue,2850000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2024,10-K,annual,YF_TS,2024-12-31,revenue,annualTotalRevenue,3074000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2025,10-K,annual,YF_TS,2025-12-31,revenue,annualTotalRevenue,2898000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2022,10-K,annual,YF_TS,2022-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,3903000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2023,10-K,annual,YF_TS,2023-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,4154000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2024,10-K,annual,YF_TS,2024-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,4247000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2025,10-K,annual,YF_TS,2025-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,4768000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2022,10-K,annual,YF_TS,2022-12-31,total_assets,annualTotalAssets,6306000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2023,10-K,annual,YF_TS,2023-12-31,total_assets,annualTotalAssets,6134000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2024,10-K,annual,YF_TS,2024-12-31,total_assets,annualTotalAssets,6038000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2025,10-K,annual,YF_TS,2025-12-31,total_assets,annualTotalAssets,6217000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2022,10-K,annual,YF_TS,2022-12-31,operating_cash_flow,annualOperatingCashFlow,598000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2023,10-K,annual,YF_TS,2023-12-31,operating_cash_flow,annualOperatingCashFlow,184000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2024,10-K,annual,YF_TS,2024-12-31,operating_cash_flow,annualOperatingCashFlow,300000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2025,10-K,annual,YF_TS,2025-12-31,operating_cash_flow,annualOperatingCashFlow,60000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2022,10-K,annual,YF_TS,2022-12-31,financing_cash_flow,annualFinancingCashFlow,-250000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2023,10-K,annual,YF_TS,2023-12-31,financing_cash_flow,annualFinancingCashFlow,176000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2024,10-K,annual,YF_TS,2024-12-31,financing_cash_flow,annualFinancingCashFlow,-71000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2025,10-K,annual,YF_TS,2025-12-31,financing_cash_flow,annualFinancingCashFlow,321000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2022,10-K,annual,YF_TS,2022-12-31,eps,annualDilutedEPS,3.16
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2023,10-K,annual,YF_TS,2023-12-31,eps,annualDilutedEPS,-2.02
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2024,10-K,annual,YF_TS,2024-12-31,eps,annualDilutedEPS,-0.31
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2025,10-K,annual,YF_TS,2025-12-31,eps,annualDilutedEPS,-2.97
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2022,10-K,annual,YF_TS,2022-12-31,eps,annualBasicEPS,3.21
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2023,10-K,annual,YF_TS,2023-12-31,eps,annualBasicEPS,-2.02
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2024,10-K,annual,YF_TS,2024-12-31,eps,annualBasicEPS,-0.31
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2025,10-K,annual,YF_TS,2025-12-31,eps,annualBasicEPS,-2.97
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2022,10-K,annual,YF_TS,2022-12-31,total_equity,annualStockholdersEquity,2357000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2023,10-K,annual,YF_TS,2023-12-31,total_equity,annualStockholdersEquity,1936000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2024,10-K,annual,YF_TS,2024-12-31,total_equity,annualStockholdersEquity,1761000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2025,10-K,annual,YF_TS,2025-12-31,total_equity,annualStockholdersEquity,1418000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2022,10-K,annual,YF_TS,2022-12-31,gross_profit,annualGrossProfit,832000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2023,10-K,annual,YF_TS,2023-12-31,gross_profit,annualGrossProfit,462000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2024,10-K,annual,YF_TS,2024-12-31,gross_profit,annualGrossProfit,515000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2025,10-K,annual,YF_TS,2025-12-31,gross_profit,annualGrossProfit,269000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2022,10-K,annual,YF_TS,2022-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,164000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2023,10-K,annual,YF_TS,2023-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,273000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2024,10-K,annual,YF_TS,2024-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,151000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2025,10-K,annual,YF_TS,2025-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,199000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2022,10-K,annual,YF_TS,2022-12-31,investing_cash_flow,annualInvestingCashFlow,-415000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2023,10-K,annual,YF_TS,2023-12-31,investing_cash_flow,annualInvestingCashFlow,-255000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2024,10-K,annual,YF_TS,2024-12-31,investing_cash_flow,annualInvestingCashFlow,-343000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2025,10-K,annual,YF_TS,2025-12-31,investing_cash_flow,annualInvestingCashFlow,-328000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2022,10-K,annual,YF_TS,2022-12-31,net_income,annualNetIncome,497000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2023,10-K,annual,YF_TS,2023-12-31,net_income,annualNetIncome,-316000000.0
TROX,TROX,Tronox Holdings plc Ordinary Shares (UK),2024,10-K,annual,YF_TS,2024-12-31,net_income,annualNetIncome,-48000000.0
