ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,q1,YF_TS,2025-03-31,long_term_debt,quarterlyLongTermDebt,2630000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,half,YF_TS,2025-06-30,long_term_debt,quarterlyLongTermDebt,2672000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,q3,YF_TS,2025-09-30,long_term_debt,quarterlyLongTermDebt,1972000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2026,10-Q,q1,YF_TS,2026-03-31,long_term_debt,quarterlyLongTermDebt,1962000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,q1,YF_TS,2025-03-31,net_income,quarterlyNetIncome,225000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,half,YF_TS,2025-06-30,net_income,quarterlyNetIncome,222000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,q3,YF_TS,2025-09-30,net_income,quarterlyNetIncome,239000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2026,10-Q,q1,YF_TS,2026-03-31,net_income,quarterlyNetIncome,254000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,q1,YF_TS,2025-03-31,operating_income,quarterlyOperatingIncome,322000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,half,YF_TS,2025-06-30,operating_income,quarterlyOperatingIncome,313000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,q3,YF_TS,2025-09-30,operating_income,quarterlyOperatingIncome,326000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2026,10-Q,q1,YF_TS,2026-03-31,operating_income,quarterlyOperatingIncome,338000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,q1,YF_TS,2025-03-31,eps,quarterlyBasicEPS,0.91
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,half,YF_TS,2025-06-30,eps,quarterlyBasicEPS,0.89
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,q3,YF_TS,2025-09-30,eps,quarterlyBasicEPS,0.96
VLTO,VLTO,Veralto Corp Common Stock ,2026,10-Q,q1,YF_TS,2026-03-31,eps,quarterlyBasicEPS,1.03
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,q1,YF_TS,2025-03-31,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,4336000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,half,YF_TS,2025-06-30,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,4510000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,q3,YF_TS,2025-09-30,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,4581000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2026,10-Q,q1,YF_TS,2026-03-31,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,4647000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,q1,YF_TS,2025-03-31,financing_cash_flow,quarterlyFinancingCashFlow,-26000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,half,YF_TS,2025-06-30,financing_cash_flow,quarterlyFinancingCashFlow,-15000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,q3,YF_TS,2025-09-30,financing_cash_flow,quarterlyFinancingCashFlow,-36000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2026,10-Q,q1,YF_TS,2026-03-31,financing_cash_flow,quarterlyFinancingCashFlow,-332000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,q1,YF_TS,2025-03-31,revenue,quarterlyTotalRevenue,1332000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,half,YF_TS,2025-06-30,revenue,quarterlyTotalRevenue,1371000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,q3,YF_TS,2025-09-30,revenue,quarterlyTotalRevenue,1404000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2026,10-Q,q1,YF_TS,2026-03-31,revenue,quarterlyTotalRevenue,1422000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,q3,YF_TS,2025-09-30,short_term_debt,quarterlyCurrentDebt,700000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2026,10-Q,q1,YF_TS,2026-03-31,short_term_debt,quarterlyCurrentDebt,700000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,q1,YF_TS,2025-03-31,gross_profit,quarterlyGrossProfit,805000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,half,YF_TS,2025-06-30,gross_profit,quarterlyGrossProfit,822000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,q3,YF_TS,2025-09-30,gross_profit,quarterlyGrossProfit,844000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2026,10-Q,q1,YF_TS,2026-03-31,gross_profit,quarterlyGrossProfit,854000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,q1,YF_TS,2025-03-31,cash,quarterlyCashAndCashEquivalents,1239000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,half,YF_TS,2025-06-30,cash,quarterlyCashAndCashEquivalents,1559000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,q3,YF_TS,2025-09-30,cash,quarterlyCashAndCashEquivalents,1775000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2026,10-Q,q1,YF_TS,2026-03-31,cash,quarterlyCashAndCashEquivalents,1431000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,q1,YF_TS,2025-03-31,investing_cash_flow,quarterlyInvestingCashFlow,-11000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,half,YF_TS,2025-06-30,investing_cash_flow,quarterlyInvestingCashFlow,-40000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,q3,YF_TS,2025-09-30,investing_cash_flow,quarterlyInvestingCashFlow,-12000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2026,10-Q,q1,YF_TS,2026-03-31,investing_cash_flow,quarterlyInvestingCashFlow,-439000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,q1,YF_TS,2025-03-31,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,1239000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,half,YF_TS,2025-06-30,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,1559000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,q3,YF_TS,2025-09-30,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,1775000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2026,10-Q,q1,YF_TS,2026-03-31,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,1431000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,q1,YF_TS,2025-03-31,total_equity,quarterlyStockholdersEquity,2302000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,half,YF_TS,2025-06-30,total_equity,quarterlyStockholdersEquity,2653000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,q3,YF_TS,2025-09-30,total_equity,quarterlyStockholdersEquity,2847000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2026,10-Q,q1,YF_TS,2026-03-31,total_equity,quarterlyStockholdersEquity,3005000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,q1,YF_TS,2025-03-31,operating_cash_flow,quarterlyOperatingCashFlow,157000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,half,YF_TS,2025-06-30,operating_cash_flow,quarterlyOperatingCashFlow,339000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,q3,YF_TS,2025-09-30,operating_cash_flow,quarterlyOperatingCashFlow,270000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2026,10-Q,q1,YF_TS,2026-03-31,operating_cash_flow,quarterlyOperatingCashFlow,182000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,q1,YF_TS,2025-03-31,eps,quarterlyDilutedEPS,0.9
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,half,YF_TS,2025-06-30,eps,quarterlyDilutedEPS,0.89
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,q3,YF_TS,2025-09-30,eps,quarterlyDilutedEPS,0.95
VLTO,VLTO,Veralto Corp Common Stock ,2026,10-Q,q1,YF_TS,2026-03-31,eps,quarterlyDilutedEPS,1.02
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,q1,YF_TS,2025-03-31,capex,quarterlyCapitalExpenditure,-15000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,half,YF_TS,2025-06-30,capex,quarterlyCapitalExpenditure,-16000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,q3,YF_TS,2025-09-30,capex,quarterlyCapitalExpenditure,-12000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2026,10-Q,q1,YF_TS,2026-03-31,capex,quarterlyCapitalExpenditure,-12000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,q1,YF_TS,2025-03-31,total_assets,quarterlyTotalAssets,6645000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,half,YF_TS,2025-06-30,total_assets,quarterlyTotalAssets,7171000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2025,10-Q,q3,YF_TS,2025-09-30,total_assets,quarterlyTotalAssets,7429000000.0
VLTO,VLTO,Veralto Corp Common Stock ,2026,10-Q,q1,YF_TS,2026-03-31,total_assets,quarterlyTotalAssets,7653000000.0
