ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
WBUY,WBUY,WEBUY GLOBAL LTD. - Class A Ordinary Shares,2022,10-K,annual,YF_TS,2022-12-31,total_equity,annualStockholdersEquity,-2734641.0
WBUY,WBUY,WEBUY GLOBAL LTD. - Class A Ordinary Shares,2023,10-K,annual,YF_TS,2023-12-31,total_equity,annualStockholdersEquity,5710387.0
WBUY,WBUY,WEBUY GLOBAL LTD. - Class A Ordinary Shares,2024,10-K,annual,YF_TS,2024-12-31,total_equity,annualStockholdersEquity,7123990.0
WBUY,WBUY,WEBUY GLOBAL LTD. - Class A Ordinary Shares,2025,10-K,annual,YF_TS,2025-12-31,total_equity,annualStockholdersEquity,3523317.0
WBUY,WBUY,WEBUY GLOBAL LTD. - Class A Ordinary Shares,2022,10-K,annual,YF_TS,2022-12-31,short_term_debt,annualCurrentDebt,2023469.0
WBUY,WBUY,WEBUY GLOBAL LTD. - Class A Ordinary Shares,2023,10-K,annual,YF_TS,2023-12-31,short_term_debt,annualCurrentDebt,2414035.0
WBUY,WBUY,WEBUY GLOBAL LTD. - Class A Ordinary Shares,2024,10-K,annual,YF_TS,2024-12-31,short_term_debt,annualCurrentDebt,1789397.0
WBUY,WBUY,WEBUY GLOBAL LTD. - Class A Ordinary Shares,2025,10-K,annual,YF_TS,2025-12-31,short_term_debt,annualCurrentDebt,631917.0
WBUY,WBUY,WEBUY GLOBAL LTD. - Class A Ordinary Shares,2022,10-K,annual,YF_TS,2022-12-31,capex,annualCapitalExpenditure,-1139058.0
WBUY,WBUY,WEBUY GLOBAL LTD. - Class A Ordinary Shares,2023,10-K,annual,YF_TS,2023-12-31,capex,annualCapitalExpenditure,-1588659.0
WBUY,WBUY,WEBUY GLOBAL LTD. - Class A Ordinary Shares,2024,10-K,annual,YF_TS,2024-12-31,capex,annualCapitalExpenditure,-944371.0
WBUY,WBUY,WEBUY GLOBAL LTD. - Class A Ordinary Shares,2025,10-K,annual,YF_TS,2025-12-31,capex,annualCapitalExpenditure,-633447.0
WBUY,WBUY,WEBUY GLOBAL LTD. - Class A Ordinary Shares,2022,10-K,annual,YF_TS,2022-12-31,gross_profit,annualGrossProfit,3751569.0
WBUY,WBUY,WEBUY GLOBAL LTD. - Class A Ordinary Shares,2023,10-K,annual,YF_TS,2023-12-31,gross_profit,annualGrossProfit,3317221.0
WBUY,WBUY,WEBUY GLOBAL LTD. - Class A Ordinary Shares,2024,10-K,annual,YF_TS,2024-12-31,gross_profit,annualGrossProfit,2557838.0
WBUY,WBUY,WEBUY GLOBAL LTD. - Class A Ordinary Shares,2025,10-K,annual,YF_TS,2025-12-31,gross_profit,annualGrossProfit,2259550.0
WBUY,WBUY,WEBUY GLOBAL LTD. - Class A Ordinary Shares,2022,10-K,annual,YF_TS,2022-12-31,net_income,annualNetIncome,-6660946.0
WBUY,WBUY,WEBUY GLOBAL LTD. - Class A Ordinary Shares,2023,10-K,annual,YF_TS,2023-12-31,net_income,annualNetIncome,-5146444.0
WBUY,WBUY,WEBUY GLOBAL LTD. - Class A Ordinary Shares,2024,10-K,annual,YF_TS,2024-12-31,net_income,annualNetIncome,-6616671.0
WBUY,WBUY,WEBUY GLOBAL LTD. - Class A Ordinary Shares,2025,10-K,annual,YF_TS,2025-12-31,net_income,annualNetIncome,-8534138.0
WBUY,WBUY,WEBUY GLOBAL LTD. - Class A Ordinary Shares,2022,10-K,annual,YF_TS,2022-12-31,operating_income,annualOperatingIncome,-7370064.0
WBUY,WBUY,WEBUY GLOBAL LTD. - Class A Ordinary Shares,2023,10-K,annual,YF_TS,2023-12-31,operating_income,annualOperatingIncome,-1373124.0
WBUY,WBUY,WEBUY GLOBAL LTD. - Class A Ordinary Shares,2024,10-K,annual,YF_TS,2024-12-31,operating_income,annualOperatingIncome,-5798217.0
WBUY,WBUY,WEBUY GLOBAL LTD. - Class A Ordinary Shares,2025,10-K,annual,YF_TS,2025-12-31,operating_income,annualOperatingIncome,-6616458.0
