ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
WHLR,WHLR,"Wheeler Real Estate Investment Trust, Inc. - Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,19233000.0
WHLR,WHLR,"Wheeler Real Estate Investment Trust, Inc. - Common Stock",2025,10-Q,half,YF_TS,2025-06-30,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,28065000.0
WHLR,WHLR,"Wheeler Real Estate Investment Trust, Inc. - Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,27093000.0
WHLR,WHLR,"Wheeler Real Estate Investment Trust, Inc. - Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,23592000.0
WHLR,WHLR,"Wheeler Real Estate Investment Trust, Inc. - Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,investing_cash_flow,quarterlyInvestingCashFlow,16228000.0
WHLR,WHLR,"Wheeler Real Estate Investment Trust, Inc. - Common Stock",2025,10-Q,half,YF_TS,2025-06-30,investing_cash_flow,quarterlyInvestingCashFlow,9115000.0
WHLR,WHLR,"Wheeler Real Estate Investment Trust, Inc. - Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,investing_cash_flow,quarterlyInvestingCashFlow,-4446000.0
WHLR,WHLR,"Wheeler Real Estate Investment Trust, Inc. - Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,investing_cash_flow,quarterlyInvestingCashFlow,3927000.0
WHLR,WHLR,"Wheeler Real Estate Investment Trust, Inc. - Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,total_equity,quarterlyStockholdersEquity,53675000.0
WHLR,WHLR,"Wheeler Real Estate Investment Trust, Inc. - Common Stock",2025,10-Q,half,YF_TS,2025-06-30,total_equity,quarterlyStockholdersEquity,53785000.0
WHLR,WHLR,"Wheeler Real Estate Investment Trust, Inc. - Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,total_equity,quarterlyStockholdersEquity,60588000.0
WHLR,WHLR,"Wheeler Real Estate Investment Trust, Inc. - Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,total_equity,quarterlyStockholdersEquity,63015000.0
WHLR,WHLR,"Wheeler Real Estate Investment Trust, Inc. - Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,operating_income,quarterlyOperatingIncome,6454000.0
WHLR,WHLR,"Wheeler Real Estate Investment Trust, Inc. - Common Stock",2025,10-Q,half,YF_TS,2025-06-30,operating_income,quarterlyOperatingIncome,9765000.0
WHLR,WHLR,"Wheeler Real Estate Investment Trust, Inc. - Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,operating_income,quarterlyOperatingIncome,7986000.0
WHLR,WHLR,"Wheeler Real Estate Investment Trust, Inc. - Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,operating_income,quarterlyOperatingIncome,7630000.0
WHLR,WHLR,"Wheeler Real Estate Investment Trust, Inc. - Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,eps,quarterlyDilutedEPS,-7328.342246
WHLR,WHLR,"Wheeler Real Estate Investment Trust, Inc. - Common Stock",2025,10-Q,half,YF_TS,2025-06-30,eps,quarterlyDilutedEPS,-850.5
WHLR,WHLR,"Wheeler Real Estate Investment Trust, Inc. - Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,eps,quarterlyDilutedEPS,14.94
WHLR,WHLR,"Wheeler Real Estate Investment Trust, Inc. - Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,eps,quarterlyDilutedEPS,-14.55
WHLR,WHLR,"Wheeler Real Estate Investment Trust, Inc. - Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,total_assets,quarterlyTotalAssets,624755000.0
WHLR,WHLR,"Wheeler Real Estate Investment Trust, Inc. - Common Stock",2025,10-Q,half,YF_TS,2025-06-30,total_assets,quarterlyTotalAssets,625948000.0
WHLR,WHLR,"Wheeler Real Estate Investment Trust, Inc. - Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,total_assets,quarterlyTotalAssets,625174000.0
WHLR,WHLR,"Wheeler Real Estate Investment Trust, Inc. - Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,total_assets,quarterlyTotalAssets,594007000.0
WHLR,WHLR,"Wheeler Real Estate Investment Trust, Inc. - Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,capex,quarterlyCapitalExpenditure,-2077000.0
WHLR,WHLR,"Wheeler Real Estate Investment Trust, Inc. - Common Stock",2025,10-Q,half,YF_TS,2025-06-30,capex,quarterlyCapitalExpenditure,-5992000.0
WHLR,WHLR,"Wheeler Real Estate Investment Trust, Inc. - Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,capex,quarterlyCapitalExpenditure,-4474000.0
WHLR,WHLR,"Wheeler Real Estate Investment Trust, Inc. - Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,capex,quarterlyCapitalExpenditure,-1878000.0
WHLR,WHLR,"Wheeler Real Estate Investment Trust, Inc. - Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,financing_cash_flow,quarterlyFinancingCashFlow,-34364000.0
WHLR,WHLR,"Wheeler Real Estate Investment Trust, Inc. - Common Stock",2025,10-Q,half,YF_TS,2025-06-30,financing_cash_flow,quarterlyFinancingCashFlow,-6942000.0
WHLR,WHLR,"Wheeler Real Estate Investment Trust, Inc. - Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,financing_cash_flow,quarterlyFinancingCashFlow,-2168000.0
WHLR,WHLR,"Wheeler Real Estate Investment Trust, Inc. - Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,financing_cash_flow,quarterlyFinancingCashFlow,-9003000.0
WHLR,WHLR,"Wheeler Real Estate Investment Trust, Inc. - Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,long_term_debt,quarterlyLongTermDebt,472794000.0
WHLR,WHLR,"Wheeler Real Estate Investment Trust, Inc. - Common Stock",2025,10-Q,half,YF_TS,2025-06-30,long_term_debt,quarterlyLongTermDebt,477311000.0
WHLR,WHLR,"Wheeler Real Estate Investment Trust, Inc. - Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,long_term_debt,quarterlyLongTermDebt,487336000.0
WHLR,WHLR,"Wheeler Real Estate Investment Trust, Inc. - Common Stock",2026,10-Q,q1,YF_TS,2026-03-31,long_term_debt,quarterlyLongTermDebt,461068000.0
WHLR,WHLR,"Wheeler Real Estate Investment Trust, Inc. - Common Stock",2025,10-Q,q1,YF_TS,2025-03-31,cash,quarterlyCashAndCashEquivalents,19233000.0
WHLR,WHLR,"Wheeler Real Estate Investment Trust, Inc. - Common Stock",2025,10-Q,half,YF_TS,2025-06-30,cash,quarterlyCashAndCashEquivalents,28065000.0
WHLR,WHLR,"Wheeler Real Estate Investment Trust, Inc. - Common Stock",2025,10-Q,q3,YF_TS,2025-09-30,cash,quarterlyCashAndCashEquivalents,27093000.0
