ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,q1,YF_TS,2025-03-31,short_term_debt,quarterlyCurrentDebt,549000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,half,YF_TS,2025-06-30,short_term_debt,quarterlyCurrentDebt,549000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,q3,YF_TS,2025-09-30,short_term_debt,quarterlyCurrentDebt,550000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,q1,YF_TS,2025-03-31,gross_profit,quarterlyGrossProfit,899000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,half,YF_TS,2025-06-30,gross_profit,quarterlyGrossProfit,812000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,q3,YF_TS,2025-09-30,gross_profit,quarterlyGrossProfit,875000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2026,10-Q,q1,YF_TS,2026-03-31,gross_profit,quarterlyGrossProfit,978000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,q1,YF_TS,2025-03-31,capex,quarterlyCapitalExpenditure,-51000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,half,YF_TS,2025-06-30,capex,quarterlyCapitalExpenditure,-58000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,q3,YF_TS,2025-09-30,capex,quarterlyCapitalExpenditure,-57000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2026,10-Q,q1,YF_TS,2026-03-31,capex,quarterlyCapitalExpenditure,-55000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,q1,YF_TS,2025-03-31,total_assets,quarterlyTotalAssets,28064000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,half,YF_TS,2025-06-30,total_assets,quarterlyTotalAssets,28478000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,q3,YF_TS,2025-09-30,total_assets,quarterlyTotalAssets,27439000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2026,10-Q,q1,YF_TS,2026-03-31,total_assets,quarterlyTotalAssets,29637000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,q1,YF_TS,2025-03-31,total_equity,quarterlyStockholdersEquity,8133000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,half,YF_TS,2025-06-30,total_equity,quarterlyStockholdersEquity,8100000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,q3,YF_TS,2025-09-30,total_equity,quarterlyStockholdersEquity,7735000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2026,10-Q,q1,YF_TS,2026-03-31,total_equity,quarterlyStockholdersEquity,7977000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,q1,YF_TS,2025-03-31,eps,quarterlyBasicEPS,2.34
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,half,YF_TS,2025-06-30,eps,quarterlyBasicEPS,3.34
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,q3,YF_TS,2025-09-30,eps,quarterlyBasicEPS,3.12
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2026,10-Q,q1,YF_TS,2026-03-31,eps,quarterlyBasicEPS,3.12
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,q1,YF_TS,2025-03-31,operating_income,quarterlyOperatingIncome,432000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,half,YF_TS,2025-06-30,operating_income,quarterlyOperatingIncome,370000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,q3,YF_TS,2025-09-30,operating_income,quarterlyOperatingIncome,420000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2026,10-Q,q1,YF_TS,2026-03-31,operating_income,quarterlyOperatingIncome,489000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,q1,YF_TS,2025-03-31,operating_cash_flow,quarterlyOperatingCashFlow,-35000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,half,YF_TS,2025-06-30,operating_cash_flow,quarterlyOperatingCashFlow,361000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,q3,YF_TS,2025-09-30,operating_cash_flow,quarterlyOperatingCashFlow,678000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2026,10-Q,q1,YF_TS,2026-03-31,operating_cash_flow,quarterlyOperatingCashFlow,-10000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,q1,YF_TS,2025-03-31,financing_cash_flow,quarterlyFinancingCashFlow,24000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,half,YF_TS,2025-06-30,financing_cash_flow,quarterlyFinancingCashFlow,-824000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,q3,YF_TS,2025-09-30,financing_cash_flow,quarterlyFinancingCashFlow,-511000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2026,10-Q,q1,YF_TS,2026-03-31,financing_cash_flow,quarterlyFinancingCashFlow,-203000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,q1,YF_TS,2025-03-31,revenue,quarterlyTotalRevenue,2223000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,half,YF_TS,2025-06-30,revenue,quarterlyTotalRevenue,2261000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,q3,YF_TS,2025-09-30,revenue,quarterlyTotalRevenue,2288000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2026,10-Q,q1,YF_TS,2026-03-31,revenue,quarterlyTotalRevenue,2412000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,q1,YF_TS,2025-03-31,eps,quarterlyDilutedEPS,2.33
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,half,YF_TS,2025-06-30,eps,quarterlyDilutedEPS,3.32
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,q3,YF_TS,2025-09-30,eps,quarterlyDilutedEPS,3.11
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2026,10-Q,q1,YF_TS,2026-03-31,eps,quarterlyDilutedEPS,3.1
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,q1,YF_TS,2025-03-31,net_income,quarterlyNetIncome,235000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,half,YF_TS,2025-06-30,net_income,quarterlyNetIncome,331000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,q3,YF_TS,2025-09-30,net_income,quarterlyNetIncome,304000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2026,10-Q,q1,YF_TS,2026-03-31,net_income,quarterlyNetIncome,297000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,q1,YF_TS,2025-03-31,long_term_debt,quarterlyLongTermDebt,4761000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,half,YF_TS,2025-06-30,long_term_debt,quarterlyLongTermDebt,4762000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,q3,YF_TS,2025-09-30,long_term_debt,quarterlyLongTermDebt,4763000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2026,10-Q,q1,YF_TS,2026-03-31,long_term_debt,quarterlyLongTermDebt,6304000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,q1,YF_TS,2025-03-31,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,19850000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,half,YF_TS,2025-06-30,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,20298000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,q3,YF_TS,2025-09-30,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,19629000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2026,10-Q,q1,YF_TS,2026-03-31,total_liabilities,quarterlyTotalLiabilitiesNetMinorityInterest,21578000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,q1,YF_TS,2025-03-31,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,1507000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,half,YF_TS,2025-06-30,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,1991000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2025,10-Q,q3,YF_TS,2025-09-30,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,1925000000.0
WTW,WTW,Willis Towers Watson Public Limited Company - Ordinary Shares,2026,10-Q,q1,YF_TS,2026-03-31,cash,quarterlyCashCashEquivalentsAndShortTermInvestments,1855000000.0
