ticker,corp_code,corp_name,bsns_year,reprt_code,report_name,fs_div,period_end,account_id,account_nm,amount
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2022,10-K,annual,YF_TS,2022-12-31,total_equity,annualStockholdersEquity,942325.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2023,10-K,annual,YF_TS,2023-12-31,total_equity,annualStockholdersEquity,4130614.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2024,10-K,annual,YF_TS,2024-12-31,total_equity,annualStockholdersEquity,6151241.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2025,10-K,annual,YF_TS,2025-12-31,total_equity,annualStockholdersEquity,10297084.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2022,10-K,annual,YF_TS,2022-12-31,investing_cash_flow,annualInvestingCashFlow,-112113.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2023,10-K,annual,YF_TS,2023-12-31,investing_cash_flow,annualInvestingCashFlow,-224185.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2024,10-K,annual,YF_TS,2024-12-31,investing_cash_flow,annualInvestingCashFlow,-101245.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2025,10-K,annual,YF_TS,2025-12-31,investing_cash_flow,annualInvestingCashFlow,55037.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2022,10-K,annual,YF_TS,2022-12-31,long_term_debt,annualLongTermDebt,1239415.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2023,10-K,annual,YF_TS,2023-12-31,long_term_debt,annualLongTermDebt,523607.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2024,10-K,annual,YF_TS,2024-12-31,long_term_debt,annualLongTermDebt,144365.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2025,10-K,annual,YF_TS,2025-12-31,long_term_debt,annualLongTermDebt,627526.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2022,10-K,annual,YF_TS,2022-12-31,short_term_debt,annualCurrentDebt,1279314.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2023,10-K,annual,YF_TS,2023-12-31,short_term_debt,annualCurrentDebt,2856491.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2024,10-K,annual,YF_TS,2024-12-31,short_term_debt,annualCurrentDebt,3680450.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2025,10-K,annual,YF_TS,2025-12-31,short_term_debt,annualCurrentDebt,5881553.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2022,10-K,annual,YF_TS,2022-12-31,capex,annualCapitalExpenditure,-112113.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2023,10-K,annual,YF_TS,2023-12-31,capex,annualCapitalExpenditure,-224185.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2024,10-K,annual,YF_TS,2024-12-31,capex,annualCapitalExpenditure,-101245.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2025,10-K,annual,YF_TS,2025-12-31,capex,annualCapitalExpenditure,-379227.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2022,10-K,annual,YF_TS,2022-12-31,operating_income,annualOperatingIncome,1289973.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2023,10-K,annual,YF_TS,2023-12-31,operating_income,annualOperatingIncome,1444730.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2024,10-K,annual,YF_TS,2024-12-31,operating_income,annualOperatingIncome,-4140955.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2025,10-K,annual,YF_TS,2025-12-31,operating_income,annualOperatingIncome,-13343619.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2022,10-K,annual,YF_TS,2022-12-31,gross_profit,annualGrossProfit,2572398.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2023,10-K,annual,YF_TS,2023-12-31,gross_profit,annualGrossProfit,3651780.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2024,10-K,annual,YF_TS,2024-12-31,gross_profit,annualGrossProfit,5258453.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2025,10-K,annual,YF_TS,2025-12-31,gross_profit,annualGrossProfit,7897501.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2022,10-K,annual,YF_TS,2022-12-31,net_income,annualNetIncome,761628.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2023,10-K,annual,YF_TS,2023-12-31,net_income,annualNetIncome,852334.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2024,10-K,annual,YF_TS,2024-12-31,net_income,annualNetIncome,-4837765.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2025,10-K,annual,YF_TS,2025-12-31,net_income,annualNetIncome,-21419142.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2021,10-K,annual,YF_TS,2021-12-31,eps,annualBasicEPS,18.903881
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2022,10-K,annual,YF_TS,2022-12-31,eps,annualBasicEPS,30.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2023,10-K,annual,YF_TS,2023-12-31,eps,annualBasicEPS,37.140355
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2024,10-K,annual,YF_TS,2024-12-31,eps,annualBasicEPS,-214.8
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2022,10-K,annual,YF_TS,2022-12-31,operating_cash_flow,annualOperatingCashFlow,935273.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2023,10-K,annual,YF_TS,2023-12-31,operating_cash_flow,annualOperatingCashFlow,51708.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2024,10-K,annual,YF_TS,2024-12-31,operating_cash_flow,annualOperatingCashFlow,-1501880.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2025,10-K,annual,YF_TS,2025-12-31,operating_cash_flow,annualOperatingCashFlow,-1958742.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2022,10-K,annual,YF_TS,2022-12-31,cash,annualCashAndCashEquivalents,161022.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2023,10-K,annual,YF_TS,2023-12-31,cash,annualCashAndCashEquivalents,467235.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2024,10-K,annual,YF_TS,2024-12-31,cash,annualCashAndCashEquivalents,836907.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2025,10-K,annual,YF_TS,2025-12-31,cash,annualCashAndCashEquivalents,1511760.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2022,10-K,annual,YF_TS,2022-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,4826133.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2023,10-K,annual,YF_TS,2023-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,6528577.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2024,10-K,annual,YF_TS,2024-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,9174817.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2025,10-K,annual,YF_TS,2025-12-31,total_liabilities,annualTotalLiabilitiesNetMinorityInterest,20731883.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2022,10-K,annual,YF_TS,2022-12-31,revenue,annualTotalRevenue,20022529.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2023,10-K,annual,YF_TS,2023-12-31,revenue,annualTotalRevenue,31772286.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2024,10-K,annual,YF_TS,2024-12-31,revenue,annualTotalRevenue,41103389.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2025,10-K,annual,YF_TS,2025-12-31,revenue,annualTotalRevenue,57245167.0
YYGH,YYGH,YY Group Holding Limited - Class A Ordinary Shares,2022,10-K,annual,YF_TS,2022-12-31,cash,annualCashCashEquivalentsAndShortTermInvestments,161022.0
